energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.18249248,-1.62374004,0.84085524,-0.76537411,0.85147005,-0.54016214,0.00398499,-0.00020871,0.40950693,-0.47650164,0.09335810,-0.21895346,0.01929754,-0.00683076,0.75745357,-0.45372388
-5.99399700,2.16392314,-1.58471003,0.87233178,-0.75303783,0.82428725,-0.51946603,0.00426374,-0.00021768,0.40358987,-0.45676753,0.09231368,-0.21981581,0.01896102,-0.00656498,0.75920192,-0.45220010
-5.98799400,2.15031923,-1.54103139,0.90804704,-0.73741043,0.79879712,-0.49824302,0.00455744,-0.00022855,0.39966045,-0.43647866,0.09141982,-0.21925247,0.01863177,-0.00627102,0.76169429,-0.44845939
-5.98199100,2.14206989,-1.49304207,0.94778123,-0.71866357,0.77535586,-0.47660278,0.00486428,-0.00024157,0.39784154,-0.41575666,0.09067124,-0.21727263,0.01831373,-0.00595466,0.76496651,-0.44257558
-5.97598799,2.13932225,-1.44118493,0.99116315,-0.69703466,0.75423413,-0.45466509,0.00518179,-0.00025716,0.39818367,-0.39472769,0.09005574,-0.21391633,0.01800944,-0.00562213,0.76899370,-0.43468206
-5.96998499,2.14197796,-1.38601004,1.03767466,-0.67282448,0.73561386,-0.43256359,0.00550685,-0.00027589,0.40066557,-0.37352436,0.08955468,-0.20925361,0.01771998,-0.00527995,0.77368813,-0.42497088
-5.96398199,2.14969821,-1.32817382,1.08666036,-0.64639353,0.71958786,-0.41044879,0.00583565,-0.00029845,0.40519698,-0.35228754,0.08914361,-0.20338273,0.01744505,-0.00493476,0.77889954,-0.41369024
-5.95797899,2.16191700,-1.26843514,1.13734230,-0.61815710,0.70616206,-0.38849018,0.00616385,-0.00032567,0.41162355,-0.33116759,0.08879321,-0.19642763,0.01718302,-0.00459330,0.78441811,-0.40114059
-5.95197599,2.17786229,-1.20764825,1.18883929,-0.58857939,0.69526012,-0.36687732,0.00648660,-0.00035852,0.41973350,-0.31032533,0.08847029,-0.18853467,0.01693110,-0.00426220,0.78998004,-0.38766932
-5.94597299,2.19658415,-1.14675288,1.24019019,-0.55816670,0.68673033,-0.34581982,0.00679874,-0.00039808,0.42926576,-0.28993248,0.08813901,-0.17986880,0.01668547,-0.00394801,0.79527565,-0.37366436
-5.93996998,2.21698886,-1.08676195,1.29038046,-0.52746020,0.68035416,-0.32554642,0.00709486,-0.00044559,0.43991917,-0.27017159,0.08776228,-0.17060942,0.01644156,-0.00365710,0.79995985,-0.35954682
-5.93396698,2.23787783,-1.02874733,1.33837090,-0.49702837,0.67585645,-0.30630301,0.00736956,-0.00050237,0.45136247,-0.25123571,0.08730313,-0.16094590,0.01619422,-0.00339567,0.80366448,-0.34576290
