energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.61580790,0.80746947,0.23903053,0.12468638,0.00134147,0.20699314,0.01586897,0.25352299
-5.60980490,0.86129649,0.25191301,0.13494091,0.00138799,0.22377429,0.01722047,0.26765040
-5.60380190,0.91736890,0.26518484,0.14582338,0.00143180,0.24161034,0.01861069,0.28192083
-5.59779890,0.97497297,0.27861074,0.15720128,0.00147254,0.26023704,0.02002001,0.29621496
-5.59179590,1.03334012,0.29195101,0.16892742,0.00151003,0.27936728,0.02142758,0.31040505
-5.58579290,1.09165747,0.30496606,0.18084202,0.00154425,0.29869654,0.02281180,0.32435469
-5.57978989,1.14908053,0.31742123,0.19277553,0.00157533,0.31790923,0.02415081,0.33791889
-5.57378689,1.20474825,0.32909187,0.20455195,0.00160359,0.33668598,0.02542296,0.35094451
-5.56778389,1.25779998,0.33976866,0.21599277,0.00162947,0.35471157,0.02660749,0.36327136
-5.56178089,1.30739445,0.34926280,0.22692128,0.00165355,0.37168337,0.02768502,0.37473390
-5.55577789,1.35273000,0.35741120,0.23716728,0.00167658,0.38731993,0.02863821,0.38516375
-5.54977489,1.39306577,0.36408129,0.24657196,0.00169942,0.40136941,0.02945229,0.39439301
-5.54377189,1.42774301,0.36917546,0.25499275,0.00172307,0.41361767,0.03011551,0.40225826
-5.53776888,1.45620582,0.37263483,0.26230802,0.00174867,0.42389541,0.03061965,0.40860533
-5.53176588,1.47802036,0.37444226,0.26842138,0.00177747,0.43208434,0.03096026,0.41329441
-5.52576288,1.49289177,0.37462443,0.27326534,0.00181087,0.43812184,0.03113689,0.41620553
-5.51975988,1.50067778,0.37325287,0.27680430,0.00185037,0.44200406,0.03115316,0.41724398
-5.51375688,1.50139847,0.37044388,0.27903643,0.00189761,0.44378707,0.03101671,0.41634547
-5.50775388,1.49524123,0.36635722,0.27999457,0.00195429,0.44358610,0.03073897,0.41348071
-5.50175088,1.48256071,0.36119359,0.27974595,0.00202220,0.44157283,0.03033483,0.40865913
-5.49574787,1.46387331,0.35519102,0.27839062,0.00210320,0.43797058,0.02982220,0.40193149
-5.48974487,1.43984635,0.34862008,0.27605878,0.00219912,0.43304787,0.02922144,0.39339119
-5.48374187,1.41128202,0.34177815,0.27290693,0.00231179,0.42711022,0.02855468,0.38317422
-5.47773887,1.37909667,0.33498292,0.26911307,0.00244296,0.42049073,0.02784514,0.37145753
-5.47173587,1.34429618,0.32856523,0.26487105,0.00259422,0.41353964,0.02711637,0.35845610
-5.46573287,1.30794824,0.32286157,0.26038441,0.00276697,0.40661344,0.02639149,0.34441854
-5.45972986,1.27115278,0.31820639,0.25585979,0.00296238,0.40006371,0.02569247,0.32962157
-5.45372686,1.23501152,0.31492452,0.25150047,0.00318126,0.39422635,0.02503946,0.31436360
-5.44772386,1.20059799,0.31332392,0.24749991,0.00342406,0.38941155,0.02445019,0.29895753
-5.44172086,1.16892916,0.31368893,0.24403603,0.00369081,0.38589484,0.02393947,0.28372328
-5.43571786,1.14093973,0.31627431,0.24126604,0.00398105,0.38390958,0.02351882,0.26898011
-5.42971486,1.11746003,0.32130016,0.23932232,0.00429384,0.38364128,0.02319623,0.25503921
-5.42371186,1.09919824,0.32894780,0.23830941,0.00462770,0.38522373,0.02297606,0.24219667
-5.41770885,1.08672745,0.33935678,0.23830217,0.00498066,0.38873724,0.02285908,0.23072706
-5.41170585,1.08047776,0.35262299,0.23934512,0.00535023,0.39420885,0.02284264,0.22087787
-5.40570285,1.08073335,0.36879783,0.24145314,0.00573344,0.40161450,0.02292095,0.21286479
-5.39969985,1.08763436,0.38788834,0.24461311,0.00612692,0.41088297,0.02308554,0.20686795
-5.39369685,1.10118302,0.40985827,0.24878663,0.00652690,0.42190125,0.02332568,0.20302909
-5.38769385,1.12125322,0.43462989,0.25391347,0.00692933,0.43452120,0.02362897,0.20144969
-5.38169085,1.14760296,0.46208628,0.25991555,0.00732992,0.44856685,0.02398193,0.20218993
-5.37568784,1.17988860,0.49207409,0.26670125,0.00772423,0.46384214,0.02437055,0.20526835
