energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.08209394,-2.01843258,0.50797518,-0.59775726,0.34894242,-0.26054399,0.47359948,-0.45387046,0.26643387,-0.13871439,0.00117389,-0.00195585,0.06663213,-0.14045037,0.00683811,-0.01245059,1.15998029,-1.13034097
-5.99399700,2.06305312,-2.10251155,0.50854450,-0.61650479,0.34527795,-0.27684016,0.45776276,-0.47573252,0.26684623,-0.14304978,0.00115834,-0.00201649,0.06339013,-0.14555786,0.00714642,-0.01271464,1.15416441,-1.17778803
-5.98799400,2.04035182,-2.18222950,0.50836129,-0.63349431,0.34083898,-0.29319382,0.44134284,-0.49684743,0.26676584,-0.14690745,0.00114085,-0.00206665,0.06025576,-0.15020943,0.00747890,-0.01291975,1.14605756,-1.22289052
-5.98199100,2.01454330,-2.25702645,0.50747738,-0.64865407,0.33580615,-0.30949981,0.42450534,-0.51703640,0.26620976,-0.15025720,0.00112173,-0.00210526,0.05725940,-0.15435058,0.00783831,-0.01306539,1.13593613,-1.26535680
-5.97598799,1.98625448,-2.32639371,0.50596236,-0.66194000,0.33037776,-0.32564410,0.40741352,-0.53612127,0.26520758,-0.15307776,0.00110124,-0.00213150,0.05442991,-0.15793364,0.00822799,-0.01315257,1.12412169,-1.30492239
-5.96998499,1.95617009,-2.38987176,0.50390112,-0.67333261,0.32476466,-0.34150433,0.39022543,-0.55392502,0.26380068,-0.15535656,0.00107960,-0.00214485,0.05179419,-0.16091802,0.00865186,-0.01318375,1.11097257,-1.34134841
-5.96398199,1.92501593,-2.44704831,0.50139132,-0.68283352,0.31918490,-0.35695099,0.37309145,-0.57027268,0.26204106,-0.15708919,0.00105704,-0.00214508,0.04937672,-0.16327032,0.00911424,-0.01316288,1.09687495,-1.37442017
-5.95797899,1.89354135,-2.49755751,0.49854068,-0.69046187,0.31385799,-0.37184927,0.35615248,-0.58499285,0.25999001,-0.15827872,0.00103373,-0.00213224,0.04719920,-0.16496439,0.00961976,-0.01309532,1.08223335,-1.40394640
-5.95197599,1.86250124,-2.54108064,0.49546405,-0.69625099,0.30899916,-0.38606163,0.33953861,-0.59791983,0.25771645,-0.15893499,0.00100984,-0.00210669,0.04528018,-0.16598139,0.01017318,-0.01298772,1.06746081,-1.42975944
-5.94597299,1.83263759,-2.57734896,0.49228039,-0.70024555,0.30481356,-0.39945110,0.32336822,-0.60889638,0.25529499,-0.15907382,0.00098554,-0.00206904,0.04363476,-0.16630976,0.01077909,-0.01284795,1.05296872,-1.45171675
-5.93996998,1.80466105,-2.60614896,0.48910962,-0.70249938,0.30149061,-0.41188520,0.30774759,-0.61777722,0.25280371,-0.15871627,0.00096102,-0.00202016,0.04227429,-0.16594527,0.01144176,-0.01268494,1.03915653,-1.46970380
-5.93396698,1.77923258,-2.62732968,0.48606931,-0.70307404,0.29919868,-0.42324034,0.29277086,-0.62443303,0.25032175,-0.15788794,0.00093648,-0.00196111,0.04120617,-0.16489108,0.01216474,-0.01250855,1.02640138,-1.48363821
