energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.10657062,-2.38381156,0.30532535,-1.18122948,0.27199824,-0.54828306,0.01015592,-0.00602729,0.17117441,-0.61241225,0.33883238,-0.64682287,0.00000000,-0.00000000,0.27168478,-0.78083518,0.06337733,-0.11522939
-5.99399700,1.12399217,-2.31724819,0.30111111,-1.11982525,0.28312446,-0.52885329,0.01048832,-0.00634929,0.17643739,-0.57953421,0.34058449,-0.64078047,0.00000000,-0.00000000,0.26591197,-0.77197157,0.06168709,-0.11414498
-5.98799400,1.14626548,-2.24704338,0.29928811,-1.05831980,0.29533550,-0.50864940,0.01078477,-0.00669850,0.18279001,-0.54674753,0.34353792,-0.63298480,0.00000000,-0.00000000,0.26189237,-0.76037635,0.06024275,-0.11279988
-5.98199100,1.17271683,-2.17360279,0.29971203,-0.99722669,0.30839164,-0.48783581,0.01103954,-0.00707037,0.19005861,-0.51432882,0.34754692,-0.62343368,0.00000000,-0.00000000,0.25957639,-0.74612845,0.05903606,-0.11117173
-5.97598799,1.20256536,-2.09733642,0.30219761,-0.93700271,0.32202877,-0.46657286,0.01124753,-0.00745946,0.19805232,-0.48252453,0.35243628,-0.61214289,0.00000000,-0.00000000,0.25887639,-0.72934261,0.05805258,-0.10924239
-5.96998499,1.23493928,-2.01866910,0.30652054,-0.87804816,0.33596345,-0.44501758,0.01140447,-0.00785958,0.20656610,-0.45155120,0.35800598,-0.59915092,0.00000000,-0.00000000,0.25966843,-0.71017052,0.05727224,-0.10699945
-5.96398199,1.26889555,-1.93805156,0.31242072,-0.82070955,0.34989886,-0.42332485,0.01150703,-0.00826385,0.21538433,-0.42159692,0.36403674,-0.58452301,0.00000000,-0.00000000,0.26179517,-0.68880121,0.05667004,-0.10443747
-5.95797899,1.30344244,-1.85597046,0.31960677,-0.76528406,0.36353147,-0.40164884,0.01155293,-0.00866494,0.22428489,-0.39282381,0.37029632,-0.56835447,0.00000000,-0.00000000,0.26506988,-0.66546038,0.05621705,-0.10155898
-5.95197599,1.33756438,-1.77295680,0.32776172,-0.71202515,0.37655819,-0.38014438,0.01154104,-0.00905519,0.23304358,-0.36537116,0.37654635,-0.55077277,0.00000000,-0.00000000,0.26928136,-0.64040881,0.05588145,-0.09837506
-5.94597299,1.37024831,-1.68959139,0.33654978,-0.66114867,0.38868380,-0.35896805,0.01147140,-0.00942683,0.24143880,-0.33935880,0.38254956,-0.53193830,0.00000000,-0.00000000,0.27419987,-0.61393940,0.05562971,-0.09490558
-5.93996998,1.40051071,-1.60650689,0.34562395,-0.61283899,0.39962846,-0.33827892,0.01134524,-0.00977222,0.24925632,-0.31489051,0.38807703,-0.51204379,0.00000000,-0.00000000,0.27958360,-0.58637318,0.05542781,-0.09117902
-5.93396698,1.42742461,-1.52438598,0.35463420,-0.56725450,0.40913503,-0.31823860,0.01116492,-0.01008405,0.25629404,-0.29205706,0.39291541,-0.49131210,0.00000000,-0.00000000,0.28518591,-0.55805403,0.05524250,-0.08723186
-5.92796398,1.45014549,-1.44395527,0.36323618,-0.52453216,0.41697591,-0.29901065,0.01093389,-0.01035558,0.26236651,-0.27093869,0.39687382,-0.46999273,0.00000000,-0.00000000,0.29076270,-0.52934238,0.05504248,-0.08310770
-5.92196098,1.46793552,-1.36597526,0.37109988,-0.48479086,0.42295931,-0.28075931,0.01065658,-0.01058081,0.26730920,-0.25160689,0.39979013,-0.44835690,0.00000000,-0.00000000,0.29608001,-0.50060792,0.05479958,-0.07885596
-5.91595798,1.48018505,-1.29122650,0.37791828,-0.44813333,0.42693456,-0.26364741,0.01033824,-0.01075473,0.27098237,-0.23412531,0.40153651,-0.42669168,0.00000000,-0.00000000,0.30092139,-0.47222172,0.05448974,-0.07453045
-5.90995498,1.48643077,-1.22049269,0.38341536,-0.41464670,0.42879642,-0.24783373,0.00998485,-0.01087341,0.27327422,-0.21854981,0.40202402,-0.40529314,0.00000000,-0.00000000,0.30509487,-0.44454778,0.05409391,-0.07018763
