energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,7.51008493,1.56843774,0.43606528,0.00693684,1.20640676,0.15011562,3.27880812,1.02505737,0.90989421
-5.99399700,7.74915475,1.64343082,0.45927813,0.00716563,1.24360061,0.15698272,3.38436445,1.06401301,0.93974017
-5.98799400,7.97204714,1.71572020,0.48248716,0.00737602,1.27747189,0.16353711,3.48341371,1.09999901,0.96656823
-5.98199100,8.17500339,1.78418179,0.50531452,0.00756340,1.30747846,0.16966037,3.57427697,1.13243304,0.98991911
-5.97598799,8.35453591,1.84772054,0.52738082,0.00772355,1.33315804,0.17524021,3.65535524,1.16080956,1.00940191
-5.96998499,8.50753423,1.90530197,0.54831480,0.00785275,1.35414603,0.18017383,3.72517408,1.18471675,1.02470840
-5.96398199,8.63136277,1.95598276,0.56776322,0.00794794,1.37019050,0.18437093,3.78242654,1.20385087,1.03562496
-5.95797899,8.72394634,1.99893943,0.58540051,0.00800682,1.38116334,0.18775641,3.82601271,1.21802741,1.04204168
-5.95197599,8.78383976,2.03349357,0.60093790,0.00802792,1.38706718,0.19027251,3.85507441,1.22718867,1.04395800
-5.94597299,8.81027870,2.05913284,0.61413161,0.00801068,1.38803756,0.19188040,3.86902354,1.23140743,1.04148494
-5.93996998,8.80320968,2.07552671,0.62478990,0.00795550,1.38434062,0.19256107,3.86756286,1.23088661,1.03484369
-5.93396698,8.76329802,2.08253631,0.63277868,0.00786369,1.37636612,0.19231560,3.85069843,1.22595515,1.02436079
-5.92796398,8.69191372,2.08021806,0.63802537,0.00773755,1.36461649,0.19116469,3.81874296,1.21706027,1.01046016
-5.92196098,8.59109599,2.06882085,0.64052099,0.00758023,1.34969251,0.18914766,3.77231003,1.20475668,0.99365247
-5.91595798,8.46349818,2.04877704,0.64032031,0.00739575,1.33227625,0.18632077,3.71229929,1.18969336,0.97452235
-5.90995498,8.31231588,2.02068764,0.63754009,0.00718888,1.31311240,0.18275512,3.63987322,1.17259851,0.95371411
-5.90395198,8.14120114,1.98530242,0.63235540,0.00696506,1.29298883,0.17853419,3.55642641,1.15426351,0.93191659
-5.89794897,7.95416673,1.94349580,0.62499434,0.00673032,1.27271719,0.17375114,3.46354859,1.13552651,0.90984784
-5.89194597,7.75548419,1.89623950,0.61573111,0.00649109,1.25311468,0.16850592,3.36298271,1.11725640,0.88824010
-5.88594297,7.54957971,1.84457325,0.60487791,0.00625418,1.23498734,0.16290244,3.25657995,1.10033769,0.86782570
-5.87993997,7.34093142,1.78957459,0.59277585,0.00602658,1.21911568,0.15704589,3.14625305,1.08565664,0.84932415
-5.87393697,7.13397148,1.73232901,0.57978523,0.00581538,1.20624281,0.15104014,3.03392977,1.07408907,0.83343080
-5.86793397,6.93299578,1.67390144,0.56627556,0.00562760,1.19706521,0.14498561,2.92150798,1.06648977,0.82080702
-5.86193097,6.74208327,1.61531018,0.55261557,0.00547012,1.19222604,0.13897730,2.81081385,1.06368350,0.81207198
-5.85592796,6.56502646,1.55750395,0.53916362,0.00534947,1.19231074,0.13310335,2.70356416,1.06645735,0.80779595
-5.84992496,6.40527361,1.50134279,0.52625873,0.00527178,1.19784430,0.12744391,2.60133378,1.07555405,0.80849468
-5.84392196,6.26588295,1.44758317,0.51421254,0.00524263,1.20928988,0.12207039,2.50552896,1.09166577,0.81462475
-5.83791896,6.14948811,1.39686752,0.50330233,0.00526689,1.22704789,0.11704508,2.41736664,1.11542795,0.82657949
-5.83191596,6.05827405,1.34971825,0.49376534,0.00534863,1.25145506,0.11242102,2.33786010,1.14741260,0.84468506
