energy_ev,total_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.66888574,1.54903957,0.45336388,0.91048541,0.83431933,0.00850714,0.80920855,0.00515826,1.69370497
-5.99399700,3.62619993,1.54068998,0.44571929,0.91149848,0.81927104,0.00834301,0.79336245,0.00493998,1.68265815
-5.98799400,3.57451817,1.52855445,0.43731969,0.91029640,0.80195555,0.00817197,0.77506864,0.00472739,1.66782389
-5.98199100,3.51454088,1.51304524,0.42818674,0.90700476,0.78258861,0.00799277,0.75454259,0.00452106,1.64947702
-5.97598799,3.44708765,1.49461510,0.41835276,0.90177396,0.76141469,0.00780425,0.73203045,0.00432146,1.62794481
-5.96998499,3.37307915,1.47374442,0.40786202,0.89477528,0.73870092,0.00760538,0.70780338,0.00412896,1.60359937
-5.96398199,3.29351495,1.45092705,0.39677135,0.88619616,0.71473045,0.00739544,0.68215138,0.00394392,1.57684790
-5.95797899,3.20944818,1.42665513,0.38515001,0.87623475,0.68979551,0.00717400,0.65537689,0.00376670,1.54812079
-5.95197599,3.12195787,1.40140360,0.37307885,0.86509392,0.66419038,0.00694103,0.62778830,0.00359769,1.51785838
-5.94597299,3.03212024,1.37561495,0.36064877,0.85297510,0.63820452,0.00669688,0.59969375,0.00343733,1.48649675
-5.93996998,2.94098023,1.34968496,0.34795862,0.84007217,0.61211608,0.00644232,0.57139516,0.00328616,1.45445343
-5.93396698,2.84952465,1.32395019,0.33511267,0.82656581,0.58618620,0.00617847,0.54318301,0.00314480,1.42211377
-5.92796398,2.75865838,1.29867785,0.32221783,0.81261867,0.56065409,0.00590677,0.51533179,0.00301395,1.38981879
-5.92196098,2.66918491,1.27405871,0.30938080,0.79837172,0.53573323,0.00562894,0.48809639,0.00289445,1.35785528
-5.91595798,2.58179227,1.25020365,0.29670527,0.78394217,0.51160877,0.00534692,0.46170949,0.00278724,1.32644882
-5.90995498,2.49704526,1.22714390,0.28428952,0.76942310,0.48843629,0.00506274,0.43638003,0.00269339,1.29576020
-5.90395198,2.41538440,1.20483549,0.27222431,0.75488508,0.46634186,0.00477849,0.41229289,0.00261411,1.26588550
-5.89794897,2.33713165,1.18316738,0.26059141,0.74037976,0.44542337,0.00449624,0.38960951,0.00255077,1.23685999
-5.89194597,2.26250269,1.16197330,0.24946267,0.72594536,0.42575311,0.00421796,0.36846963,0.00250491,1.20866554
-5.88594297,2.19162480,1.14104648,0.23889971,0.71161393,0.40738136,0.00394550,0.34899388,0.00247825,1.18124120
-5.87993997,2.12455947,1.12015661,0.22895424,0.69741992,0.39034071,0.00368048,0.33128704,0.00247272,1.15449628
-5.87393697,2.06132805,1.09906818,0.21966879,0.68340977,0.37465102,0.00342433,0.31544183,0.00249048,1.12832510
-5.86793397,2.00193905,1.07755907,0.21107792,0.66965194,0.36032450,0.00317823,0.30154294,0.00253391,1.10262251
-5.86193097,1.94641511,1.05543847,0.20320967,0.65624678,0.34737075,0.00294313,0.28967100,0.00260561,1.07729911
-5.85592796,1.89481808,1.03256301,0.19608710,0.64333574,0.33580142,0.00271976,0.27990641,0.00270842,1.05229528
-5.84992496,1.84727051,1.00885036,0.18972983,0.63110931,0.32563419,0.00250864,0.27233250,0.00284536,1.02759310
-5.84392196,1.80397214,0.98428943,0.18415540,0.61981317,0.31689579,0.00231010,0.26703811,0.00301960,1.00322538
-5.83791896,1.76521047,0.95894669,0.17938034,0.60975221,0.30962401,0.00212434,0.26411919,0.00323441,0.97928125
-5.83191596,1.73136461,0.93296832,0.17542092,0.60129196,0.30386844,0.00195143,0.26367943,0.00349308,0.95590802
-5.82591296,1.70290226,0.90657811,0.17229346,0.59485745,0.29969004,0.00179139,0.26582979,0.00379882,0.93330927
-5.81990995,1.68037004,0.88007142,0.17001428,0.59092923,0.29715947,0.00164416,0.27068701,0.00415462,0.91173920
-5.81390695,1.66437771,0.85380548,0.16859927,0.59003681,0.29635432,0.00150970,0.27837104,0.00456319,0.89149383
-5.80790395,1.65557741,0.82818672,0.16806311,0.59274966,0.29735557,0.00138794,0.28900164,0.00502675,0.87289949
-5.80190095,1.65463900,0.80365601,0.16841838,0.59966605,0.30024320,0.00127887,0.30269428,0.00554694,0.85629948
-5.79589795,1.66222316,0.78067241,0.16967444,0.61140016,0.30509156,0.00118247,0.31955554,0.00612462,0.84203957
-5.78989495,1.67895357,0.75969657,0.17183641,0.62856800,0.31196458,0.00109879,0.33967820,0.00675979,0.83045343
-5.78389195,1.70538993,0.74117443,0.17490420,0.65177246,0.32091112,0.00102792,0.36313643,0.00745142,0.82184859
-5.77788894,1.74200305,0.72552217,0.17887176,0.68158816,0.33196081,0.00096994,0.38998114,0.00819738,0.81649379
-5.77188594,1.78915333,0.71311281,0.18372662,0.71854640,0.34512055,0.00092497,0.42023586,0.00899435,0.81460842
-5.76588294,1.84707351,0.70426529,0.18944967,0.76312083,0.36037193,0.00089312,0.45389322,0.00983776,0.81635429
-5.75987994,1.91585645,0.69923603,0.19601531,0.81571405,0.37766953,0.00087449,0.49091227,0.01072184,0.82183028
-5.75387694,1.99544809,0.69821332,0.20339190,0.87664557,0.39694038,0.00086912,0.53121677,0.01163963,0.83106972
-5.74787394,2.08564569,0.70131446,0.21154245,0.94614125,0.41808441,0.00087698,0.57469429,0.01258306,0.84404057
-5.74187094,2.18610101,0.70858546,0.22042546,1.02432453,0.44097597,0.00089796,0.62119643,0.01354313,0.86064811
-5.73586793,2.29632784,0.72000304,0.22999597,1.11120937,0.46546611,0.00093184,0.67053972,0.01451008,0.88073977
-5.72986493,2.41571313,0.73547857,0.24020648,1.20669508,0.49138566,0.00097826,0.72250744,0.01547358,0.90411166
-5.72386193,2.54353081,0.75486349,0.25100794,1.31056296,0.51854880,0.00103671,0.77685190,0.01642306,0.93051632
-5.71785893,2.67895740,0.77795573,0.26235054,1.42247465,0.54675691,0.00110652,0.83329727,0.01734794,0.95967115
-5.71185593,2.82108837,0.80450681,0.27418432,1.54197223,0.57580252,0.00118684,0.89154253,0.01823798,0.99126703
-5.70585293,2.96895447,0.83422913,0.28645956,1.66847986,0.60547311,0.00127665,0.95126461,0.01908355,1.02497679
-5.69984992,3.12153737,0.86680315,0.29912700,1.80130697,0.63555464,0.00137473,1.01212131,0.01987599,1.06046307
-5.69384692,3.27778394,0.90188423,0.31213779,1.93965283,0.66583461,0.00147971,1.07375410,0.02060783,1.09738547
-5.68784392,3.43661885,0.93910896,0.32544343,2.08261262,0.69610452,0.00159005,1.13579057,0.02127312,1.13540668
-5.68184092,3.59695548,0.97810085,0.33899551,2.22918473,0.72616179,0.00170405,1.19784656,0.02186759,1.17419770
-5.67583792,3.75770509,1.01847547,0.35274560,2.37827951,0.75581101,0.00181992,1.25952801,0.02238884,1.21344210
-5.66983492,3.91778448,1.05984490,0.36664520,2.52872941,0.78486463,0.00193578,1.32043262,0.02283643,1.25283948
-5.66383192,4.07612260,1.10182183,0.38064587,2.67930056,0.81314321,0.00204971,1.38015136,0.02321195,1.29210814
-5.65782891,4.23166655,1.14402317,0.39469971,2.82870574,0.84047524,0.00215980,1.43827017,0.02351896,1.33098738
-5.65182591,4.38338737,1.18607348,0.40876006,2.97561907,0.86669678,0.00226419,1.49437185,0.02376292,1.36923931
-5.64582291,4.53028626,1.22760818,0.42278258,3.11869200,0.89165105,0.00236112,1.54803848,0.02395101,1.40665049
-5.63981991,4.67140146,1.26827681,0.43672659,3.25657098,0.91518810,0.00244897,1.59885446,0.02409198,1.44303340
-5.63381691,4.80581616,1.30774612,0.45055666,3.38791645,0.93716473,0.00252636,1.64641040,0.02419578,1.47822781
-5.62781391,4.93266758,1.34570333,0.46424430,3.51142305,0.95744470,0.00259213,1.69030777,0.02427337,1.51210198
-5.62181091,5.05115696,1.38185921,0.47776958,3.62584087,0.97589941,0.00264539,1.73016463,0.02433628,1.54455362
-5.61580790,5.16056055,1.41595110,0.49112266,3.72999716,0.99240905,0.00268560,1.76562204,0.02439629,1.57551044
-5.60980490,5.26024075,1.44774578,0.50430484,3.82281834,1.00686414,0.00271252,1.79635126,0.02446508,1.60493020
-5.60380190,5.34965728,1.47704190,0.51732914,3.90335148,1.01916748,0.00272628,1.82206146,0.02455378,1.63279990
-5.59779890,5.42837734,1.50367203,0.53022012,3.97078481,1.02923642,0.00272731,1.84250757,0.02467269,1.65913408
-5.59179590,5.49608429,1.52750409,0.54301295,4.02446651,1.03700525,0.00271639,1.85749802,0.02483087,1.68397208
-5.58579290,5.55258406,1.54844213,0.55575145,4.06392114,1.04242767,0.00269456,1.86690195,0.02503585,1.70737404
-5.57978989,5.59780870,1.56642631,0.56848532,4.08886301,1.04547898,0.00266313,1.87065550,0.02529337,1.72941575
-5.57378689,5.63181664,1.58143215,0.58126639,4.09920590,1.04615813,0.00262359,1.86876682,0.02560713,1.75018244
-5.56778389,5.65478926,1.59346904,0.59414416,4.09506861,1.04448915,0.00257756,1.86131950,0.02597860,1.76976161
-5.56178089,5.66702390,1.60257799,0.60716077,4.07677598,1.04052212,0.00252673,1.84847401,0.02640694,1.78823521
-5.55577789,5.66892331,1.60882890,0.62034558,4.04485506,1.03433337,0.00247281,1.83046725,0.02688894,1.80567165
-5.54977489,5.66098214,1.61231738,0.63370982,4.00002652,1.02602500,0.00241742,1.80760978,0.02741899,1.82211793
-5.54377189,5.64377102,1.61316132,0.64724154,3.94319133,1.01572363,0.00236207,1.78028107,0.02798926,1.83759247
-5.53776888,5.61791902,1.61149748,0.66090122,3.87541306,1.00357854,0.00230810,1.74892268,0.02858974,1.85207915
-5.53176588,5.58409564,1.60747816,0.67461847,3.79789639,0.98975902,0.00225659,1.71402974,0.02920858,1.86552299
-5.52576288,5.54299312,1.60126825,0.68829005,3.71196231,0.97445134,0.00220839,1.67614094,0.02983233,1.87782796
-5.51975988,5.49531015,1.59304273,0.70177952,3.61902095,0.95785528,0.00216404,1.63582746,0.03044629,1.88885720
-5.51375688,5.44173789,1.58298474,0.71491871,3.52054288,0.94018037,0.00212381,1.59368126,0.03103496,1.89843589
-5.50775388,5.38294899,1.57128428,0.72751100,3.41802967,0.92164205,0.00208767,1.55030311,0.03158246,1.90635675
-5.50175088,5.31959007,1.55813748,0.73933656,3.31298475,0.90245792,0.00205531,1.50629079,0.03207306,1.91238824
-5.49574787,5.25227791,1.54374643,0.75015922,3.20688540,0.88284407,0.00202620,1.46222795,0.03249164,1.91628491
-5.48974487,5.18159941,1.52831943,0.75973485,3.10115660,0.86301176,0.00199961,1.41867379,0.03282419,1.91779980
-5.48374187,5.10811486,1.51207151,0.76782086,2.99714741,0.84316439,0.00197465,1.37615400,0.03305832,1.91669796
-5.47773887,5.03236397,1.49522506,0.77418640,2.89611055,0.82349500,0.00195037,1.33515306,0.03318369,1.91277082
-5.47173587,4.95487410,1.47801031,0.77862266,2.79918545,0.80418407,0.00192575,1.29610811,0.03319237,1.90585021
-5.46573287,4.87616950,1.46066560,0.78095298,2.70738495,0.78539794,0.00189983,1.25940438,0.03307919,1.89582170
-5.45972986,4.79678080,1.44343708,0.78104199,2.62158599,0.76728758,0.00187171,1.22537226,0.03284191,1.88263617
