energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,3.86810659,-3.86810698,0.03936675,-0.03936674,0.29165141,-0.29165150,1.51638860,-1.51638880,1.24217994,-1.24218012,0.02585503,-0.02585503,1.89791161,-1.89791171,1.03656605,-1.03656609,0.19475883,-0.19475885
-5.99399700,3.92060537,-3.92060568,0.03904241,-0.03904241,0.30152238,-0.30152247,1.54549466,-1.54549482,1.26694184,-1.26694202,0.02582406,-0.02582406,1.91592165,-1.91592170,1.04631917,-1.04631918,0.19693858,-0.19693859
-5.98799400,3.95671446,-3.95671468,0.03846019,-0.03846018,0.31121236,-0.31121245,1.56598478,-1.56598489,1.28999429,-1.28999447,0.02563422,-0.02563422,1.92393896,-1.92393896,1.05014833,-1.05014831,0.19809582,-0.19809583
-5.98199100,3.97607988,-3.97608002,0.03763196,-0.03763196,0.32064651,-0.32064660,1.57751352,-1.57751358,1.31121022,-1.31121040,0.02528961,-0.02528960,1.92184328,-1.92184323,1.04798628,-1.04798623,0.19822271,-0.19822271
-5.97598799,3.97864625,-3.97864631,0.03657437,-0.03657437,0.32973894,-0.32973903,1.57992204,-1.57992205,1.33045039,-1.33045056,0.02479749,-0.02479749,1.90972240,-1.90972229,1.03989258,-1.03989250,0.19733285,-0.19733285
-5.96998499,3.96465775,-3.96465773,0.03530825,-0.03530824,0.33839356,-0.33839365,1.57324437,-1.57324434,1.34756358,-1.34756374,0.02416810,-0.02416809,1.88787193,-1.88787177,1.02605366,-1.02605355,0.19546108,-0.19546107
-5.96398199,3.93464903,-3.93464893,0.03385794,-0.03385793,0.34650551,-0.34650560,1.55770686,-1.55770678,1.36238774,-1.36238789,0.02341422,-0.02341421,1.85678777,-1.85678756,1.00677841,-1.00677827,0.19266237,-0.19266236
-5.95797899,3.88942639,-3.88942621,0.03225057,-0.03225056,0.35396313,-0.35396321,1.53372074,-1.53372062,1.37475206,-1.37475220,0.02255084,-0.02255084,1.81715142,-1.81715117,0.98248922,-0.98248906,0.18901018,-0.18901016
-5.95197599,3.83004053,-3.83004028,0.03051516,-0.03051515,0.36065056,-0.36065064,1.50186827,-1.50186810,1.38448014,-1.38448027,0.02159466,-0.02159466,1.76980883,-1.76980854,0.95370909,-0.95370891,0.18459402,-0.18459399
-5.94597299,3.75775195,-3.75775164,0.02868186,-0.02868185,0.36645092,-0.36645099,1.46288300,-1.46288280,1.39139442,-1.39139454,0.02056357,-0.02056356,1.71574367,-1.71574335,0.92104514,-0.92104494,0.17951652,-0.17951649
-5.93996998,3.67399113,-3.67399075,0.02678101,-0.02678100,0.37124991,-0.37124998,1.41762527,-1.41762503,1.39532175,-1.39532184,0.01947609,-0.01947609,1.65604628,-1.65604594,0.88516942,-0.88516920,0.17389016,-0.17389013
-5.93396698,3.58031518,-3.58031474,0.02484240,-0.02484239,0.37493993,-0.37493998,1.36705394,-1.36705367,1.39610016,-1.39610023,0.01835093,-0.01835092,1.59187969,-1.59187932,0.84679769,-0.84679746,0.16783362,-0.16783359
-5.92796398,3.47836339,-3.47836290,0.02289455,-0.02289454,0.37742434,-0.37742439,1.31219579,-1.31219550,1.39358672,-1.39358677,0.01720637,-0.01720636,1.52444420,-1.52444382,0.80666738,-0.80666714,0.16146815,-0.16146812
-5.92196098,3.36981334,-3.36981281,0.02096401,-0.02096400,0.37862202,-0.37862206,1.25411397,-1.25411367,1.38766615,-1.38766617,0.01605989,-0.01605988,1.45494218,-1.45494179,0.76551533,-0.76551510,0.15491398,-0.15491395
