energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.33363890,0.00782604,0.26716051,0.65598464,0.77953058,0.02579981,0.85377412
-5.99399700,2.40931113,0.00840410,0.26434140,0.66853383,0.80745258,0.02671207,0.88869589
-5.98799400,2.50057278,0.00902282,0.26270257,0.68585972,0.84039034,0.02780469,0.93070131
-5.98199100,2.60623846,0.00967526,0.26223332,0.70757076,0.87802622,0.02906021,0.97916756
-5.97598799,2.72489801,0.01035345,0.26290475,0.73320695,0.91998183,0.03045772,1.03337108
-5.96998499,2.85494414,0.01104854,0.26466981,0.76224957,0.96582445,0.03197349,1.09250365
-5.96398199,2.99460524,0.01175103,0.26746373,0.79413207,1.01507471,0.03358154,1.15569050
-5.95797899,3.14198242,0.01245099,0.27120491,0.82825209,1.06721555,0.03525443,1.22200983
-5.95197599,3.29508966,0.01313830,0.27579624,0.86398419,1.12170199,0.03696399,1.29051329
-5.94597299,3.45189562,0.01380299,0.28112674,0.90069289,1.17797121,0.03868212,1.36024657
-5.93996998,3.61036551,0.01443541,0.28707362,0.93774571,1.23545270,0.04038153,1.43026968
-5.93396698,3.76850132,0.01502661,0.29350447,0.97452571,1.29357778,0.04203653,1.49967577
-5.92796398,3.92437890,0.01556850,0.30027973,1.01044313,1.35178814,0.04362363,1.56760827
-5.92196098,4.07618020,0.01605412,0.30725520,1.04494572,1.40954296,0.04512212,1.63327520
-5.91595798,4.22221980,0.01647776,0.31428460,1.07752752,1.46632441,0.04651453,1.69596069
-5.90995498,4.36096461,0.01683514,0.32122211,1.10773575,1.52164117,0.04778690,1.75503295
-5.90395198,4.49104662,0.01712344,0.32792478,1.13517572,1.57503025,0.04892896,1.80994879
-5.89794897,4.61126881,0.01734132,0.33425485,1.15951382,1.62605706,0.04993410,1.86025478
-5.89194597,4.72060470,0.01748889,0.34008190,1.18047853,1.67431413,0.05079930,1.90558527
