energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.69861638,0.02931352,0.68400644,0.13671727,2.36445684,2.05395760,0.05655319,1.64910572
-5.99399700,4.38495533,0.02775583,0.63202087,0.13019290,2.21357846,1.91286958,0.05322350,1.54733660
-5.98799400,4.09361430,0.02622370,0.58364553,0.12413938,2.07589457,1.78086091,0.05014462,1.45295689
-5.98199100,3.82622537,0.02472543,0.53915921,0.11856705,1.95182493,1.65888821,0.04733590,1.36647095
-5.97598799,3.58394783,0.02326845,0.49876366,0.11347959,1.84151515,1.54771382,0.04481071,1.28822721
-5.96998499,3.36749857,0.02185941,0.46258826,0.10887505,1.74486497,1.44791270,0.04257679,1.21842913
-5.96398199,3.17719173,0.02050427,0.43069626,0.10474679,1.66156210,1.35988353,0.04063665,1.15714925
-5.95797899,3.01298532,0.01920838,0.40309214,0.10108453,1.59111985,1.28386280,0.03898816,1.10434537
-5.95197599,2.87453235,0.01797657,0.37972989,0.09787516,1.53291713,1.21994135,0.03762510,1.05987827
-5.94597299,2.76123422,0.01681310,0.36052171,0.09510360,1.48623933,1.16808222,0.03653793,1.02353000
-5.93996998,2.67229416,0.01572179,0.34534682,0.09275343,1.45031847,1.12813906,0.03571441,0.99502189
-5.93396698,2.60676860,0.01470590,0.33406010,0.09080740,1.42437121,1.09987431,0.03514033,0.97403183
-5.92796398,2.56361479,0.01376819,0.32650033,0.08924784,1.40763350,1.08297643,0.03480016,0.96020983
-5.92196098,2.54173308,0.01291086,0.32249755,0.08805688,1.39939065,1.07707567,0.03467765,0.95319172
-5.91595798,2.54000285,0.01213550,0.32187964,0.08721655,1.39900195,1.08175791,0.03475638,0.95261033
-5.90995498,2.55731130,0.01144308,0.32447773,0.08670884,1.40591917,1.09657637,0.03502020,0.95810408
-5.90395198,2.59257485,0.01083390,0.33013051,0.08651557,1.41969849,1.12106100,0.03545357,0.96932291
-5.89794897,2.64475300,0.01030761,0.33868722,0.08661827,1.44000578,1.15472569,0.03604184,0.98593156
-5.89194597,2.71285537,0.00986312,0.35000949,0.08699802,1.46661524,1.19707330,0.03677142,1.00761040
-5.88594297,2.79594225,0.00949869,0.36397190,0.08763526,1.49940194,1.24759894,0.03762981,1.03405431
-5.87993997,2.89311998,0.00921191,0.38046152,0.08850968,1.53832887,1.30579164,0.03860564,1.06496976
-5.87393697,3.00353200,0.00899975,0.39937634,0.08960008,1.58342920,1.37113497,0.03968855,1.10007089
-5.86793397,3.12634706,0.00885859,0.42062289,0.09088436,1.63478504,1.44310678,0.04086911,1.13907482
-5.86193097,3.26074576,0.00878429,0.44411310,0.09233957,1.69250359,1.52117866,0.04213865,1.18169706
-5.85592796,3.40590662,0.00877227,0.46976066,0.09394201,1.75669208,1.60481523,0.04348909,1.22764718
-5.84992496,3.56099306,0.00881758,0.49747697,0.09566751,1.82743257,1.69347370,0.04491275,1.27662546
-5.84392196,3.72514194,0.00891494,0.52716698,0.09749173,1.90475800,1.78660383,0.04640226,1.32832069
-5.83791896,3.89745480,0.00905888,0.55872502,0.09939056,1.98863031,1.88364843,0.04795038,1.38240949
-5.83191596,4.07699204,0.00924378,0.59203086,0.10134055,2.07892185,1.98404445,0.04954997,1.43855716
