energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,0.40427511,0.10874474,0.18509938,0.00132019,0.00629587,0.11156710,0.00000000,0.00657301,0.16455400
-5.99399700,0.42381697,0.10827082,0.19786519,0.00120541,0.00590628,0.11167403,0.00000000,0.00687270,0.17035221
-5.98799400,0.44685992,0.10906635,0.21243582,0.00112653,0.00561407,0.11289277,0.00000000,0.00720819,0.17740395
-5.98199100,0.47298569,0.11097048,0.22870410,0.00108350,0.00540700,0.11503876,0.00000000,0.00756988,0.18548527
-5.97598799,0.50176951,0.11382197,0.24656323,0.00107670,0.00527279,0.11792451,0.00000000,0.00794784,0.19436723
-5.96998499,0.53279383,0.11746402,0.26591134,0.00110705,0.00519948,0.12136474,0.00000000,0.00833208,0.20382262
-5.96398199,0.56566137,0.12174869,0.28665552,0.00117610,0.00517568,0.12518103,0.00000000,0.00871279,0.21363252
-5.95797899,0.60000682,0.12654078,0.30871503,0.00128611,0.00519083,0.12920627,0.00000000,0.00908068,0.22359253
-5.95197599,0.63550685,0.13172109,0.33202340,0.00144008,0.00523540,0.13328849,0.00000000,0.00942719,0.23351848
-5.94597299,0.67188791,0.13718904,0.35652933,0.00164182,0.00530102,0.13729427,0.00000000,0.00974479,0.24325142
-5.93996998,0.70893141,0.14286446,0.38219612,0.00189588,0.00538059,0.14111141,0.00000000,0.01002716,0.25266172
-5.93396698,0.74647584,0.14868863,0.40899958,0.00220756,0.00546836,0.14465092,0.00000000,0.01026937,0.26165201
-5.92796398,0.78441582,0.15462438,0.43692431,0.00258279,0.00555993,0.14784828,0.00000000,0.01046804,0.27015898
-5.92196098,0.82269771,0.16065538,0.46595858,0.00302806,0.00565225,0.15066375,0.00000000,0.01062138,0.27815375
-5.91595798,0.86131204,0.16678447,0.49608776,0.00355020,0.00574352,0.15308197,0.00000000,0.01072921,0.28564080
-5.90995498,0.90028296,0.17303117,0.52728677,0.00415620,0.00583316,0.15511049,0.00000000,0.01079294,0.29265551
-5.90395198,0.93965505,0.17942839,0.55951183,0.00485297,0.00592160,0.15677773,0.00000000,0.01081543,0.29926034
-5.89794897,0.97947831,0.18601845,0.59269189,0.00564704,0.00601018,0.15812993,0.00000000,0.01080083,0.30553970
-5.89194597,1.01979180,0.19284860,0.62672048,0.00654423,0.00610093,0.15922761,0.00000000,0.01075439,0.31159380
-5.88594297,1.06060709,0.19996614,0.66144835,0.00754927,0.00619636,0.16014146,0.00000000,0.01068215,0.31753176
-5.87993997,1.10189227,0.20741342,0.69667752,0.00866548,0.00629926,0.16094786,0.00000000,0.01059070,0.32346407
-5.87393697,1.14355763,0.21522289,0.73215729,0.00989433,0.00641245,0.16172425,0.00000000,0.01048684,0.32949506
-5.86793397,1.18544381,0.22341248,0.76758277,0.01123511,0.00653858,0.16254453,0.00000000,0.01037725,0.33571546
-5.86193097,1.22731341,0.23198149,0.80259603,0.01268456,0.00667991,0.16347470,0.00000000,0.01026824,0.34219555
-5.85592796,1.26884666,0.24090731,0.83679041,0.01423657,0.00683813,0.16456889,0.00000000,0.01016540,0.34897920
-5.84992496,1.30964163,0.25014299,0.86971784,0.01588195,0.00701416,0.16586607,0.00000000,0.01007343,0.35607915
-5.84392196,1.34921931,0.25961604,0.90089913,0.01760829,0.00720809,0.16738745,0.00000000,0.00999586,0.36347377
-5.83791896,1.38703359,0.26922837,0.92983702,0.01939990,0.00741907,0.16913486,0.00000000,0.00993500,0.37110539
-5.83191596,1.42248577,0.27885757,0.95603146,0.02123787,0.00764526,0.17108996,0.00000000,0.00989179,0.37888056
-5.82591296,1.45494320,0.28835944,0.97899655,0.02310028,0.00788389,0.17321464,0.00000000,0.00986583,0.38667198
-5.81990995,1.48376136,0.29757180,0.99827855,0.02496252,0.00813130,0.17545222,0.00000000,0.00985545,0.39432227
-5.81390695,1.50830831,0.30631929,1.01347399,0.02679776,0.00838310,0.17772975,0.00000000,0.00985777,0.40164934
-5.80790395,1.52799057,0.31441921,1.02424727,0.02857750,0.00863429,0.17996103,0.00000000,0.00986895,0.40845311
-5.80190095,1.54227928,0.32168799,1.03034679,0.03027233,0.00887954,0.18205039,0.00000000,0.00988435,0.41452344
-5.79589795,1.55073530,0.32794803,1.03161895,0.03185262,0.00911338,0.18389701,0.00000000,0.00989883,0.41964870
-5.78989495,1.55303235,0.33303476,1.02801926,0.03328942,0.00933052,0.18539949,0.00000000,0.00990703,0.42362480
-5.78389195,1.54897682,0.33680343,1.01962018,0.03455534,0.00952609,0.18646062,0.00000000,0.00990367,0.42626419
-5.77788894,1.53852358,0.33913542,1.00661509,0.03562536,0.00969599,0.18699201,0.00000000,0.00988383,0.42740437
-5.77188594,1.52178683,0.33994378,0.98931833,0.03647766,0.00983712,0.18691841,0.00000000,0.00984328,0.42691564
-5.76588294,1.49904558,0.33917763,0.96816113,0.03709440,0.00994767,0.18618157,0.00000000,0.00977868,0.42470761
