energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
0.79539770,4.86166982,0.12357802,0.04441446,0.00210610,0.12021441,0.11927142,0.43043006,0.24359326,4.09694472
0.80140070,4.70552927,0.12349061,0.04322172,0.00213032,0.11552961,0.11411672,0.41915977,0.24130542,3.96178534
0.80740370,4.56560884,0.12412272,0.04205386,0.00216985,0.11115940,0.10935910,0.40876737,0.23983726,3.84142826
0.81340670,4.44448619,0.12552244,0.04092634,0.00222580,0.10713359,0.10506581,0.39933653,0.23925599,3.73818257
0.81940970,4.34478508,0.12773589,0.03985632,0.00229936,0.10348331,0.10129734,0.39096197,0.23963482,3.65440285
0.82541271,4.26913753,0.13080627,0.03886239,0.00239177,0.10024022,0.09810678,0.38375014,0.24105180,3.59245393
0.83141571,4.22013798,0.13477278,0.03796416,0.00250430,0.09743587,0.09553926,0.37781891,0.24358802,3.55466830
0.83741871,4.20028949,0.13966931,0.03718181,0.00263820,0.09510081,0.09363153,0.37329633,0.24732514,3.54329644
0.84342171,4.21194213,0.14552311,0.03653558,0.00279466,0.09326377,0.09241170,0.37031833,0.25234241,3.56045011
0.84942471,4.25722432,0.15235317,0.03604516,0.00297471,0.09195073,0.09189904,0.36902543,0.25871315,3.60803950
0.85542771,4.33796847,0.16016873,0.03572909,0.00317919,0.09118399,0.09210397,0.36955838,0.26650082,3.68770509
0.86143072,4.45563244,0.16896762,0.03560409,0.00340869,0.09098119,0.09302804,0.37205299,0.27575488,3.80074606
0.86743372,4.61121938,0.17873475,0.03568441,0.00366341,0.09135432,0.09466407,0.37663417,0.28650649,3.94804720
0.87343672,4.80519860,0.18944065,0.03598115,0.00394317,0.09230878,0.09699628,0.38340946,0.29876432,4.13000709
0.87943972,5.03743104,0.20104031,0.03650170,0.00424729,0.09384242,0.10000048,0.39246220,0.31251060,4.34647037
0.88544272,5.30710277,0.21347226,0.03724919,0.00457456,0.09594470,0.10364435,0.40384477,0.32769763,4.59666771
0.89144572,5.61267072,0.22665800,0.03822203,0.00492318,0.09859594,0.10788766,0.41757201,0.34424502,4.87916689
0.89744872,5.95182432,0.24050200,0.03941360,0.00529074,0.10176667,0.11268259,0.43361530,0.36203768,5.19183859
0.90345173,6.32146693,0.25489215,0.04081210,0.00567421,0.10541725,0.11797409,0.45189763,0.38092493,5.53184037
0.90945473,6.71772020,0.26970078,0.04240051,0.00606990,0.10949765,0.12370029,0.47228980,0.40072075,5.89562161
0.91545773,7.13595400,0.28478637,0.04415675,0.00647358,0.11394756,0.12979293,0.49460825,0.42120533,6.27895191
0.92146073,7.57084365,0.29999584,0.04605406,0.00688045,0.11869674,0.13617798,0.51861463,0.44212793,6.67697434
0.92746373,8.01645465,0.31516743,0.04806150,0.00728525,0.12366576,0.14277631,0.54401731,0.46321115,7.08428388
0.93346673,8.46635455,0.33013418,0.05014469,0.00768239,0.12876708,0.14950456,0.57047495,0.48415642,7.49503037
0.93946973,8.91374944,0.34472782,0.05226663,0.00806604,0.13390646,0.15627608,0.59760219,0.50465079,7.90304388
0.94547274,9.35164179,0.35878305,0.05438872,0.00843027,0.13898474,0.16300211,0.62497719,0.52437460,8.30197923
0.95147574,9.77300459,0.37214202,0.05647179,0.00876927,0.14389990,0.16959314,0.65215118,0.54301002,8.68547510
0.95747874,10.17096598,0.38465880,0.05847732,0.00907743,0.14854941,0.17596034,0.67865936,0.56025003,9.04732220
0.96348174,10.53899730,0.39620373,0.06036851,0.00934960,0.15283273,0.18201723,0.70403311,0.57580755,9.38163415
0.96948474,10.87109717,0.40666741,0.06211140,0.00958122,0.15665401,0.18768137,0.72781290,0.58942440,9.68301422
