energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.89432396,0.43232786,0.00000000,2.60889850,0.00000000,1.28994908,1.14473065
-5.99399700,4.90914623,0.43716738,0.00000000,2.60746708,0.00000000,1.28686849,1.15610328
-5.98799400,4.91798410,0.44192637,0.00000000,2.60212202,0.00000000,1.28112999,1.16698238
-5.98199100,4.92194613,0.44655503,0.00000000,2.59374535,0.00000000,1.27311181,1.17734669
-5.97598799,4.92208771,0.45098543,0.00000000,2.58321381,0.00000000,1.26319968,1.18713388
-5.96998499,4.91937493,0.45513469,0.00000000,2.57136824,0.00000000,1.25177459,1.19624376
-5.96398199,4.91465286,0.45890881,0.00000000,2.55898477,0.00000000,1.23920117,1.20454326
-5.95797899,4.90861959,0.46220696,0.00000000,2.54674910,0.00000000,1.22581732,1.21187300
-5.95197599,4.90180695,0.46492607,0.00000000,2.53523482,0.00000000,1.21192521,1.21805501
-5.94597299,4.89456842,0.46696542,0.00000000,2.52488664,0.00000000,1.19778420,1.22290136
-5.93996998,4.88707466,0.46823119,0.00000000,2.51600894,0.00000000,1.18360562,1.22622320
-5.93396698,4.87931656,0.46864054,0.00000000,2.50876014,0.00000000,1.16954975,1.22783983
-5.92796398,4.87111567,0.46812531,0.00000000,2.50315291,0.00000000,1.15572486,1.22758741
-5.92196098,4.86214114,0.46663500,0.00000000,2.49906005,0.00000000,1.14218845,1.22532697
-5.91595798,4.85193262,0.46413914,0.00000000,2.49622564,0.00000000,1.12895027,1.22095147
-5.90995498,4.83992794,0.46062878,0.00000000,2.49428093,0.00000000,1.11597722,1.21439148
-5.90395198,4.82549436,0.45611722,0.00000000,2.49276417,0.00000000,1.10319960,1.20561959
-5.89794897,4.80796225,0.45064007,0.00000000,2.49114352,0.00000000,1.09051854,1.19465321
-5.89194597,4.78665973,0.44425442,0.00000000,2.48884208,0.00000000,1.07781429,1.18155581
-5.88594297,4.76094720,0.43703751,0.00000000,2.48526413,0.00000000,1.06495487,1.16643674
-5.87993997,4.73025020,0.42908478,0.00000000,2.47982135,0.00000000,1.05180494,1.14944956
-5.87393697,4.69408985,0.42050751,0.00000000,2.47195835,0.00000000,1.03823429,1.13078909
-5.86793397,4.65210943,0.41143017,0.00000000,2.46117640,0.00000000,1.02412592,1.11068744
-5.86193097,4.60409664,0.40198749,0.00000000,2.44705462,0.00000000,1.00938322,1.08940903
-5.85592796,4.55000049,0.39232153,0.00000000,2.42926801,0.00000000,0.99393608,1.06724497
-5.84992496,4.48994254,0.38257867,0.00000000,2.40760155,0.00000000,0.97774575,1.04450690
-5.84392196,4.42422200,0.37290671,0.00000000,2.38196030,0.00000000,0.96080830,1.02152049
-5.83791896,4.35331461,0.36345215,0.00000000,2.35237485,0.00000000,0.94315662,0.99861878
-5.83191596,4.27786530,0.35435760,0.00000000,2.31900229,0.00000000,0.92486086,0.97613542
-5.82591296,4.19867495,0.34575943,0.00000000,2.28212264,0.00000000,0.90602736,0.95439812
-5.81990995,4.11668157,0.33778566,0.00000000,2.24213094,0.00000000,0.88679624,0.93372217
-5.81390695,4.03293652,0.33055409,0.00000000,2.19952538,0.00000000,0.86733758,0.91440426
-5.80790395,3.94857668,0.32417063,0.00000000,2.15489190,0.00000000,0.84784654,0.89671673
-5.80190095,3.86479335,0.31872784,0.00000000,2.10888594,0.00000000,0.82853750,0.88090217
-5.79589795,3.78279905,0.31430374,0.00000000,2.06221196,0.00000000,0.80963755,0.86716863
-5.78989495,3.70379331,0.31096075,0.00000000,2.01560160,0.00000000,0.79137955,0.85568539
-5.78389195,3.62892883,0.30874492,0.00000000,1.96979120,0.00000000,0.77399497,0.84657954
-5.77788894,3.55927898,0.30768523,0.00000000,1.92549961,0.00000000,0.75770695,0.83993336
-5.77188594,3.49580822,0.30779332,0.00000000,1.88340705,0.00000000,0.74272368,0.83578265
-5.76588294,3.43934610,0.30906327,0.00000000,1.84413579,0.00000000,0.72923248,0.83411617
-5.75987994,3.39056624,0.31147178,0.00000000,1.80823339,0.00000000,0.71739476,0.83487615
-5.75387694,3.34997068,0.31497860,0.00000000,1.77615886,0.00000000,0.70734192,0.83796012
-5.74787394,3.31788036,0.31952734,0.00000000,1.74827245,0.00000000,0.69917264,0.84322386
-5.74187094,3.29443194,0.32504652,0.00000000,1.72482896,0.00000000,0.69295121,0.85048564
-5.73586793,3.27958086,0.33145112,0.00000000,1.70597504,0.00000000,0.68870728,0.85953156
-5.72986493,3.27311043,0.33864434,0.00000000,1.69175003,0.00000000,0.68643683,0.87012197
-5.72386193,3.27464647,0.34651984,0.00000000,1.68209038,0.00000000,0.68610428,0.88199869
-5.71785893,3.28367654,0.35496415,0.00000000,1.67683722,0.00000000,0.68764556,0.89489284
-5.71185593,3.29957314,0.36385947,0.00000000,1.67574653,0.00000000,0.69097216,0.90853314
-5.70585293,3.32161947,0.37308655,0.00000000,1.67850151,0.00000000,0.69597560,0.92265418
-5.69984992,3.34903697,0.38252774,0.00000000,1.68472649,0.00000000,0.70253251,0.93700455
-5.69384692,3.38101333,0.39207001,0.00000000,1.69400186,0.00000000,0.71050968,0.95135443
-5.68784392,3.41673005,0.40160798,0.00000000,1.70587942,0.00000000,0.71976920,0.96550241
-5.68184092,3.45538846,0.41104662,0.00000000,1.71989766,0.00000000,0.73017322,0.97928119
-5.67583792,3.49623347,0.42030371,0.00000000,1.73559650,0.00000000,0.74158828,0.99256213
-5.66983492,3.53857437,0.42931192,0.00000000,1.75253117,0.00000000,0.75388901,1.00525822
-5.66383192,3.58180211,0.43802032,0.00000000,1.77028476,0.00000000,0.76696105,1.01732559
-5.65782891,3.62540266,0.44639532,0.00000000,1.78847936,0.00000000,0.78070315,1.02876342
-5.65182591,3.66896635,0.45442097,0.00000000,1.80678544,0.00000000,0.79502836,1.03961215
-5.64582291,3.71219297,0.46209853,0.00000000,1.82492938,0.00000000,0.80986426,1.04995028
-5.63981991,3.75489267,0.46944544,0.00000000,1.84269906,0.00000000,0.82515238,1.05988964
-5.63381691,3.79698285,0.47649345,0.00000000,1.85994729,0.00000000,0.84084668,1.06956948
-5.62781391,3.83848123,0.48328632,0.00000000,1.87659315,0.00000000,0.85691139,1.07914955
-5.62181091,3.87949531,0.48987687,0.00000000,1.89262111,0.00000000,0.87331814,1.08880233
-5.61580790,3.92020877,0.49632373,0.00000000,1.90807799,0.00000000,0.89004269,1.09870491
-5.60980490,3.96086524,0.50268776,0.00000000,1.92306773,0.00000000,0.90706133,1.10903068
