energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up
-6.00000000,9.82572914,2.49389819,6.74274781,0.02479108,0.21643377,0.03951781,0.00000000,0.10885447,2.15195581
-5.99399700,9.54359085,2.42672343,6.54131487,0.02427828,0.20747759,0.03875644,0.00000000,0.10717271,2.09302292
-5.98799400,9.26905459,2.35495928,6.34899867,0.02370912,0.19822313,0.03803489,0.00000000,0.10577499,2.03514437
-5.98199100,9.00186014,2.27919807,6.16542089,0.02308663,0.18876481,0.03734703,0.00000000,0.10461550,1.97816536
-5.97598799,8.74157322,2.20002174,5.99008341,0.02241464,0.17919307,0.03668410,0.00000000,0.10364029,1.92187186
-5.96998499,8.48764999,2.11799678,5.82241841,0.02169784,0.16959253,0.03603516,0.00000000,0.10278924,1.86600935
-5.96398199,8.23950550,2.03367200,5.66183884,0.02094183,0.16004066,0.03538778,0.00000000,0.10199839,1.81030379
-5.95797899,7.99658281,1.94757897,5.50778671,0.02015316,0.15060685,0.03472877,0.00000000,0.10120265,1.75448385
-5.95197599,7.75841917,1.86023447,5.35977717,0.01933941,0.14135204,0.03404488,0.00000000,0.10033846,1.69830318
-5.94597299,7.52470585,1.77214449,5.21743627,0.01850918,0.13232874,0.03332358,0.00000000,0.09934665,1.64156179
-5.93996998,7.29533887,1.68380896,5.08053072,0.01767216,0.12358137,0.03255376,0.00000000,0.09817506,1.58412542
-5.93396698,7.07045782,1.59572668,4.94898844,0.01683910,0.11514693,0.03172634,0.00000000,0.09678085,1.52594196
-5.92796398,6.85047113,1.50839977,4.82290896,0.01602182,0.10705585,0.03083484,0.00000000,0.09513257,1.46705423
-5.92196098,6.63606633,1.42233710,4.70256328,0.01523323,0.09933287,0.02987571,0.00000000,0.09321169,1.40760855
-5.91595798,6.42820492,1.33805626,4.58838330,0.01448725,0.09199806,0.02884866,0.00000000,0.09101356,1.34785869
-5.90995498,6.22810186,1.25608381,4.48094126,0.01379883,0.08506770,0.02775670,0.00000000,0.08854792,1.28816510
-5.90395198,6.03719079,1.17695366,4.38092023,0.01318381,0.07855513,0.02660613,0.00000000,0.08583873,1.22898944
-5.89794897,5.85707626,1.10120345,4.28907691,0.01265889,0.07247142,0.02540635,0.00000000,0.08292358,1.17088483
-5.89194597,5.68947520,1.02936922,4.20619847,0.01224146,0.06682593,0.02416957,0.00000000,0.07985243,1.11448200
-5.88594297,5.53614999,0.96197844,4.13305520,0.01194948,0.06162664,0.02291033,0.00000000,0.07668604,1.06047219
-5.87993997,5.39883610,0.89954180,4.07035134,0.01180123,0.05688039,0.02164507,0.00000000,0.07349398,1.00958734
-5.87393697,5.27916725,0.84254406,4.01867601,0.01181505,0.05259291,0.02039150,0.00000000,0.07035231,0.96257826
-5.86793397,5.17860107,0.79143439,3.97845656,0.01200907,0.04876881,0.01916805,0.00000000,0.06734118,0.92019181
-5.86193097,5.09834852,0.74661663,3.94991660,0.01240077,0.04541137,0.01799325,0.00000000,0.06454220,0.88314749
-5.85592796,5.03930961,0.70843983,3.93304047,0.01300658,0.04252238,0.01688515,0.00000000,0.06203588,0.85211456
-5.84992496,5.00201828,0.67718939,3.92754600,0.01384138,0.04010189,0.01586075,0.00000000,0.05989908,0.82769005
-5.84392196,4.98659827,0.65307924,3.93286697,0.01491792,0.03814799,0.01493554,0.00000000,0.05820265,0.81037847
-5.83791896,4.99273194,0.63624512,3.94814628,0.01624629,0.03665660,0.01412302,0.00000000,0.05700922,0.80057368
-5.83191596,5.01964317,0.62673938,3.97224031,0.01783322,0.03562131,0.01343441,0.00000000,0.05637120,0.79854340
-5.82591296,5.06609492,0.62452729,4.00373480,0.01968157,0.03503333,0.01287831,0.00000000,0.05632917,0.80441663
-5.81990995,5.13040175,0.62948495,4.04097164,0.02178965,0.03488138,0.01246059,0.00000000,0.05691045,0.81817450
-5.81390695,5.21045675,0.64139898,4.08208590,0.02415075,0.03515180,0.01218422,0.00000000,0.05812812,0.83964455
-5.80790395,5.30377209,0.65996789,4.12505169,0.02675265,0.03582860,0.01204933,0.00000000,0.05998033,0.86849876
-5.80190095,5.40753181,0.68480507,4.16773528,0.02957730,0.03689361,0.01205316,0.00000000,0.06245000,0.90425546
-5.79589795,5.51865516,0.71544345,4.20795329,0.03260068,0.03832666,0.01219031,0.00000000,0.06550488,0.94628513
-5.78989495,5.63386844,0.75134174,4.24353402,0.03579277,0.04010575,0.01245283,0.00000000,0.06909805,0.99382008
-5.78389195,5.74978308,0.79189206,4.27237923,0.03911776,0.04220725,0.01283054,0.00000000,0.07316876,1.04596799
-5.77788894,5.86297765,0.83642895,4.29252435,0.04253454,0.04460611,0.01331131,0.00000000,0.07764362,1.10172917
-5.77188594,5.97008126,0.88423958,4.30219455,0.04599734,0.04727593,0.01388138,0.00000000,0.08243825,1.16001717
-5.76588294,6.06785589,0.93457495,4.29985496,0.04945667,0.05018916,0.01452578,0.00000000,0.08745916,1.21968252
-5.75987994,6.15327546,0.98666200,4.28425305,0.05286040,0.05331713,0.01522872,0.00000000,0.09260604,1.27953897
-5.75387694,6.22359932,1.03971634,4.25445189,0.05615514,0.05663008,0.01597402,0.00000000,0.09777421,1.33839175
-5.74787394,6.27643825,1.09295538,4.20985333,0.05928763,0.06009718,0.01674554,0.00000000,0.10285734,1.39506706
-5.74187094,6.30981119,1.14561162,4.15021071,0.06220640,0.06368648,0.01752760,0.00000000,0.10775028,1.44844189
-5.73586793,6.32219141,1.19694586,4.07563077,0.06486329,0.06736491,0.01830543,0.00000000,0.11235188,1.49747342
-5.72986493,6.31254079,1.24625993,3.98656545,0.06721511,0.07109824,0.01906553,0.00000000,0.11656784,1.54122683
-5.72386193,6.28033153,1.29290878,3.88379394,0.06922504,0.07485111,0.01979607,0.00000000,0.12031329,1.57890070
-5.71785893,6.22555480,1.33631160,3.76839638,0.07086405,0.07858710,0.02048716,0.00000000,0.12351530,1.60984892
-5.71185593,6.14871605,1.37596171,3.64172010,0.07211190,0.08226889,0.02113112,0.00000000,0.12611480,1.63359825
-5.70585293,6.05081731,1.41143487,3.50534003,0.07295800,0.08585850,0.02172267,0.00000000,0.12806832,1.64986084
-5.69984992,5.93332680,1.44239594,3.36101469,0.07340185,0.08931769,0.02225904,0.00000000,0.12934902,1.65854103
-5.69384692,5.79813671,1.46860363,3.21063924,0.07345312,0.09260842,0.02273994,0.00000000,0.12994728,1.65973604
-5.68784392,5.64751029,1.48991317,3.05619699,0.07313140,0.09569344,0.02316759,0.00000000,0.12987067,1.65373050
-5.68184092,5.48401946,1.50627677,2.89971083,0.07246551,0.09853703,0.02354648,0.00000000,0.12914333,1.64098475
-5.67583792,5.31047481,1.51774199,2.74319562,0.07149244,0.10110573,0.02388317,0.00000000,0.12780476,1.62211741
-5.66983492,5.12984955,1.52444770,2.58861281,0.07025603,0.10336924,0.02418597,0.00000000,0.12590811,1.59788277
-5.66383192,4.94519985,1.52661807,2.43782812,0.06880536,0.10530120,0.02446454,0.00000000,0.12351802,1.56914379
-5.65782891,4.75958341,1.52455428,2.29257306,0.06719285,0.10688004,0.02472947,0.00000000,0.12070807,1.53684176
-5.65182591,4.57597894,1.51862449,2.15441104,0.06547241,0.10808972,0.02499175,0.00000000,0.11755799,1.50196379
-5.64582291,4.39720865,1.50925197,2.02470858,0.06369740,0.10892029,0.02526229,0.00000000,0.11415079,1.46550938
-5.63981991,4.22586625,1.49690192,1.90461211,0.06191872,0.10936836,0.02555140,0.00000000,0.11056982,1.42845730
-5.63381691,4.06425254,1.48206712,1.79503056,0.06018303,0.10943728,0.02586824,0.00000000,0.10689597,1.39173421
-5.62781391,3.91432082,1.46525287,1.69662419,0.05853115,0.10913716,0.02622040,0.00000000,0.10320513,1.35618603
-5.62181091,3.77763364,1.44696175,1.60979967,0.05699681,0.10848456,0.02661346,0.00000000,0.09956598,1.32255324
-5.61580790,3.65533250,1.42767844,1.53471149,0.05560568,0.10750201,0.02705062,0.00000000,0.09603819,1.29145097
-5.60980490,3.54812131,1.40785533,1.47126957,0.05437481,0.10621719,0.02753249,0.00000000,0.09267115,1.26335453
