energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.95408580,0.00259553,0.13484277,0.90233448,0.73552729,0.01891969,0.68160960
-5.99399700,1.96589364,0.00234385,0.13654116,0.91434667,0.74050305,0.01910458,0.68305440
-5.98799400,1.98292132,0.00211199,0.13885369,0.92852131,0.74789902,0.01935004,0.68577336
-5.98199100,2.00446032,0.00190112,0.14172246,0.94451152,0.75752769,0.01964569,0.68946842
-5.97598799,2.02967158,0.00171195,0.14508658,0.96192856,0.76914966,0.01997972,0.69379096
-5.96998499,2.05762751,0.00154481,0.14888501,0.98036228,0.78248779,0.02033940,0.69835760
-5.96398199,2.08735684,0.00139969,0.15305926,0.99940239,0.79724219,0.02071164,0.70276748
-5.95797899,2.11788967,0.00127631,0.15755587,1.01865930,0.81310523,0.02108348,0.70661988
-5.95197599,2.14830031,0.00117422,0.16232840,1.03778346,0.82977559,0.02144266,0.70953165
-5.94597299,2.17774565,0.00109280,0.16733895,1.05648176,0.84697072,0.02177800,0.71115322
-5.93996998,2.20549704,0.00103139,0.17255892,1.07453033,0.86443692,0.02207982,0.71118271
-5.93396698,2.23096425,0.00098927,0.17796906,1.09178278,0.88195661,0.02234023,0.70937737
-5.92796398,2.25371049,0.00096574,0.18355880,1.10817350,0.89935257,0.02255330,0.70556194
-5.92196098,2.27345813,0.00096012,0.18932478,1.12371592,0.91648898,0.02271522,0.69963361
-5.91595798,2.29008530,0.00097177,0.19526892,1.13849579,0.93326950,0.02282427,0.69156364
-5.90995498,2.30361414,0.00100008,0.20139582,1.15266018,0.94963273,0.02288072,0.68139556
-5.90395198,2.31419189,0.00104448,0.20771000,1.16640279,0.96554548,0.02288674,0.66924041
-5.89794897,2.32206662,0.00110437,0.21421294,1.17994659,0.98099463,0.02284610,0.65526937
-5.89194597,2.32755925,0.00117915,0.22090030,1.19352511,0.99597814,0.02276397,0.63970443
-5.88594297,2.33103414,0.00126815,0.22775942,1.20736340,1.01049611,0.02264661,0.62280758
-5.87993997,2.33287010,0.00137059,0.23476741,1.22165998,1.02454245,0.02250106,0.60486925
-5.87393697,2.33343380,0.00148560,0.24188983,1.23657094,1.03809792,0.02233485,0.58619673
-5.86793397,2.33305702,0.00161213,0.24908029,1.25219710,1.05112499,0.02215578,0.56710295
-5.86193097,2.33201919,0.00174893,0.25628082,1.26857491,1.06356486,0.02197163,0.54789630
-5.85592796,2.33053575,0.00189458,0.26342319,1.28567167,1.07533690,0.02179002,0.52887182
-5.84992496,2.32875286,0.00204746,0.27043095,1.30338515,1.08634042,0.02161824,0.51030403
-5.84392196,2.32674819,0.00220574,0.27722224,1.32154747,1.09645863,0.02146317,0.49244152
-5.83791896,2.32453728,0.00236742,0.28371301,1.33993281,1.10556451,0.02133123,0.47550351
-5.83191596,2.32208443,0.00253036,0.28982057,1.35826840,1.11352798,0.02122833,0.45967794
-5.82591296,2.31931704,0.00269232,0.29546716,1.37624769,1.12022393,0.02115988,0.44512136
-5.81990995,2.31614184,0.00285100,0.30058334,1.39354501,1.12554047,0.02113082,0.43195996
-5.81390695,2.31246167,0.00300413,0.30511087,1.40983055,1.12938668,0.02114561,0.42029172
-5.80790395,2.30819133,0.00314950,0.30900501,1.42478467,1.13169939,0.02120824,0.41018926
-5.80190095,2.30327118,0.00328507,0.31223597,1.43811070,1.13244841,0.02132224,0.40170307
-5.79589795,2.29767752,0.00340901,0.31478941,1.44954552,1.13163984,0.02149061,0.39486479
-5.78989495,2.29142893,0.00351978,0.31666604,1.45886729,1.12931718,0.02171578,0.38969036
-5.78389195,2.28458821,0.00361620,0.31788023,1.46590018,1.12556011,0.02199953,0.38618271
-5.77788894,2.27725970,0.00369745,0.31845788,1.47051589,1.12048102,0.02234284,0.38433392
-5.77188594,2.26958242,0.00376316,0.31843353,1.47263221,1.11421948,0.02274582,0.38412669
-5.76588294,2.26171942,0.00381342,0.31784706,1.47220898,1.10693497,0.02320752,0.38553503
-5.75987994,2.25384422,0.00384874,0.31674015,1.46924200,1.09879825,0.02372579,0.38852426
-5.75387694,2.24612535,0.00387007,0.31515274,1.46375546,1.08998205,0.02429721,0.39305032
-5.74787394,2.23870998,0.00387874,0.31311987,1.45579373,1.08065145,0.02491692,0.39905843
-5.74187094,2.23170790,0.00387644,0.31066888,1.44541306,1.07095462,0.02557857,0.40648134
-5.73586793,2.22517680,0.00386512,0.30781742,1.43267404,1.06101454,0.02627429,0.41523726
-5.72986493,2.21910988,0.00384691,0.30457228,1.41763516,1.05092195,0.02699474,0.42522762
-5.72386193,2.21342664,0.00382403,0.30092906,1.40034807,1.04073016,0.02772913,0.43633494
-5.71785893,2.20796728,0.00379872,0.29687288,1.38085476,1.03045186,0.02846539,0.44842085
-5.71185593,2.20249134,0.00377310,0.29237987,1.35918669,1.02005811,0.02919034,0.46132469
-5.70585293,2.19668040,0.00374909,0.28741948,1.33536591,1.00947958,0.02988997,0.47486260
-5.69984992,2.19014496,0.00372834,0.28195732,1.30940792,0.99860986,0.03054969,0.48882745
-5.69384692,2.18243508,0.00371215,0.27595853,1.28132591,0.98731070,0.03115468,0.50298974
-5.68784392,2.17305427,0.00370139,0.26939117,1.25113605,0.97541886,0.03169027,0.51709937
-5.68184092,2.16147598,0.00369648,0.26222966,1.21886319,0.96275417,0.03214226,0.53088870
-5.67583792,2.14716196,0.00369737,0.25445789,1.18454672,0.94912836,0.03249737,0.54407648
-5.66983492,2.12958166,0.00370351,0.24607193,1.14824591,0.93435422,0.03274353,0.55637301
-5.66383192,2.10823187,0.00371395,0.23708196,1.11004447,0.91825479,0.03287030,0.56748613
-5.65782891,2.08265565,0.00372729,0.22751364,1.07005395,0.90067187,0.03286913,0.57712803
-5.65182591,2.05246012,0.00374181,0.21740849,1.02841570,0.88147379,0.03273360,0.58502266
-5.64582291,2.01733212,0.00375553,0.20682356,0.98530145,0.86056201,0.03245970,0.59091340
-5.63981991,1.97705143,0.00376627,0.19583023,0.94091219,0.83787629,0.03204587,0.59457087
-5.63381691,1.93150098,0.00377179,0.18451239,0.89547580,0.81339843,0.03149317,0.59580030
-5.62781391,1.88067392,0.00376989,0.17296399,0.84924329,0.78715436,0.03080519,0.59444842
-5.62181091,1.82467723,0.00375846,0.16128614,0.80248403,0.75921469,0.02998804,0.59040942
-5.61580790,1.76373197,0.00373563,0.14958400,0.75548020,0.72969383,0.02905020,0.58362957
-5.60980490,1.69817015,0.00369981,0.13796357,0.70852085,0.69874764,0.02800231,0.57411062
-5.60380190,1.62842857,0.00364977,0.12652854,0.66189572,0.66657004,0.02685695,0.56191140
-5.59779890,1.55503978,0.00358470,0.11537739,0.61588923,0.63338854,0.02562832,0.54714776
-5.59179590,1.47862060,0.00350425,0.10460080,0.57077479,0.59945905,0.02433195,0.52999079
-5.58579290,1.39985871,0.00340850,0.09427960,0.52680976,0.56506013,0.02298431,0.51066326
-5.57978989,1.31949763,0.00329803,0.08448315,0.48423113,0.53048699,0.02160251,0.48943455
-5.57378689,1.23832078,0.00317379,0.07526832,0.44325197,0.49604529,0.02020391,0.46661417
-5.56778389,1.15713505,0.00303718,0.06667902,0.40405891,0.46204505,0.01880580,0.44254415
-5.56178089,1.07675429,0.00288990,0.05874621,0.36681041,0.42879481,0.01742510,0.41759067
-5.55577789,0.99798338,0.00273392,0.05148849,0.33163591,0.39659609,0.01607806,0.39213510
-5.54977489,0.92160315,0.00257143,0.04491292,0.29863589,0.36573836,0.01478000,0.36656495
-5.54377189,0.84835648,0.00240473,0.03901637,0.26788247,0.33649445,0.01354517,0.34126494
-5.53776888,0.77893597,0.00223617,0.03378689,0.23942074,0.30911662,0.01238651,0.31660853
-5.53176588,0.71397333,0.00206808,0.02920540,0.21327054,0.28383313,0.01131559,0.29295009
-5.52576288,0.65403043,0.00190267,0.02524731,0.18942857,0.26084536,0.01034249,0.27061801
-5.51975988,0.59959237,0.00174202,0.02188422,0.16787082,0.24032552,0.00947581,0.24990879
-5.51375688,0.55106219,0.00158800,0.01908544,0.14855507,0.22241481,0.00872259,0.23108218
-5.50775388,0.50875733,0.00144224,0.01681946,0.13142351,0.20722200,0.00808836,0.21435755
-5.50175088,0.47290764,0.00130608,0.01505518,0.11640530,0.19482247,0.00757715,0.19991117
-5.49574787,0.44365475,0.00118060,0.01376300,0.10341902,0.18525755,0.00719154,0.18787473
-5.48974487,0.42105268,0.00106655,0.01291563,0.09237499,0.17853422,0.00693267,0.17833459
-5.48374187,0.40506951,0.00096443,0.01248877,0.08317737,0.17462516,0.00680025,0.17133199
-5.47773887,0.39559003,0.00087442,0.01246151,0.07572609,0.17346905,0.00679266,0.16686399
-5.47173587,0.39241921,0.00079647,0.01281658,0.06991848,0.17497134,0.00690690,0.16488499
-5.46573287,0.39528659,0.00073029,0.01354047,0.06565073,0.17900536,0.00713863,0.16530890
-5.45972986,0.40385145,0.00067540,0.01462334,0.06281911,0.18541394,0.00748217,0.16801178
-5.45372686,0.41770904,0.00063115,0.01605887,0.06132097,0.19401158,0.00793051,0.17283496
-5.44772386,0.43639765,0.00059676,0.01784404,0.06105559,0.20458724,0.00847533,0.17958873
-5.44172086,0.45940690,0.00057136,0.01997874,0.06192489,0.21690786,0.00910701,0.18805640
-5.43571786,0.48618718,0.00055405,0.02246551,0.06383398,0.23072253,0.00981469,0.19799894
-5.42971486,0.51616026,0.00054390,0.02530909,0.06669167,0.24576752,0.01058636,0.20916009
-5.42371186,0.54873124,0.00054002,0.02851606,0.07041093,0.26177192,0.01140893,0.22127197
-5.41770885,0.58330144,0.00054157,0.03209442,0.07490931,0.27846402,0.01226842,0.23406117
-5.41170585,0.61928240,0.00054783,0.03605322,0.08010931,0.29557818,0.01315013,0.24725524
-5.40570285,0.65611041,0.00055820,0.04040212,0.08593878,0.31286206,0.01403889,0.26058947
-5.39969985,0.69326140,0.00057223,0.04515097,0.09233133,0.33008395,0.01491933,0.27381380
-5.39369685,0.73026552,0.00058968,0.05030940,0.09922661,0.34703998,0.01577619,0.28669978
-5.38769385,0.76672107,0.00061050,0.05588631,0.10657067,0.36356089,0.01659467,0.29904719
-5.38169085,0.80230687,0.00063490,0.06188940,0.11431615,0.37951800,0.01736079,0.31069021
-5.37568784,0.83679279,0.00066329,0.06832463,0.12242235,0.39482809,0.01806174,0.32150277
-5.36968484,0.87004744,0.00069638,0.07519554,0.13085521,0.40945688,0.01868624,0.33140290
-5.36368184,0.90204274,0.00073509,0.08250271,0.13958701,0.42342082,0.01922486,0.34035573
-5.35767884,0.93285458,0.00078062,0.09024294,0.14859590,0.43678690,0.01967029,0.34837491
-5.35167584,0.96265953,0.00083441,0.09840854,0.15786517,0.44967050,0.02001755,0.35552238
-5.34567284,0.99172702,0.00089812,0.10698653,0.16738221,0.46223092,0.02026414,0.36190622
-5.33966983,1.02040723,0.00097359,0.11595783,0.17713722,0.47466492,0.02041014,0.36767650
-5.33366683,1.04911470,0.00106286,0.12529644,0.18712172,0.48719810,0.02045810,0.37301941
-5.32766383,1.07830819,0.00116807,0.13496870,0.19732674,0.50007457,0.02041300,0.37814943
