energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.75939412,0.01714297,0.34521360,1.41284746,1.56487542,1.58820716,0.00000000
-5.99399700,3.66080085,0.01815420,0.33862531,1.35391058,1.52553614,1.54632143,0.00000000
-5.98799400,3.55997354,0.01926065,0.33200909,1.29349867,1.48541532,1.50254398,0.00000000
-5.98199100,3.45920447,0.02046200,0.32554020,1.23270656,1.44543238,1.45785312,0.00000000
-5.97598799,3.36061803,0.02175575,0.31937708,1.17257058,1.40643408,1.41317658,0.00000000
-5.96998499,3.26609748,0.02313708,0.31365496,1.11403817,1.36916417,1.36936125,0.00000000
-5.96398199,3.17722335,0.02459875,0.30848053,1.05794212,1.33423794,1.32714705,0.00000000
-5.95797899,3.09522611,0.02613103,0.30392784,1.00498037,1.30212283,1.28714601,0.00000000
-5.95197599,3.02095455,0.02772168,0.30003575,0.95570184,1.27312586,1.24982736,0.00000000
-5.94597299,2.95486077,0.02935607,0.29680681,0.91049831,1.24738808,1.21550878,0.00000000
-5.93996998,2.89700204,0.03101730,0.29420776,0.86960261,1.22488641,1.18435431,0.00000000
-5.93396698,2.84705885,0.03268639,0.29217148,0.83309250,1.20544233,1.15637839,0.00000000
-5.92796398,2.80436792,0.03434260,0.29060041,0.80089998,1.18873710,1.13145595,0.00000000
-5.92196098,2.76796820,0.03596372,0.28937110,0.77282519,1.17433255,1.10933763,0.00000000
-5.91595798,2.73665761,0.03752651,0.28833983,0.74855419,1.16169637,1.08966944,0.00000000
-5.90995498,2.70905753,0.03900717,0.28734893,0.72767958,1.15023068,1.07201569,0.00000000
-5.90395198,2.68368209,0.04038182,0.28623357,0.70972316,1.13930253,1.05588423,0.00000000
-5.89794897,2.65900918,0.04162705,0.28482872,0.69415956,1.12827478,1.04075251,0.00000000
-5.89194597,2.63354982,0.04272050,0.28297599,0.68043994,1.11653610,1.02609370,0.00000000
