energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.28043670,0.25104213,0.58932455,0.00230289,0.14047633,0.00466075,0.57972612,0.18957208,0.09074315
-5.99399700,1.22982672,0.23576999,0.57232775,0.00206984,0.12629232,0.00419519,0.56283119,0.18047394,0.08814939
-5.98799400,1.19412444,0.22425674,0.56162988,0.00186688,0.11436256,0.00381379,0.55185188,0.17402478,0.08652984
-5.98199100,1.17284697,0.21658855,0.55689690,0.00169409,0.10467027,0.00351434,0.54656001,0.17025025,0.08585828
-5.97598799,1.16539117,0.21281801,0.55774366,0.00155116,0.09717981,0.00329383,0.54667827,0.16915344,0.08610240
-5.96998499,1.17105501,0.21296588,0.56374415,0.00143748,0.09183931,0.00314857,0.55189037,0.17071674,0.08722550
-5.96398199,1.18905648,0.21702231,0.57444072,0.00135209,0.08858284,0.00307428,0.56185022,0.17490321,0.08918797
-5.95797899,1.21854956,0.22494738,0.58935222,0.00129383,0.08733226,0.00306620,0.57618995,0.18165743,0.09194852
-5.95197599,1.25863687,0.23667099,0.60798072,0.00126131,0.08799854,0.00311914,0.59452632,0.19090584,0.09546505
-5.94597299,1.30837909,0.25209209,0.62981715,0.00125298,0.09048274,0.00322752,0.61646564,0.20255653,0.09969521
-5.93996998,1.36680131,0.27107738,0.65434563,0.00126719,0.09467648,0.00338545,0.64160716,0.21649863,0.10459655
-5.93396698,1.43289700,0.29345971,0.68104694,0.00130220,0.10046226,0.00358668,0.66954508,0.23260137,0.11012647
-5.92796398,1.50563022,0.31903638,0.70940142,0.00135625,0.10771349,0.00382470,0.69986947,0.25071309,0.11624180
-5.92196098,1.58393688,0.34756767,0.73889134,0.00142758,0.11629447,0.00409273,0.73216642,0.27066035,0.12289823
-5.91595798,1.66672609,0.37877595,0.76900343,0.00151450,0.12606048,0.00438378,0.76601787,0.29224736,0.13004961
-5.90995498,1.75288236,0.41234557,0.79923160,0.00161537,0.13685797,0.00469067,0.80100147,0.31525595,0.13764717
-5.90395198,1.84126948,0.44792391,0.82908016,0.00172871,0.14852511,0.00500615,0.83669081,0.33944631,0.14563882
-5.89794897,1.93073667,0.48512370,0.85806781,0.00185315,0.16089268,0.00532292,0.87265643,0.36455856,0.15396848
-5.89194597,2.02012744,0.52352681,0.88573233,0.00198757,0.17378534,0.00563377,0.90846785,0.39031533,0.16257569
-5.88594297,2.10829128,0.56268956,0.91163615,0.00213102,0.18702344,0.00593169,0.94369675,0.41642530,0.17139536
-5.87993997,2.19409805,0.60214946,0.93537242,0.00228286,0.20042519,0.00620999,0.97792127,0.44258779,0.18035779
-5.87393697,2.27645475,0.64143325,0.95657162,0.00244269,0.21380922,0.00646242,1.01073149,0.46849805,0.18938901
-5.86793397,2.35432398,0.68006598,0.97490832,0.00261046,0.22699744,0.00668333,1.04173589,0.49385340,0.19841136
-5.86193097,2.42674331,0.71758086,0.99010763,0.00278642,0.23981811,0.00686778,1.07056836,0.51835966,0.20734435
-5.85592796,2.49284470,0.75352938,1.00195126,0.00297117,0.25210893,0.00701165,1.09689563,0.54173786,0.21610572
-5.84992496,2.55187286,0.78749142,1.01028245,0.00316565,0.26372005,0.00711177,1.12042452,0.56373075,0.22461273
-5.84392196,2.60320164,0.81908480,1.01500982,0.00337114,0.27451690,0.00716594,1.14090882,0.58410893,0.23278356
-5.83791896,2.64634752,0.84797390,1.01610952,0.00358921,0.28438262,0.00717306,1.15815512,0.60267627,0.24053877
-5.83191596,2.68097946,0.87387692,1.01362569,0.00382172,0.29322003,0.00713306,1.17202752,0.61927427,0.24780278
-5.82591296,2.70692453,0.89657159,1.00766905,0.00407076,0.30095306,0.00704696,1.18245071,0.63378539,0.25450537
-5.81990995,2.72416895,0.91589887,0.99841361,0.00433856,0.30752755,0.00691676,1.18941129,0.64613490,0.26058305
-5.81390695,2.73285456,0.93176479,0.98609162,0.00462744,0.31291141,0.00674543,1.19295725,0.65629145,0.26598030
-5.80790395,2.73327077,0.94414017,0.97098686,0.00493972,0.31709415,0.00653675,1.19319552,0.66426617,0.27065067
-5.80190095,2.72584239,0.95305846,0.95342675,0.00527760,0.32008584,0.00629520,1.19028779,0.67011049,0.27455773
-5.79589795,2.71111406,0.95861172,0.93377323,0.00564303,0.32191548,0.00602586,1.18444466,0.67391280,0.27767573
-5.78989495,2.68973179,0.96094518,0.91241324,0.00603761,0.32262910,0.00573418,1.17591848,0.67579406,0.27999016
-5.78389195,2.66242272,0.96025058,0.88974870,0.00646248,0.32228741,0.00542589,1.16499521,0.67590277,0.28149801
-5.77788894,2.62997380,0.95675868,0.86618679,0.00691814,0.32096334,0.00510681,1.15198557,0.67440943,0.28220786
