energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.44989042,0.01494255,0.12616486,1.25075788,2.45366453,0.44305819,0.17479637,1.04333759,0.00000000
-5.99399700,3.43805409,0.01478781,0.12137482,1.21317954,2.47781463,0.42558690,0.16991376,1.02157857,0.00000000
-5.98799400,3.41772970,0.01459397,0.11672406,1.17821731,2.49212951,0.40843371,0.16488483,0.99953141,0.00000000
-5.98199100,3.38858430,0.01435604,0.11222839,1.14601012,2.49612279,0.39173185,0.15973023,0.97725904,0.00000000
-5.97598799,3.35046595,0.01407054,0.10789951,1.11664525,2.48950839,0.37560530,0.15447707,0.95482936,0.00000000
-5.96998499,3.30342034,0.01373573,0.10374609,1.09016084,2.47221601,0.36016644,0.14915881,0.93231654,0.00000000
-5.96398199,3.24770049,0.01335165,0.09977482,1.06654820,2.44439993,0.34551371,0.14381492,0.90980203,0.00000000
-5.95797899,3.18376943,0.01292022,0.09599139,1.04575425,2.40644075,0.33172958,0.13849038,0.88737526,0.00000000
-5.95197599,3.11229584,0.01244508,0.09240126,1.02768400,2.35894011,0.31887897,0.13323496,0.86513407,0.00000000
-5.94597299,3.03414290,0.01193154,0.08901035,1.01220347,2.30270846,0.30700813,0.12810240,0.84318505,0.00000000
-5.93996998,2.95035087,0.01138632,0.08582548,0.99914292,2.23874651,0.29614419,0.12314946,0.82164363,0.00000000
-5.93396698,2.86211426,0.01081728,0.08285469,0.98830091,2.16822089,0.28629536,0.11843496,0.80063403,0.00000000
-5.92796398,2.77075433,0.01023320,0.08010741,0.97944902,2.09243501,0.27745175,0.11401869,0.78028901,0.00000000
-5.92196098,2.67768790,0.00964338,0.07759441,0.97233752,2.01279611,0.26958695,0.10996044,0.76074931,0.00000000
-5.91595798,2.58439378,0.00905740,0.07532776,0.96670188,1.93077966,0.26266012,0.10631887,0.74216289,0.00000000
-5.90995498,2.49237754,0.00848474,0.07332055,0.96227001,1.84789226,0.25661859,0.10315054,0.72468368,0.00000000
-5.90395198,2.40313615,0.00793458,0.07158670,0.95877016,1.76563423,0.25140089,0.10050893,0.70846996,0.00000000
-5.89794897,2.31812312,0.00741549,0.07014065,0.95593915,1.68546313,0.24693997,0.09844350,0.69368229,0.00000000
-5.89194597,2.23871540,0.00693528,0.06899706,0.95353059,1.60875916,0.24316656,0.09699889,0.68048089,0.00000000
-5.88594297,2.16618288,0.00650083,0.06817057,0.95132282,1.53679358,0.24001252,0.09621418,0.66902268,0.00000000
-5.87993997,2.10166110,0.00611800,0.06767554,0.94912616,1.47070078,0.23741396,0.09612223,0.65945783,0.00000000
-5.87393697,2.04612807,0.00579160,0.06752584,0.94678915,1.41145499,0.23531419,0.09674925,0.65192603,0.00000000
-5.86793397,2.00038557,0.00552541,0.06773473,0.94420334,1.35985187,0.23366615,0.09811440,0.64655266,0.00000000
-5.86193097,1.96504540,0.00532221,0.06831479,0.94130667,1.31649558,0.23243450,0.10022966,0.64344485,0.00000000
-5.85592796,1.94052085,0.00518390,0.06927780,0.93808503,1.28179132,0.23159715,0.10309977,0.64268786,0.00000000
-5.84992496,1.92702356,0.00511162,0.07063486,0.93457206,1.25594363,0.23114631,0.10672245,0.64434175,0.00000000
-5.84392196,1.92456570,0.00510587,0.07239635,0.93084728,1.23896001,0.23108899,0.11108872,0.64843878,0.00000000
-5.83791896,1.93296745,0.00516668,0.07457207,0.92703272,1.23065988,0.23144700,0.11618340,0.65498153,0.00000000
-5.83191596,1.95186945,0.00529373,0.07717132,0.92328815,1.23068824,0.23225653,0.12198578,0.66394214,0.00000000
-5.82591296,1.98074981,0.00548653,0.08020307,0.91980538,1.23853363,0.23356733,0.12847043,0.67526255,0.00000000
-5.81990995,2.01894524,0.00574449,0.08367602,0.91680197,1.25354966,0.23544150,0.13560807,0.68885612,0.00000000
-5.81390695,2.06567546,0.00606702,0.08759878,0.91451452,1.27497943,0.23795207,0.14336651,0.70461036,0.00000000
-5.80790395,2.12007033,0.00645359,0.09197988,0.91319207,1.30198196,0.24118131,0.15171164,0.72239096,0.00000000
-5.80190095,2.18119857,0.00690376,0.09682785,0.91308981,1.33365985,0.24521884,0.16060831,0.74204682,0.00000000
-5.79589795,2.24809721,0.00741711,0.10215113,0.91446325,1.36908725,0.25015965,0.17002121,0.76341596,0.00000000
-5.78989495,2.31980071,0.00799325,0.10795793,0.91756312,1.40733718,0.25610194,0.17991553,0.78633202,0.00000000
-5.78389195,2.39536861,0.00863169,0.11425593,0.92263087,1.44750750,0.26314487,0.19025749,0.81063094,0.00000000
-5.77788894,2.47391068,0.00933171,0.12105192,0.92989481,1.48874448,0.27138618,0.20101460,0.83615755,0.00000000
-5.77188594,2.55460855,0.01009225,0.12835115,0.93956669,1.53026348,0.28091965,0.21215569,0.86277157,0.00000000
-5.76588294,2.63673284,0.01091173,0.13615663,0.95183862,1.57136590,0.29183238,0.22365063,0.89035256,0.00000000
-5.75987994,2.71965507,0.01178788,0.14446814,0.96687997,1.61145192,0.30420203,0.23546978,0.91880361,0.00000000
-5.75387694,2.80285382,0.01271760,0.15328118,0.98483399,1.65002888,0.31809366,0.24758314,0.94805321,0.00000000
-5.74787394,2.88591464,0.01369679,0.16258564,1.00581415,1.68671472,0.33355662,0.25995924,0.97805513,0.00000000
-5.74187094,2.96852381,0.01472022,0.17236449,1.02989965,1.72123683,0.35062112,0.27256382,1.00878627,0.00000000
-5.73586793,3.05045611,0.01578147,0.18259226,1.05713041,1.75342627,0.36929478,0.28535836,1.04024210,0.00000000
-5.72986493,3.13155707,0.01687284,0.19323363,1.08750117,1.78320781,0.38955920,0.29829853,1.07243020,0.00000000
-5.72386193,3.21172071,0.01798535,0.20424201,1.12095513,1.81058627,0.41136651,0.31133265,1.10536176,0.00000000
-5.71785893,3.29086360,0.01910879,0.21555832,1.15737715,1.83562992,0.43463624,0.32440025,1.13904160,0.00000000
-5.71185593,3.36889694,0.02023183,0.22710999,1.19658698,1.85845168,0.45925257,0.33743088,1.17345719,0.00000000
-5.70585293,3.44569791,0.02134213,0.23881037,1.23833292,1.87918917,0.48506218,0.35034320,1.20856717,0.00000000
-5.69984992,3.52108208,0.02242659,0.25055851,1.28228642,1.89798455,0.51187285,0.36304459,1.24429017,0.00000000
-5.69384692,3.59477862,0.02347157,0.26223951,1.32803834,1.91496514,0.53945309,0.37543118,1.28049451,0.00000000
-5.68784392,3.66640979,0.02446320,0.27372550,1.37509720,1.93022584,0.56753295,0.38738855,1.31698971,0.00000000
-5.68184092,3.73547640,0.02538772,0.28487715,1.42289016,1.94381429,0.59580620,0.39879311,1.35352024,0.00000000
-5.67583792,3.80135032,0.02623181,0.29554594,1.47076717,1.95571954,0.62393392,0.40951407,1.38976239,0.00000000
-5.66983492,3.86327509,0.02698297,0.30557702,1.51800851,1.96586473,0.65154973,0.41941623,1.42532452,0.00000000
-5.66383192,3.92037512,0.02762992,0.31481262,1.56383604,1.97410447,0.67826648,0.42836326,1.45975117,0.00000000
-5.65782891,3.97167352,0.02816292,0.32309599,1.60742801,1.98022679,0.70368443,0.43622166,1.49253105,0.00000000
-5.65182591,4.01611829,0.02857417,0.33027571,1.64793737,1.98395980,0.72740081,0.44286507,1.52310889,0.00000000
-5.64582291,4.05261596,0.02885806,0.33621013,1.68451301,1.98498277,0.74902028,0.44817893,1.55090082,0.00000000
-5.63981991,4.08007126,0.02901151,0.34077199,1.71632332,1.98294096,0.76816630,0.45206521,1.57531284,0.00000000
-5.63381691,4.09743131,0.02903411,0.34385271,1.74258136,1.97746355,0.78449267,0.45444709,1.59576149,0.00000000
-5.62781391,4.10373216,0.02892833,0.34536652,1.76257045,1.96818376,0.79769505,0.45527324,1.61169604,0.00000000
-5.62181091,4.09814540,0.02869957,0.34525389,1.77566932,1.95476007,0.80752182,0.45452165,1.62262107,0.00000000
-5.61580790,4.08002272,0.02835616,0.34348436,1.78137559,1.93689749,0.81378384,0.45220264,1.62811840,0.00000000
-5.60980490,4.04893571,0.02790930,0.34005854,1.77932644,1.91436766,0.81636257,0.44836099,1.62786730,0.00000000
-5.60380190,4.00470919,0.02737289,0.33500905,1.76931550,1.88702685,0.81521623,0.44307684,1.62166182,0.00000000
-5.59779890,3.94744577,0.02676328,0.32840057,1.75130507,1.85483079,0.81038342,0.43646551,1.60942450,0.00000000
-5.59179590,3.87754039,0.02609893,0.32032881,1.72543283,1.81784550,0.80198423,0.42867582,1.59121544,0.00000000
-5.58579290,3.79568376,0.02540008,0.31091850,1.69201277,1.77625370,0.79021830,0.41988725,1.56723629,0.00000000
-5.57978989,3.70285412,0.02468820,0.30032044,1.65152993,1.73035620,0.77536019,0.41030568,1.53782884,0.00000000
-5.57378689,3.60029754,0.02398551,0.28870781,1.60462920,1.68056831,0.75775185,0.40015800,1.50346796,0.00000000
-5.56778389,3.48949733,0.02331442,0.27627183,1.55209830,1.62741137,0.73779261,0.38968570,1.46474933,0.00000000
-5.56178089,3.37213375,0.02269688,0.26321693,1.49484589,1.57149977,0.71592697,0.37913765,1.42237214,0.00000000
-5.55577789,3.25003570,0.02215382,0.24975577,1.43387529,1.51352405,0.69263075,0.36876233,1.37711767,0.00000000
-5.54977489,3.12512651,0.02170448,0.23610412,1.37025512,1.45423092,0.66839601,0.35879980,1.32982460,0.00000000
-5.54377189,2.99936599,0.02136582,0.22247592,1.30508796,1.39440111,0.64371553,0.34947384,1.28136198,0.00000000
-5.53776888,2.87469148,0.02115196,0.20907873,1.23947816,1.33482594,0.61906743,0.34098437,1.23260118,0.00000000
