energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.42312583,-2.32805267,0.05595063,-0.01936383,0.80874482,-0.40523719,0.66484743,-0.41809375,0.23401527,-0.14030593,2.10482444,-1.07627873,0.90219691,-0.24782966,1.61871895,-0.98058655,0.00000000,-0.00000000
-5.99399700,4.58282099,-2.34728901,0.05644480,-0.02048690,0.82160429,-0.39722718,0.70490833,-0.43332424,0.24740882,-0.14648472,2.19161872,-1.09153432,0.90370837,-0.23831816,1.71004172,-1.01103806,0.00000000,-0.00000000
-5.98799400,4.73907801,-2.39379652,0.05691604,-0.02193232,0.83335307,-0.39437018,0.74422045,-0.45224354,0.26099109,-0.15457475,2.27429278,-1.11833206,0.90474160,-0.23253823,1.80059880,-1.05207124,0.00000000,-0.00000000
-5.98199100,4.89057109,-2.46698201,0.05738141,-0.02369753,0.84403534,-0.39666765,0.78225521,-0.47459223,0.27461993,-0.16454092,2.35176293,-1.15629585,0.90569812,-0.23057882,1.88929542,-1.10325066,0.00000000,-0.00000000
-5.97598799,5.03579617,-2.56581689,0.05785554,-0.02577598,0.85367852,-0.40405454,0.81846395,-0.50003236,0.28813010,-0.17631759,2.42292156,-1.20487240,0.90694816,-0.23248447,1.97495308,-1.16394692,0.00000000,-0.00000000
-5.96998499,5.17308830,-2.68886774,0.05835011,-0.02815713,0.86228892,-0.41640434,0.85229025,-0.52815453,0.30133575,-0.18980935,2.48665948,-1.26334540,0.90881632,-0.23825740,2.05633235,-1.23334941,0.00000000,-0.00000000
-5.96398199,5.30065363,-2.83432963,0.05887335,-0.03082632,0.86984960,-0.43353361,0.88318398,-0.55848670,0.31403408,-0.20489232,2.54189301,-1.33085000,0.91157025,-0.24785899,2.13216148,-1.31048194,0.00000000,-0.00000000
-5.95797899,5.41661489,-3.00006152,0.05942988,-0.03376484,0.87632035,-0.45520563,0.91061664,-0.59050415,0.32601029,-0.22141560,2.58759469,-1.40638724,0.91541238,-0.26121070,2.20116991,-1.39422094,0.00000000,-0.00000000
-5.95197599,5.51906838,-3.18362274,0.06002064,-0.03694978,0.88163990,-0.48113332,0.93409731,-0.62364074,0.33704345,-0.23920326,2.62282651,-1.48883822,0.92047506,-0.27819422,2.26212537,-1.48331594,0.00000000,-0.00000000
-5.94597299,5.60614987,-3.38231050,0.06064304,-0.04035415,0.88572994,-0.51098127,0.95318855,-0.65730091,0.34691321,-0.25805663,2.64677398,-1.57697817,0.92681919,-0.29865087,2.31387301,-1.57641193,0.00000000,-0.00000000
-5.93996998,5.67610590,-3.59319792,0.06129133,-0.04394687,0.88850083,-0.54436704,0.96752152,-0.69087238,0.35540697,-0.27775694,2.65877945,-1.66949053,0.93443597,-0.32238061,2.35537480,-1.67207341,0.00000000,-0.00000000
-5.93396698,5.72736684,-3.81317277,0.06195700,-0.04769291,0.88985848,-0.58086216,0.97680958,-0.72373912,0.36232726,-0.29806823,2.65837290,-1.76498132,0.94325174,-0.34914054,2.38574733,-1.76880958,0.00000000,-0.00000000
-5.92796398,5.75861766,-4.03897700,0.06262936,-0.05155350,0.88971185,-0.61999286,0.98085974,-0.75529437,0.36749890,-0.31874069,2.64529845,-1.86199432,0.95313523,-0.37864346,2.40429617,-1.86510044,0.00000000,-0.00000000
-5.92196098,5.76886265,-4.26724735,0.06329615,-0.05548638,0.88798080,-0.66124125,0.97958137,-0.78495332,0.37077560,-0.33951413,2.61953506,-1.95902735,0.96390693,-0.41055666,2.41054509,-1.95942328,0.00000000,-0.00000000
-5.91595798,5.75748042,-4.49455722,0.06394417,-0.05944622,0.88460349,-0.70404707,0.97299164,-0.81216525,0.37204580,-0.36012167,2.58131011,-2.05455002,0.97534985,-0.44450132,2.40425857,-2.05027907,0.00000000,-0.00000000
-5.90995498,5.72426616,-4.71746005,0.06455995,-0.06338504,0.87954311,-0.74781057,0.96121744,-0.83642469,0.37123730,-0.38029370,2.53110483,-2.14702336,0.98722120,-0.48005294,2.38545648,-2.13621840,0.00000000,-0.00000000
-5.90395198,5.66945888,-4.93253442,0.06513030,-0.06725285,0.87279343,-0.79189683,0.94449370,-0.85728149,0.36832052,-0.39976178,2.46965110,-2.23492132,0.99926427,-0.51674306,2.35442012,-2.21586640,0.00000000,-0.00000000
-5.89794897,5.59375198,-5.13643081,0.06564289,-0.07099833,0.86438286,-0.83564181,0.92315792,-0.87434945,0.36331026,-0.41826267,2.39791933,-2.31675428,1.01122016,-0.55406260,2.31168916,-2.28794621,0.00000000,-0.00000000
-5.89194597,5.49828665,-5.32591975,0.06608665,-0.07456958,0.85437675,-0.87836026,0.89764146,-0.88731325,0.35626586,-0.43554235,2.31709781,-2.39109425,1.02283864,-0.59146704,2.25804973,-2.35130056,0.00000000,-0.00000000
-5.88594297,5.38462830,-5.49794122,0.06645215,-0.07791506,0.84287797,-0.91935567,0.86845758,-0.89593381,0.34728973,-0.45135991,2.22856426,-2.45660137,1.03388789,-0.62838350,2.19451402,-2.40491109,0.00000000,-0.00000000
-5.87993997,5.25472715,-5.64965439,0.06673182,-0.08098453,0.83002556,-0.95793195,0.83618712,-0.90005159,0.33652437,-0.46549135,2.13385057,-2.51205113,1.04416267,-0.66421983,2.12229236,-2.44791498,0.00000000,-0.00000000
-5.87393697,5.11086493,-5.77848711,0.06692013,-0.08373004,0.81599162,-0.99340697,0.80146210,-0.89958814,0.32414807,-0.47773318,2.03460224,-2.55636143,1.05349068,-0.69837549,2.04275911,-2.47961872,0.00000000,-0.00000000
-5.86793397,4.95559006,-5.88218388,0.06701361,-0.08610701,0.80097663,-1.02512719,0.76494815,-0.89454575,0.31036940,-0.48790582,1.93253403,-2.58861870,1.06173699,-0.73025405,1.95741371,-2.49950875,0.00000000,-0.00000000
