energy_ev,total_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.71248457,0.00927177,0.00000000,0.20271913,0.05537031,0.02086705,0.04015319,0.40047400,0.00000000
-5.99399700,0.69329359,0.00929803,0.00000000,0.20527436,0.05279745,0.01940786,0.03940648,0.38987941,0.00000000
-5.98799400,0.67754945,0.00939602,0.00000000,0.20961168,0.05060341,0.01798250,0.03897179,0.38088372,0.00000000
-5.98199100,0.66568029,0.00956933,0.00000000,0.21590238,0.04882015,0.01659824,0.03887583,0.37373555,0.00000000
-5.97598799,0.65803746,0.00981975,0.00000000,0.22429019,0.04747269,0.01526154,0.03913960,0.36864503,0.00000000
-5.96998499,0.65488174,0.01014710,0.00000000,0.23488524,0.04657850,0.01397820,0.03977769,0.36577530,0.00000000
-5.96398199,0.65637246,0.01054906,0.00000000,0.24775874,0.04614719,0.01275335,0.04079771,0.36523561,0.00000000
-5.95797899,0.66255981,0.01102113,0.00000000,0.26293866,0.04618034,0.01159152,0.04219985,0.36707630,0.00000000
-5.95197599,0.67338075,0.01155664,0.00000000,0.28040647,0.04667157,0.01049674,0.04397672,0.37128575,0.00000000
-5.94597299,0.68865874,0.01214681,0.00000000,0.30009511,0.04760673,0.00947253,0.04611332,0.37778956,0.00000000
-5.93996998,0.70810727,0.01278094,0.00000000,0.32188833,0.04896441,0.00852195,0.04858724,0.38645198,0.00000000
-5.93396698,0.73133726,0.01344666,0.00000000,0.34562149,0.05071646,0.00764772,0.05136911,0.39707955,0.00000000
-5.92796398,0.75786787,0.01413019,0.00000000,0.37108369,0.05282882,0.00685220,0.05442314,0.40942684,0.00000000
-5.92196098,0.78714068,0.01481682,0.00000000,0.39802128,0.05526235,0.00613755,0.05770799,0.42320401,0.00000000
-5.91595798,0.81853640,0.01549125,0.00000000,0.42614273,0.05797385,0.00550577,0.06117761,0.43808608,0.00000000
-5.90995498,0.85139371,0.01613811,0.00000000,0.45512452,0.06091709,0.00495884,0.06478235,0.45372335,0.00000000
-5.90395198,0.88502945,0.01674248,0.00000000,0.48461798,0.06404397,0.00449883,0.06847011,0.46975270,0.00000000
-5.89794897,0.91875942,0.01729031,0.00000000,0.51425695,0.06730557,0.00412805,0.07218749,0.48580922,0.00000000
-5.89194597,0.95191893,0.01776897,0.00000000,0.54366574,0.07065328,0.00384919,0.07588103,0.50153787,0.00000000
-5.88594297,0.98388240,0.01816762,0.00000000,0.57246754,0.07403980,0.00366544,0.07949840,0.51660455,0.00000000
-5.87993997,1.01408132,0.01847765,0.00000000,0.60029262,0.07742016,0.00358062,0.08298952,0.53070618,0.00000000
-5.87393697,1.04201976,0.01869293,0.00000000,0.62678640,0.08075252,0.00359928,0.08630757,0.54357958,0.00000000
-5.86793397,1.06728711,0.01881003,0.00000000,0.65161706,0.08399899,0.00372677,0.08940996,0.55500861,0.00000000
-5.86193097,1.08956748,0.01882834,0.00000000,0.67448247,0.08712619,0.00396924,0.09225909,0.56482942,0.00000000
-5.85592796,1.10864565,0.01875010,0.00000000,0.69511644,0.09010580,0.00433361,0.09482304,0.57293380,0.00000000
-5.84992496,1.12440936,0.01858022,0.00000000,0.71329398,0.09291489,0.00482746,0.09707601,0.57927028,0.00000000
-5.84392196,1.13684804,0.01832619,0.00000000,0.72883573,0.09553616,0.00545885,0.09899873,0.58384327,0.00000000
-5.83791896,1.14604817,0.01799770,0.00000000,0.74161131,0.09795801,0.00623607,0.10057860,0.58671023,0.00000000
-5.83191596,1.15218557,0.01760629,0.00000000,0.75154161,0.10017455,0.00716732,0.10180980,0.58797704,0.00000000
-5.82591296,1.15551496,0.01716496,0.00000000,0.75860012,0.10218537,0.00826026,0.10269320,0.58779184,0.00000000
-5.81990995,1.15635739,0.01668762,0.00000000,0.76281309,0.10399531,0.00952158,0.10323613,0.58633767,0.00000000
-5.81390695,1.15508589,0.01618867,0.00000000,0.76425864,0.10561399,0.01095648,0.10345207,0.58382412,0.00000000
-5.80790395,1.15210999,0.01568241,0.00000000,0.76306480,0.10705536,0.01256807,0.10336022,0.58047843,0.00000000
-5.80190095,1.14785962,0.01518265,0.00000000,0.75940640,0.10833698,0.01435683,0.10298494,0.57653631,0.00000000
-5.79589795,1.14276885,0.01470219,0.00000000,0.75350091,0.10947931,0.01632005,0.10235510,0.57223281,0.00000000
-5.78989495,1.13726006,0.01425244,0.00000000,0.74560308,0.11050485,0.01845131,0.10150330,0.56779351,0.00000000
-5.78389195,1.13172892,0.01384311,0.00000000,0.73599864,0.11143718,0.02074006,0.10046506,0.56342647,0.00000000
-5.77788894,1.12653062,0.01348192,0.00000000,0.72499688,0.11230000,0.02317130,0.09927783,0.55931491,0.00000000
-5.77188594,1.12196775,0.01317448,0.00000000,0.71292246,0.11311601,0.02572539,0.09798003,0.55561105,0.00000000
-5.76588294,1.11828015,0.01292413,0.00000000,0.70010639,0.11390590,0.02837807,0.09660994,0.55243126,0.00000000
-5.75987994,1.11563697,0.01273198,0.00000000,0.68687661,0.11468729,0.03110062,0.09520461,0.54985250,0.00000000
-5.75387694,1.11413135,0.01259695,0.00000000,0.67354829,0.11547375,0.03386028,0.09379879,0.54791039,0.00000000
-5.74787394,1.11377768,0.01251595,0.00000000,0.66041426,0.11627400,0.03662085,0.09242384,0.54659874,0.00000000
-5.74187094,1.11451181,0.01248405,0.00000000,0.64773593,0.11709118,0.03934356,0.09110682,0.54587072,0.00000000
-5.73586793,1.11619413,0.01249475,0.00000000,0.63573509,0.11792245,0.04198806,0.08986956,0.54564160,0.00000000
-5.72986493,1.11861556,0.01254028,0.00000000,0.62458696,0.11875872,0.04451364,0.08872809,0.54579298,0.00000000
-5.72386193,1.12150644,0.01261195,0.00000000,0.61441496,0.11958479,0.04688059,0.08769214,0.54617839,0.00000000
-5.71785893,1.12454800,0.01270047,0.00000000,0.60528742,0.12037973,0.04905162,0.08676494,0.54663015,0.00000000
-5.71185593,1.12738629,0.01279628,0.00000000,0.59721656,0.12111759,0.05099335,0.08594335,0.54696733,0.00000000
-5.70585293,1.12964800,0.01288996,0.00000000,0.59015998,0.12176847,0.05267775,0.08521826,0.54700438,0.00000000
-5.69984992,1.13095796,0.01297250,0.00000000,0.58402457,0.12229982,0.05408352,0.08457526,0.54656038,0.00000000
-5.69384692,1.13095746,0.01303564,0.00000000,0.57867296,0.12267799,0.05519735,0.08399568,0.54546850,0.00000000
-5.68784392,1.12932306,0.01307209,0.00000000,0.57393225,0.12287002,0.05601491,0.08345788,0.54358533,0.00000000
-5.68184092,1.12578495,0.01307583,0.00000000,0.56960473,0.12284547,0.05654165,0.08293876,0.54079974,0.00000000
-5.67583792,1.12014440,0.01304223,0.00000000,0.56548025,0.12257837,0.05679328,0.08241547,0.53704101,0.00000000
-5.66983492,1.11228942,0.01296823,0.00000000,0.56134965,0.12204908,0.05679592,0.08186722,0.53228581,0.00000000
-5.66383192,1.10220802,0.01285242,0.00000000,0.55701886,0.12124594,0.05658591,0.08127718,0.52656376,0.00000000
-5.65782891,1.08999861,0.01269503,0.00000000,0.55232281,0.12016687,0.05620923,0.08063435,0.51996144,0.00000000
-5.65182591,1.07587674,0.01249802,0.00000000,0.54713884,0.11882047,0.05572060,0.07993522,0.51262438,0.00000000
-5.64582291,1.06017811,0.01226493,0.00000000,0.54139877,0.11722692,0.05518225,0.07918545,0.50475716,0.00000000
-5.63981991,1.04335728,0.01200080,0.00000000,0.53509918,0.11541831,0.05466231,0.07840109,0.49662134,0.00000000
-5.63381691,1.02598218,0.01171207,0.00000000,0.52830953,0.11343864,0.05423300,0.07760962,0.48853132,0.00000000
-5.62781391,1.00872433,0.01140635,0.00000000,0.52117748,0.11134328,0.05396858,0.07685057,0.48084807,0.00000000
-5.62181091,0.99234491,0.01109224,0.00000000,0.51393145,0.10919792,0.05394311,0.07617576,0.47397098,0.00000000
-5.61580790,0.97767715,0.01077909,0.00000000,0.50688002,0.10707722,0.05422807,0.07564910,0.46832795,0.00000000
-5.60980490,0.96560535,0.01047676,0.00000000,0.50040823,0.10506288,0.05489003,0.07534596,0.46436391,0.00000000
-5.60380190,0.95704115,0.01019534,0.00000000,0.49497088,0.10324152,0.05598828,0.07535207,0.46252829,0.00000000
-5.59779890,0.95289787,0.00994489,0.00000000,0.49108300,0.10170220,0.05757251,0.07576204,0.46326148,0.00000000
-5.59179590,0.95406341,0.00973519,0.00000000,0.48930770,0.10053383,0.05968080,0.07667748,0.46698101,0.00000000
-5.58579290,0.96137284,0.00957547,0.00000000,0.49024184,0.09982239,0.06233768,0.07820472,0.47406763,0.00000000
-5.57978989,0.97558139,0.00947414,0.00000000,0.49449996,0.09964827,0.06555264,0.08045227,0.48485188,0.00000000
-5.57378689,0.99733861,0.00943863,0.00000000,0.50269674,0.10008366,0.06931894,0.08352797,0.49960145,0.00000000
-5.56778389,1.02716479,0.00947513,0.00000000,0.51542881,0.10119010,0.07361290,0.08753602,0.51850995,0.00000000
-5.56178089,1.06543017,0.00958845,0.00000000,0.53325602,0.10301631,0.07839361,0.09257376,0.54168738,0.00000000
-5.55577789,1.11233779,0.00978187,0.00000000,0.55668304,0.10559645,0.08360326,0.09872854,0.56915263,0.00000000
-5.54977489,1.16791059,0.01005707,0.00000000,0.58614152,0.10894863,0.08916794,0.10607445,0.60082845,0.00000000
