energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,3.89919097,2.77786553,1.95658836,0.00796295,1.74568116,0.01056380,0.59515127
-5.99399700,3.69898356,2.68127749,1.84786959,0.00759422,1.65470966,0.00934732,0.56295008
-5.98799400,3.49440848,2.57614803,1.73788008,0.00720784,1.56209863,0.00824274,0.53014671
-5.98199100,3.28720290,2.46352524,1.62755966,0.00680916,1.46861344,0.00725018,0.49703568
-5.97598799,3.07916032,2.34463436,1.51783711,0.00640390,1.37502709,0.00636883,0.46392561
-5.96998499,2.87210520,2.22085350,1.40961952,0.00599811,1.28211114,0.00559722,0.43113392
-5.96398199,2.66786622,2.09368461,1.30378220,0.00559799,1.19062666,0.00493337,0.39898117
-5.95797899,2.46824926,1.96472097,1.20115959,0.00520986,1.10131530,0.00437505,0.36778538
-5.95197599,2.27501094,1.83561260,1.10253710,0.00483996,1.01489081,0.00391994,0.33785635
-5.94597299,2.08983369,1.70803101,1.00864424,0.00449443,0.93203121,0.00356586,0.30949060
-5.93996998,1.91430314,1.58363467,0.92014904,0.00417919,0.85337166,0.00331084,0.28296667
-5.93396698,1.74988828,1.46403642,0.83765388,0.00389984,0.77949839,0.00315330,0.25854129
-5.92796398,1.59792507,1.35077383,0.76169267,0.00366162,0.71094373,0.00309209,0.23644625
-5.92196098,1.45960349,1.24528330,0.69272941,0.00346935,0.64818222,0.00312649,0.21688602
-5.91595798,1.33595816,1.14887830,0.63115797,0.00332733,0.59162798,0.00325616,0.20003618
-5.90995498,1.22786225,1.06273208,0.57730294,0.00323937,0.54163316,0.00348110,0.18604239
-5.90395198,1.13602432,0.98786476,0.53142131,0.00320866,0.49848744,0.00380145,0.17501990
-5.89794897,1.06098770,0.92513454,0.49370486,0.00323777,0.46241841,0.00421733,0.16705337
-5.89194597,1.00313169,0.87523255,0.46428282,0.00332858,0.43359268,0.00472861,0.16219692
-5.88594297,0.96267414,0.83868094,0.44322475,0.00348223,0.41211749,0.00533466,0.16047419
-5.87993997,0.93967479,0.81583343,0.43054334,0.00369908,0.39804265,0.00603409,0.16187835
-5.87393697,0.93403898,0.80687786,0.42619685,0.00397864,0.39136262,0.00682447,0.16637204
-5.86793397,0.94552139,0.81184019,0.43009127,0.00431949,0.39201861,0.00770206,0.17388708
-5.86193097,0.97372968,0.83058942,0.44208193,0.00471928,0.39990054,0.00866160,0.18432414
-5.85592796,1.01812792,0.86284333,0.46197468,0.00517464,0.41484883,0.00969612,0.19755229
-5.84992496,1.07804017,0.90817468,0.48952670,0.00568116,0.43665605,0.01079680,0.21340865
