energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.49441568,0.00233827,0.80721822,0.06997052,0.50629376,1.07470421,0.70803001,0.28999101,0.11962616
-5.99399700,2.61630072,0.00256723,0.84449330,0.07376381,0.53276257,1.11877176,0.74498770,0.31401234,0.12438091
-5.98799400,2.74154945,0.00280598,0.88217653,0.07764139,0.56023789,1.16547473,0.78181249,0.33973117,0.12936533
-5.98199100,2.86897458,0.00305244,0.91986792,0.08156400,0.58851095,1.21453011,0.81808838,0.36693777,0.13452887
-5.97598799,2.99737741,0.00330446,0.95718233,0.08549128,0.61736285,1.26564194,0.85341052,0.39538786,0.13981975
-5.96998499,3.12556681,0.00355988,0.99375827,0.08938220,0.64656655,1.31851062,0.88739287,0.42480477,0.14518521
-5.96398199,3.25237862,0.00381661,1.02926624,0.09319548,0.67588915,1.37284247,0.91967573,0.45488285,0.15057193
-5.95797899,3.37669498,0.00407270,1.06341638,0.09689005,0.70509436,1.42835890,0.94993272,0.48529184,0.15592641
-5.95197599,3.49746294,0.00432644,1.09596511,0.10042567,0.73394514,1.48480464,0.97787722,0.51568248,0.16119545
-5.94597299,3.61371183,0.00457637,1.12672031,0.10376346,0.76220646,1.54195449,1.00326792,0.54569276,0.16632666
-5.93996998,3.72456854,0.00482139,1.15554493,0.10686665,0.78964817,1.59961802,1.02591324,0.57495510,0.17126902
-5.93396698,3.82927008,0.00506075,1.18235860,0.10970124,0.81604776,1.65764168,1.04567450,0.60310377,0.17597345
-5.92796398,3.92717267,0.00529414,1.20713707,0.11223666,0.84119306,1.71590805,1.06246760,0.62978262,0.18039348
-5.92196098,4.01775685,0.00552161,1.22990938,0.11444646,0.86488467,1.77433194,1.07626305,0.65465272,0.18448578
-5.91595798,4.10062827,0.00574361,1.25075271,0.11630891,0.88693812,1.83285337,1.08708436,0.67739950,0.18821077
-5.90995498,4.17551382,0.00596089,1.26978506,0.11780744,0.90718564,1.89142748,1.09500475,0.69773944,0.19153315
-5.90395198,4.24225337,0.00617447,1.28715589,0.11893109,0.92547754,1.95001197,1.10014229,0.71542578,0.19442228
-5.89794897,4.30078736,0.00638556,1.30303516,0.11967467,0.94168317,2.00855245,1.10265354,0.73025320,0.19685257
-5.89194597,4.35114095,0.00659541,1.31760121,0.12003888,0.95569147,2.06696660,1.10272613,0.74206140,0.19880370
-5.88594297,4.39340559,0.00680522,1.33102804,0.12003018,0.96741116,2.12512806,1.10057046,0.75073731,0.20026076
-5.87993997,4.42771911,0.00701602,1.34347272,0.11966061,0.97677066,2.18285114,1.09641088,0.75621618,0.20121426
-5.87393697,4.45424560,0.00722856,1.35506343,0.11894735,0.98371785,2.23987728,1.09047692,0.75848126,0.20166006
-5.86793397,4.47315638,0.00744319,1.36588909,0.11791228,0.98821960,2.29586460,1.08299480,0.75756247,0.20159923
-5.86193097,4.48461336,0.00765978,1.37599092,0.11658141,0.99026145,2.35038119,1.07417983,0.75353402,0.20103779
-5.85592796,4.48875597,0.00787764,1.38535675,0.11498428,0.98984728,2.40290330,1.06422986,0.74651110,0.19998649
-5.84992496,4.48569258,0.00809551,1.39391834,0.11315334,0.98699910,2.45281868,1.05332034,0.73664602,0.19846051
-5.84392196,4.47549706,0.00831152,1.40155199,0.11112335,0.98175710,2.49943563,1.04160095,0.72412375,0.19647912
-5.83791896,4.45821087,0.00852323,1.40808266,0.10893087,0.97417973,2.54199763,1.02919409,0.70915718,0.19406547
-5.83191596,4.43385048,0.00872770,1.41329128,0.10661374,0.96434403,2.57970316,1.01619522,0.69198232,0.19124623
-5.82591296,4.40241959,0.00892159,1.41692505,0.10421068,0.95234590,2.61173006,1.00267486,0.67285333,0.18805138
-5.81990995,4.36392546,0.00910125,1.41871019,0.10176093,0.93830033,2.63726347,0.98868208,0.65203786,0.18451387
-5.81390695,4.31839781,0.00926289,1.41836645,0.09930396,0.92234139,2.65552596,0.97424915,0.62981243,0.18066943
-5.80790395,4.26590907,0.00940270,1.41562260,0.09687919,0.90462186,2.66580849,0.95939700,0.60645808,0.17655619
-5.80190095,4.20659416,0.00951708,1.41023193,0.09452569,0.88531239,2.66750053,0.94414097,0.58225640,0.17221434
-5.79589795,4.14066825,0.00960271,1.40198700,0.09228191,0.86459993,2.66011779,0.92849645,0.55748566,0.16768569
-5.78989495,4.06844073,0.00965674,1.39073262,0.09018525,0.84268550,2.64332608,0.91248391,0.53241727,0.16301317
-5.78389195,3.99032418,0.00967692,1.37637632,0.08827164,0.81978112,2.61695978,0.89613303,0.50731248,0.15824021
-5.77788894,3.90683720,0.00966167,1.35889576,0.08657496,0.79610606,2.58103410,0.87948546,0.48241920,0.15341002
-5.77188594,3.81860044,0.00961018,1.33834241,0.08512633,0.77188224,2.53575013,0.86259606,0.45796907,0.14856478
-5.76588294,3.72632562,0.00952240,1.31484154,0.08395336,0.74732921,2.48149250,0.84553259,0.43417464,0.14374481
-5.75987994,3.63079800,0.00939906,1.28858827,0.08307922,0.72265871,2.41881962,0.82837366,0.41122681,0.13898762
-5.75387694,3.53285292,0.00924161,1.25984004,0.08252175,0.69806906,2.34844698,0.81120532,0.38929239,0.13432701
-5.74787394,3.43334777,0.00905219,1.22890594,0.08229250,0.67373981,2.27122445,0.79411643,0.36851202,0.12979220
-5.74187094,3.33313107,0.00883346,1.19613355,0.08239581,0.64982674,2.18810854,0.77719309,0.34899837,0.12540703
-5.73586793,3.23301029,0.00858856,1.16189401,0.08282805,0.62645773,2.10013132,0.76051273,0.33083481,0.12118934
-5.72986493,3.13372064,0.00832093,1.12656632,0.08357695,0.60372953,2.00836742,0.74413824,0.31407453,0.11715051
-5.72386193,3.03589665,0.00803418,1.09052173,0.08462122,0.58170585,1.91390076,0.72811250,0.29874027,0.11329522
-5.71785893,2.94004838,0.00773200,1.05410907,0.08593039,0.56041683,1.81779268,0.71245401,0.28482471,0.10962145
-5.71185593,2.84654380,0.00741798,1.01764196,0.08746502,0.53985996,1.72105296,0.69715370,0.27229152,0.10612080
-5.70585293,2.75559847,0.00709554,0.98138844,0.08917722,0.52000248,1.62461481,0.68217345,0.26107723,0.10277897
-5.69984992,2.66727321,0.00676786,0.94556365,0.09101152,0.50078514,1.52931492,0.66744630,0.25109373,0.09957663
-5.69384692,2.58147987,0.00643778,0.91032573,0.09290609,0.48212714,1.43587915,0.65287860,0.24223150,0.09649032
-5.68784392,2.49799493,0.00610777,0.87577516,0.09479430,0.46393202,1.34491409,0.63835382,0.23436345,0.09349371
-5.68184092,2.41648010,0.00577997,0.84195729,0.09660646,0.44609414,1.25690435,0.62373797,0.22734930,0.09055881
-5.67583792,2.33650861,0.00545611,0.80886786,0.09827189,0.42850542,1.17221528,0.60888627,0.22104030,0.08765735
-5.66983492,2.25759569,0.00513760,0.77646095,0.09972097,0.41106212,1.09110036,0.59365073,0.21528421,0.08476211
-5.66383192,2.17923150,0.00482555,0.74465872,0.10088736,0.39367102,1.01371242,0.57788809,0.20993032,0.08184812
-5.65782891,2.10091450,0.00452080,0.71336240,0.10171005,0.37625497,0.94011755,0.56146784,0.20483435,0.07889381
-5.65182591,2.02218360,0.00422400,0.68246366,0.10213536,0.35875744,0.87031090,0.54427964,0.19986309,0.07588196
-5.64582291,1.94264726,0.00393566,0.65185567,0.10211865,0.34114586,0.80423299,0.52623993,0.19489858,0.07280035
-5.63981991,1.86200824,0.00365617,0.62144341,0.10162578,0.32341364,0.74178582,0.50729726,0.18984167,0.06964229
-5.63381691,1.78008273,0.00338588,0.59115241,0.10063413,0.30558093,0.68284783,0.48743605,0.18461495,0.06640674
-5.62781391,1.69681329,0.00312509,0.56093570,0.09913328,0.28769403,0.62728709,0.46667872,0.17916483,0.06309837
-5.62181091,1.61227514,0.00287414,0.53077864,0.09712526,0.26982369,0.57497229,0.44508602,0.17346284,0.05972717
-5.61580790,1.52667594,0.00263334,0.50070156,0.09462430,0.25206245,0.52578124,0.42275566,0.16750606,0.05630803
-5.60980490,1.44034949,0.00240304,0.47076009,0.09165623,0.23452121,0.47960684,0.39981930,0.16131675,0.05286002
-5.60380190,1.35374405,0.00218360,0.44104353,0.08825744,0.21732539,0.43636074,0.37643824,0.15494125,0.04940567
-5.59779890,1.26740632,0.00197538,0.41167137,0.08447357,0.20061079,0.39597476,0.35279798,0.14844821,0.04597005
-5.59179590,1.18196217,0.00177870,0.38278833,0.08035787,0.18451959,0.35840065,0.32910206,0.14192621,0.04257988
-5.58579290,1.09809542,0.00159387,0.35455842,0.07596941,0.16919663,0.32360839,0.30556539,0.13548106,0.03926269
-5.57978989,1.01652591,0.00142115,0.32715824,0.07137116,0.15478614,0.29158376,0.28240766,0.12923267,0.03604599
-5.57378689,0.93798791,0.00126071,0.30077016,0.06662807,0.14142914,0.26232531,0.25984681,0.12331189,0.03295650
-5.56778389,0.86321001,0.00111266,0.27557557,0.06180516,0.12926160,0.23584131,0.23809320,0.11785725,0.03001961
-5.56178089,0.79289730,0.00097700,0.25174866,0.05696574,0.11841331,0.21214700,0.21734442,0.11301175,0.02725886
-5.55577789,0.72771632,0.00085366,0.22945091,0.05216986,0.10900754,0.19126223,0.19778102,0.10891992,0.02469564
-5.54977489,0.66828336,0.00074246,0.20882655,0.04747290,0.10116142,0.17320977,0.17956337,0.10572509,0.02234897
-5.54377189,0.61515605,0.00064314,0.18999911,0.04292455,0.09498674,0.15801430,0.16282940,0.10356697,0.02023548
-5.53776888,0.56882825,0.00055537,0.17306898,0.03856792,0.09059129,0.14570195,0.14769352,0.10257962,0.01836942
-5.53176588,0.52972785,0.00047877,0.15811217,0.03443910,0.08808030,0.13630043,0.13424635,0.10288968,0.01676287
-5.52576288,0.49821713,0.00041290,0.14517997,0.03056688,0.08755790,0.12983946,0.12255538,0.10461503,0.01542589
-5.51975988,0.47459495,0.00035732,0.13429954,0.02697279,0.08912832,0.12635130,0.11266618,0.10786362,0.01436681
-5.51375688,0.45910012,0.00031160,0.12547516,0.02367137,0.09289670,0.12587115,0.10460414,0.11273264,0.01359251
-5.50775388,0.45191536,0.00027531,0.11869004,0.02067059,0.09896915,0.12843722,0.09837649,0.11930772,0.01310860
-5.50175088,0.45317094,0.00024808,0.11390843,0.01797248,0.10745210,0.13409017,0.09397437,0.12766226,0.01291965
-5.49574787,0.46294758,0.00022960,0.11107791,0.01557382,0.11845062,0.14287170,0.09137489,0.13785675,0.01302930
-5.48974487,0.48127781,0.00021963,0.11013168,0.01346694,0.13206570,0.15482234,0.09054295,0.14993791,0.01344026
-5.48374187,0.50814570,0.00021804,0.11099063,0.01164046,0.14839052,0.16997802,0.09143266,0.16393778,0.01415432
-5.47773887,0.54348441,0.00022477,0.11356518,0.01008015,0.16750559,0.18836569,0.09398847,0.17987250,0.01517209
-5.47173587,0.58717169,0.00023988,0.11775684,0.00876960,0.18947306,0.20999794,0.09814569,0.19774094,0.01649277
-5.46573287,0.63902335,0.00026353,0.12345924,0.00769093,0.21433018,0.23486672,0.10383072,0.21752303,0.01811382
-5.45972986,0.69878516,0.00029598,0.13055892,0.00682540,0.24208232,0.26293642,0.11096069,0.23917794,0.02003047
-5.45372686,0.76612349,0.00033759,0.13893563,0.00615386,0.27269579,0.29413666,0.11944291,0.26264210,0.02223531
-5.44772386,0.84061556,0.00038881,0.14846242,0.00565720,0.30609077,0.32835500,0.12917401,0.28782731,0.02471773
-5.44172086,0.92173998,0.00045015,0.15900547,0.00531668,0.34213493,0.36543012,0.14003901,0.31461881,0.02746353
