energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.11452650,-2.20140000,1.43403021,-1.40169338,0.29434808,-0.59272401,0.00150954,-0.00751579,0.19790850,-0.37371074,0.24304782,-0.46185137,0.08596509,-0.15068700,0.53813164,-1.10430029,0.00000000,-0.00000000
-5.99399700,1.06434306,-2.21534664,1.38835057,-1.35972387,0.27413908,-0.61433302,0.00150014,-0.00676537,0.18266983,-0.37570036,0.24082559,-0.46681271,0.08363654,-0.15029359,0.52452702,-1.10829656,0.00000000,-0.00000000
-5.98799400,1.01667855,-2.23468140,1.34231800,-1.33415797,0.25502174,-0.63585900,0.00151384,-0.00606480,0.16762642,-0.38028038,0.23907945,-0.47268245,0.08153065,-0.15046572,0.51209625,-1.11383711,0.00000000,-0.00000000
-5.98199100,0.97133381,-2.25872922,1.29590599,-1.32410422,0.23703869,-0.65703622,0.00154880,-0.00541583,0.15293664,-0.38711717,0.23760109,-0.47941108,0.07958849,-0.15121121,0.50049731,-1.12083529,0.00000000,-0.00000000
-5.97598799,0.92808385,-2.28680509,1.24906935,-1.32852210,0.22020637,-0.67762354,0.00160349,-0.00481914,0.13873990,-0.39585921,0.23619262,-0.48693890,0.07775437,-0.15252974,0.48939986,-1.12920422,0.00000000,-0.00000000
-5.96998499,0.88668799,-2.31822911,1.20175285,-1.34624337,0.20451669,-0.69740754,0.00167666,-0.00427443,0.12515434,-0.40614312,0.23467178,-0.49519766,0.07597746,-0.15441303,0.47849493,-1.13886077,0.00000000,-0.00000000
-5.96398199,0.84690078,-2.35233589,1.15390122,-1.37598991,0.18993958,-0.71620369,0.00176735,-0.00378060,0.11227552,-0.41759902,0.23287653,-0.50411134,0.07421304,-0.15684475,0.46750373,-1.14972653,0.00000000,-0.00000000
-5.95797899,0.80848307,-2.38847797,1.10546967,-1.41638841,0.17642637,-0.73385567,0.00187485,-0.00333583,0.10017612,-0.42985516,0.23066890,-0.51359609,0.07242366,-0.15980026,0.45618525,-1.16172587,0.00000000,-0.00000000
-5.95197599,0.77121259,-2.42602407,1.05643393,-1.46598278,0.16391357,-0.75023302,0.00199871,-0.00293777,0.08890650,-0.44254189,0.22793795,-0.52355937,0.07057980,-0.16324618,0.44434229,-1.17478121,0.00000000,-0.00000000
-5.94597299,0.73489320,-2.46435300,1.00679913,-1.52324532,0.15232700,-0.76522740,0.00213867,-0.00258366,0.07849596,-0.45529527,0.22460164,-0.53389834,0.06866036,-0.16713985,0.43182562,-1.18880606,0.00000000,-0.00000000
