energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.40410549,0.09596734,0.10901544,0.02505380,0.00007184,0.10035843,0.14974618
-5.99399700,0.42635064,0.10425766,0.11765263,0.02384869,0.00007748,0.09782270,0.16638146
-5.98799400,0.44998573,0.11301723,0.12673203,0.02262181,0.00008321,0.09532696,0.18384262
-5.98199100,0.47486604,0.12216803,0.13617536,0.02139309,0.00008898,0.09292399,0.20198133
-5.97598799,0.50078957,0.13161472,0.14588734,0.02018060,0.00009472,0.09066315,0.22061990
-5.96998499,0.52749677,0.14124563,0.15575657,0.01900015,0.00010035,0.08858850,0.23955297
-5.96398199,0.55467277,0.15093433,0.16565701,0.01786500,0.00010579,0.08673691,0.25855021
-5.95797899,0.58195179,0.16054196,0.17545019,0.01678570,0.00011096,0.08513644,0.27736035
-5.95197599,0.60892408,0.16992013,0.18498799,0.01577005,0.00011578,0.08380507,0.29571607
-5.94597299,0.63514506,0.17891436,0.19411608,0.01482321,0.00012015,0.08274967,0.31333998
-5.93996998,0.66014648,0.18736800,0.20267776,0.01394787,0.00012401,0.08196557,0.32995129
-5.93396698,0.68344918,0.19512642,0.21051816,0.01314458,0.00012727,0.08143654,0.34527310
-5.92796398,0.70457713,0.20204139,0.21748868,0.01241208,0.00012987,0.08113532,0.35903992
-5.92196098,0.72307211,0.20797545,0.22345142,0.01174776,0.00013175,0.08102461,0.37100529
-5.91595798,0.73850842,0.21280607,0.22828347,0.01114812,0.00013287,0.08105857,0.38094906
-5.90995498,0.75050723,0.21642951,0.23188094,0.01060918,0.00013321,0.08118469,0.38868418
-5.90395198,0.75874967,0.21876411,0.23416239,0.01012702,0.00013274,0.08134602,0.39406255
-5.89794897,0.76298838,0.21975297,0.23507172,0.00969813,0.00013148,0.08148359,0.39697991
-5.89194597,0.76305687,0.21936581,0.23458027,0.00931983,0.00012944,0.08153893,0.39737930
-5.88594297,0.75887636,0.21760002,0.23268800,0.00899057,0.00012664,0.08145669,0.39525314
-5.87993997,0.75045976,0.21448078,0.22942386,0.00871018,0.00012315,0.08118702,0.39064379
-5.87393697,0.73791270,0.21006030,0.22484516,0.00848002,0.00011902,0.08068782,0.38364253
-5.86793397,0.72143160,0.20441617,0.21903607,0.00830310,0.00011432,0.07992671,0.37438702
-5.86193097,0.70129869,0.19764895,0.21210529,0.00818403,0.00010912,0.07888250,0.36305735
-5.85592796,0.67787456,0.18987903,0.20418296,0.00812899,0.00010353,0.07754636,0.34987091
-5.84992496,0.65158823,0.18124303,0.19541698,0.00814551,0.00009762,0.07592243,0.33507622
-5.84392196,0.62292536,0.17188972,0.18596892,0.00824224,0.00009149,0.07402801,0.31894596
-5.83791896,0.59241509,0.16197575,0.17600956,0.00842869,0.00008523,0.07189320,0.30176963
-5.83191596,0.56061592,0.15166140,0.16571436,0.00871479,0.00007893,0.06956021,0.28384590
-5.82591296,0.52810130,0.14110635,0.15525901,0.00911051,0.00007268,0.06708216,0.26547511
-5.81990995,0.49544533,0.13046578,0.14481509,0.00962544,0.00006655,0.06452158,0.24695213
-5.81390695,0.46320917,0.11988685,0.13454611,0.01026828,0.00006062,0.06194863,0.22855973
-5.80790395,0.43192837,0.10950572,0.12460405,0.01104642,0.00005495,0.05943914,0.21056278
-5.80190095,0.40210173,0.09944510,0.11512631,0.01196551,0.00004959,0.05707240,0.19320326
-5.79589795,0.37418168,0.08981243,0.10623335,0.01302904,0.00004459,0.05492894,0.17669629
-5.78989495,0.34856653,0.08069876,0.09802687,0.01423804,0.00003999,0.05308830,0.16122722
-5.78389195,0.32559451,0.07217822,0.09058865,0.01559087,0.00003582,0.05162675,0.14694963
-5.77788894,0.30553978,0.06430799,0.08397996,0.01708310,0.00003211,0.05061515,0.13398432
-5.77188594,0.28861019,0.05712895,0.07824152,0.01870752,0.00002886,0.05011687,0.12241926
-5.76588294,0.27494675,0.05066665,0.07339395,0.02045431,0.00002610,0.05018588,0.11231014
-5.75987994,0.26462466,0.04493268,0.06943864,0.02231141,0.00002383,0.05086500,0.10368169
-5.75387694,0.25765570,0.03992631,0.06635903,0.02426500,0.00002205,0.05218438,0.09652951
-5.74787394,0.25399180,0.03563633,0.06412212,0.02630014,0.00002079,0.05416022,0.09082221
-5.74187094,0.25352969,0.03204291,0.06268021,0.02840162,0.00002004,0.05679367,0.08650393
-5.73586793,0.25611628,0.02911955,0.06197289,0.03055486,0.00001981,0.06007023,0.08349704
-5.72986493,0.26155482,0.02683489,0.06192899,0.03274692,0.00002012,0.06395925,0.08170490
-5.72386193,0.26961154,0.02515454,0.06246872,0.03496762,0.00002099,0.06841403,0.08101472
-5.71785893,0.28002267,0.02404253,0.06350579,0.03721049,0.00002242,0.07337217,0.08130047
-5.71185593,0.29250182,0.02346282,0.06494951,0.03947382,0.00002446,0.07875642,0.08242574
-5.70585293,0.30674730,0.02338036,0.06670686,0.04176147,0.00002714,0.08447599,0.08424657
-5.69984992,0.32244963,0.02376204,0.06868451,0.04408350,0.00003050,0.09042830,0.08661434
-5.69384692,0.33929872,0.02457737,0.07079073,0.04645653,0.00003457,0.09650113,0.08937856
-5.68784392,0.35699075,0.02579884,0.07293720,0.04890378,0.00003942,0.10257524,0.09238964
-5.68184092,0.37523460,0.02740216,0.07504070,0.05145473,0.00004508,0.10852723,0.09550162
-5.67583792,0.39375744,0.02936609,0.07702460,0.05414441,0.00005163,0.11423278,0.09857481
-5.66983492,0.41230952,0.03167218,0.07882020,0.05701221,0.00005911,0.11956996,0.10147835
-5.66383192,0.43066783,0.03430422,0.08036782,0.06010033,0.00006756,0.12442261,0.10409252
-5.65782891,0.44863857,0.03724751,0.08161766,0.06345190,0.00007704,0.12868367,0.10631096
-5.65182591,0.46605822,0.04048797,0.08253042,0.06710866,0.00008757,0.13225823,0.10804248
-5.64582291,0.48279327,0.04401116,0.08307760,0.07110855,0.00009918,0.13506633,0.10921261
-5.63981991,0.49873855,0.04780114,0.08324155,0.07548309,0.00011186,0.13704521,0.10976474
-5.63381691,0.51381423,0.05183936,0.08301523,0.08025471,0.00012560,0.13815102,0.10966079
-5.62781391,0.52796169,0.05610355,0.08240166,0.08543432,0.00014034,0.13835994,0.10888143
-5.62181091,0.54113854,0.06056673,0.08141319,0.09101898,0.00015602,0.13766856,0.10742576
-5.61580790,0.55331300,0.06519634,0.08007048,0.09699011,0.00017253,0.13609353,0.10531058
-5.60980490,0.56445810,0.06995358,0.07840137,0.10331213,0.00018973,0.13367061,0.10256909
-5.60380190,0.57454607,0.07479309,0.07643960,0.10993174,0.00020747,0.13045300,0.09924928
-5.59779890,0.58354326,0.07966292,0.07422347,0.11677792,0.00022554,0.12650922,0.09541195
-5.59179590,0.59140618,0.08450487,0.07179451,0.12376277,0.00024373,0.12192041,0.09112840
-5.58579290,0.59807871,0.08925525,0.06919625,0.13078300,0.00026177,0.11677747,0.08647807
