energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,2.13994797,0.00569712,0.41890508,0.03368134,1.08012703,0.96127974,0.78891645,0.00000000
-5.99399700,2.18809754,0.00595711,0.42675494,0.03741783,1.11821392,0.97653192,0.80979112,0.00000000
-5.98799400,2.24498007,0.00626830,0.43655524,0.04158337,1.16238244,0.99579169,0.83365314,0.00000000
-5.98199100,2.31141752,0.00663276,0.44856169,0.04617431,1.21303744,1.01960523,0.86065698,0.00000000
-5.97598799,2.38800363,0.00705226,0.46298842,0.05118083,1.27048736,1.04841347,0.89086897,0.00000000
-5.96998499,2.47507702,0.00752825,0.48000106,0.05658653,1.33493309,1.08253764,0.92425960,0.00000000
-5.96398199,2.57270463,0.00806179,0.49971174,0.06236819,1.40646112,1.12216963,0.96069986,0.00000000
-5.95797899,2.68067605,0.00865351,0.52217616,0.06849572,1.48504125,1.16736723,0.99996172,0.00000000
-5.95197599,2.79850913,0.00930361,0.54739272,0.07493248,1.57052893,1.21805455,1.04172287,0.00000000
-5.94597299,2.92546643,0.01001181,0.57530383,0.08163583,1.66267203,1.27402735,1.08557549,0.00000000
-5.93996998,3.06058168,0.01077742,0.60579930,0.08855786,1.76112181,1.33496298,1.13103867,0.00000000
-5.93396698,3.20269510,0.01159935,0.63872148,0.09564647,1.86544736,1.40043450,1.17757392,0.00000000
-5.92796398,3.35049585,0.01247615,0.67387216,0.10284658,1.97515300,1.46992819,1.22460309,0.00000000
-5.92196098,3.50256981,0.01340610,0.71102066,0.11010150,2.08969764,1.54286380,1.27152799,0.00000000
-5.91595798,3.65745051,0.01438719,0.74991296,0.11735433,2.20851533,1.61861649,1.31775070,0.00000000
-5.90995498,3.81367102,0.01541728,0.79028130,0.12454946,2.33103591,1.69653973,1.36269383,0.00000000
-5.90395198,3.96981462,0.01649402,0.83185396,0.13163391,2.45670479,1.77598811,1.40581978,0.00000000
-5.89794897,4.12456202,0.01761499,0.87436472,0.13855863,2.58500096,1.85633913,1.44664825,0.00000000
-5.89194597,4.27673325,0.01877762,0.91756164,0.14527951,2.71545215,1.93701325,1.48477117,0.00000000
-5.88594297,4.42532241,0.01997921,0.96121473,0.15175823,2.84764649,2.01749125,1.51986459,0.00000000
-5.87993997,4.56952391,0.02121691,1.00512216,0.15796273,2.98123992,2.09732838,1.55169688,0.00000000
-5.87393697,4.70874915,0.02248761,1.04911486,0.16386747,3.11595880,2.17616465,1.58013311,0.00000000
-5.86793397,4.84263289,0.02378791,1.09305901,0.16945324,3.25159745,2.25373093,1.60513541,0.00000000
-5.86193097,4.97102927,0.02511397,1.13685658,0.17470677,3.38801067,2.32985064,1.62675929,0.00000000
-5.85592796,5.09399749,0.02646143,1.18044366,0.17962004,3.52510110,2.40443676,1.64514626,0.00000000
-5.84992496,5.21177788,0.02782524,1.22378669,0.18418929,3.66280213,2.47748454,1.66051303,0.00000000
-5.84392196,5.32475941,0.02919960,1.26687676,0.18841397,3.80105689,2.54905991,1.67313781,0.00000000
-5.83791896,5.43344000,0.03057782,1.30972210,0.19229549,3.93979417,2.61928417,1.68334435,0.00000000
-5.83191596,5.53838132,0.03195222,1.35233918,0.19583604,4.07890246,2.68831541,1.69148447,0.00000000
-5.82591296,5.64016006,0.03331408,1.39474276,0.19903738,4.21820323,2.75632753,1.69791977,0.00000000
-5.81990995,5.73931789,0.03465361,1.43693543,0.20189983,4.35742494,2.82348763,1.70300331,0.00000000
-5.81390695,5.83631208,0.03595999,1.47889698,0.20442142,4.49617916,2.88993266,1.70706210,0.00000000
-5.80790395,5.93146933,0.03722138,1.52057433,0.20659731,4.63394007,2.95574656,1.71038108,0.00000000
-5.80190095,6.02494468,0.03842512,1.56187252,0.20841944,4.77002888,3.02093870,1.71318926,0.00000000
-5.79589795,6.11668761,0.03955784,1.60264713,0.20987657,4.90360413,3.08542490,1.71564854,0.00000000
-5.78989495,6.20641698,0.04060574,1.64269882,0.21095454,5.03365889,3.14901189,1.71784571,0.00000000
-5.78389195,6.29360617,0.04155483,1.68177026,0.21163691,5.15902558,3.21138614,1.71978793,0.00000000
-5.77788894,6.37747941,0.04239132,1.71954576,0.21190577,5.27838863,3.27210788,1.72140178,0.00000000
-5.77188594,6.45701975,0.04310191,1.75565377,0.21174282,5.39030506,3.33061082,1.72253598,0.00000000
-5.76588294,6.53098874,0.04367424,1.78967245,0.21113061,5.49323261,3.38620788,1.72296758,0.00000000
