energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.35505380,0.00017985,0.01979145,0.19537155,0.02858253,0.00078746,0.17897651,0.15580925,0.02127444
-5.99399700,0.38997105,0.00021567,0.02156779,0.21366144,0.03165108,0.00092543,0.19791043,0.17613619,0.02269210
-5.98799400,0.42717701,0.00025768,0.02342905,0.23272131,0.03496776,0.00108339,0.21823439,0.19839363,0.02413120
-5.98199100,0.46674670,0.00030647,0.02537582,0.25250106,0.03854801,0.00126303,0.23999966,0.22264642,0.02559102
-5.97598799,0.50878191,0.00036265,0.02741057,0.27295585,0.04240959,0.00146607,0.26326852,0.24896110,0.02707368
-5.96998499,0.55341221,0.00042682,0.02953780,0.29404871,0.04657266,0.00169419,0.28811487,0.27740607,0.02858413
-5.96398199,0.60079487,0.00049953,0.03176415,0.31575289,0.05105960,0.00194903,0.31462427,0.30805163,0.03013008
-5.95797899,0.65111302,0.00058127,0.03409838,0.33805379,0.05589473,0.00223214,0.34289322,0.34096974,0.03172166
-5.95197599,0.70457196,0.00067247,0.03655121,0.36095018,0.06110384,0.00254491,0.37302757,0.37623323,0.03337114
-5.94597299,0.76139320,0.00077340,0.03913499,0.38445450,0.06671350,0.00288855,0.40513973,0.41391431,0.03509231
-5.93996998,0.82180607,0.00088424,0.04186331,0.40859218,0.07275016,0.00326406,0.43934471,0.45408204,0.03689984
-5.93396698,0.88603690,0.00100496,0.04475029,0.43339970,0.07923900,0.00367216,0.47575480,0.49679874,0.03880855
-5.92796398,0.95429575,0.00113536,0.04780992,0.45892146,0.08620259,0.00411331,0.51447301,0.54211504,0.04083248
-5.92196098,1.02676108,0.00127503,0.05105508,0.48520539,0.09365933,0.00458763,0.55558521,0.59006369,0.04298402
-5.91595798,1.10356273,0.00142335,0.05449668,0.51229736,0.10162172,0.00509494,0.59915133,0.64065211,0.04527300
-5.90995498,1.18476377,0.00157946,0.05814256,0.54023475,0.11009460,0.00563477,0.64519577,0.69385384,0.04770573
-5.90395198,1.27034217,0.00174226,0.06199658,0.56903917,0.11907322,0.00620634,0.69369753,0.74959929,0.05028428
