energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,9.89381848,0.01986921,2.48796590,0.09920781,3.67664470,3.87810494,2.37524489,1.28641400,0.79148466
-5.99399700,9.73979937,0.01999649,2.49116572,0.09624251,3.56333411,3.82952458,2.35510185,1.25876480,0.75783220
-5.98799400,9.56999827,0.02004363,2.48741892,0.09326852,3.44777771,3.77202294,2.32893540,1.22973063,0.72542766
-5.98199100,9.38477549,0.02000744,2.47652320,0.09031479,3.33051167,3.70562568,2.29675686,1.19931714,0.69437905
-5.97598799,9.18491576,0.01988651,2.45843546,0.08740991,3.21217643,3.63057375,2.25872409,1.16759248,0.66479183
-5.96998499,8.97167478,0.01968146,2.43328406,0.08458231,3.09353261,3.54734070,2.21514859,1.13469333,0.63677531
-5.96398199,8.74680377,0.01939498,2.40137429,0.08186047,2.97546946,3.45663966,2.16649621,1.10082791,0.61044781
-5.95797899,8.51254981,0.01903188,2.36318677,0.07927308,2.85900515,3.35941945,2.11338111,1.06627549,0.58594056
-5.95197599,8.27163174,0.01859904,2.31936869,0.07684906,2.74527871,3.25684990,2.05655331,1.03138272,0.56339989
-5.94597299,8.02719209,0.01810526,2.27071827,0.07461756,2.63553368,3.15029724,1.99688046,0.99655659,0.54298779
-5.93996998,7.78272703,0.01756106,2.21816309,0.07260776,2.53109425,3.04129037,1.93532440,0.96225451,0.52488074
-5.93396698,7.54199736,0.01697843,2.16273316,0.07084852,2.43333481,2.93147990,1.87291373,0.92897179,0.50926688
-5.92796398,7.30892423,0.01637044,2.10552995,0.06936801,2.34364429,2.82259155,1.81071346,0.89722718,0.49634176
-5.92196098,7.08747422,0.01575091,2.04769264,0.06819310,2.26338680,2.71637618,1.74979303,0.86754698,0.48630276
-5.91595798,6.88153849,0.01513402,1.99036303,0.06734874,2.19386029,2.61455844,1.69119397,0.84044841,0.47934241
-5.90995498,6.69481117,0.01453388,1.93465052,0.06685725,2.13625498,2.51878618,1.63589850,0.81642303,0.47564109
-5.90395198,6.53067188,0.01396413,1.88159852,0.06673758,2.09161328,2.43058276,1.58480029,0.79592077,0.47535911
-5.89794897,6.39207701,0.01343757,1.83215366,0.06700457,2.06079283,2.35130390,1.53867831,0.77933524,0.47862881
-5.89194597,6.28146408,0.01296581,1.78713886,0.06766830,2.04443409,2.28210066,1.49817496,0.76699095,0.48554676
-5.88594297,6.20067265,0.01255899,1.74723128,0.06873349,2.04293383,2.22388991,1.46377884,0.75913282,0.49616647
-5.87993997,6.15088470,0.01222548,1.71294586,0.07019897,2.05642543,2.17733295,1.43581300,0.75591836,0.51049193
-5.87393697,6.13258653,0.01197180,1.68462495,0.07205741,2.08476684,2.14282310,1.41442888,0.75741286,0.52847226
-5.86793397,6.14555347,0.01180239,1.66243432,0.07429508,2.12753654,2.12048223,1.39960596,0.76358759,0.54999759
-5.86193097,6.18885765,0.01171967,1.64636553,0.07689190,2.18403785,2.11016623,1.39115717,0.77432107,0.57489665
-5.85592796,6.26089864,0.01172400,1.63624446,0.07982162,2.25331136,2.11147894,1.38873964,0.78940339,0.60293590
-5.84992496,6.35945544,0.01181377,1.63174556,0.08305220,2.33415523,2.12379382,1.39187039,0.80854320,0.63382070
-5.84392196,6.48175809,0.01198558,1.63241106,0.08654637,2.42515265,2.14628247,1.39994628,0.83137720,0.66719821
-5.83791896,6.62457622,0.01223436,1.63767451,0.09026241,2.52470572,2.17794867,1.41226744,0.85748174,0.70266240
-5.83191596,6.78432137,0.01255367,1.64688751,0.09415499,2.63107474,2.21766685,1.42806332,0.88638605,0.73976083
-5.82591296,6.95715942,0.01293589,1.65934851,0.09817623,2.74242157,2.26422338,1.44652029,0.91758656,0.77800320
-5.81990995,7.13912927,0.01337256,1.67433275,0.10227681,2.85685588,2.31635927,1.46680992,0.95056199,0.81687154
-5.81390695,7.32626356,0.01385460,1.69112190,0.10640719,2.97248277,2.37281268,1.48811679,0.98478841,0.85583165
-5.80790395,7.51470721,0.01437264,1.70903235,0.11051877,3.08745036,2.43235989,1.50966485,1.01975399,0.89434555
-5.80190095,7.70082969,0.01491722,1.72744105,0.11456517,3.19999578,2.49385317,1.53074142,1.05497285,0.93188455
-5.79589795,7.88132712,0.01547911,1.74580787,0.11850336,3.30848819,2.55625431,1.55071805,1.08999753,0.96794254
-5.78989495,8.05331079,0.01604947,1.76369361,0.12229474,3.41146752,2.61866281,1.56906739,1.12442970,1.00204901
-5.78389195,8.21437901,0.01662003,1.78077304,0.12590616,3.50767770,2.68033763,1.58537574,1.15792895,1.03378130
-5.77788894,8.36267016,0.01718326,1.79684240,0.12931064,3.59609335,2.74071205,1.59935084,1.19021914,1.06277579
-5.77188594,8.49689518,0.01773243,1.81182131,0.13248804,3.67593935,2.79940106,1.61082476,1.22109237,1.08873735
-5.76588294,8.61634881,0.01826169,1.82574892,0.13542545,3.74670242,2.85620141,1.61975200,1.25041055,1.11144684
-5.75987994,8.72089967,0.01876611,1.83877464,0.13811735,3.80813490,2.91108424,1.62620306,1.27810441,1.13076624
-5.75387694,8.81095988,0.01924163,1.85114394,0.14056551,3.86025031,2.96418096,1.63035386,1.30417030,1.14664120
-5.74787394,8.88743602,0.01968504,1.86317992,0.14277866,3.90331135,3.01576298,1.63247172,1.32866483,1.15910079
-5.74187094,8.95166354,0.02009394,1.87526147,0.14477191,3.93781062,3.06621621,1.63289848,1.35169782,1.16825451
-5.73586793,9.00532771,0.02046664,1.88779903,0.14656590,3.96444495,3.11601152,1.63203164,1.37342368,1.17428645
-5.72986493,9.05037422,0.02080209,1.90120909,0.14818577,3.98408430,3.16567229,1.63030429,1.39403173,1.17744694
-5.72386193,9.08891321,0.02109979,1.91588853,0.14965994,3.99773620,3.21574038,1.62816476,1.41373591,1.17804184
-5.71785893,9.12312043,0.02135976,1.93218992,0.15101871,4.00650710,3.26674198,1.62605663,1.43276413,1.17641991
