energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.77431735,0.00182147,0.18229737,0.02599935,0.00000000,0.02382644,2.17992320,0.72837737,0.55465371
-5.99399700,3.54040918,0.00164998,0.17167554,0.02412939,0.00000000,0.02225136,2.04479987,0.68655479,0.52015648
-5.98799400,3.31096366,0.00152056,0.16140029,0.02230018,0.00000000,0.02077369,1.91177465,0.64541749,0.48589990
-5.98199100,3.08867151,0.00143143,0.15164685,0.02052342,0.00000000,0.01940903,1.78236260,0.60542823,0.45232464
-5.97598799,2.87615136,0.00138167,0.14258020,0.01881083,0.00000000,0.01817273,1.65804502,0.56705459,0.41985573
-5.96998499,2.67586462,0.00137114,0.13435076,0.01717366,0.00000000,0.01707922,1.54022044,0.53075197,0.38889014
-5.96398199,2.49003846,0.00140042,0.12709055,0.01562228,0.00000000,0.01614147,1.43016025,0.49694736,0.35978583
-5.95797899,2.32059921,0.00147072,0.12090994,0.01416577,0.00000000,0.01537045,1.32897040,0.46602461,0.33285253
-5.95197599,2.16911774,0.00158380,0.11589498,0.01281167,0.00000000,0.01477471,1.23756002,0.43831153,0.30834451
-5.94597299,2.03676784,0.00174189,0.11210538,0.01156575,0.00000000,0.01435999,1.15661762,0.41406923,0.28645534
-5.93996998,1.92429798,0.00194755,0.10957304,0.01043181,0.00000000,0.01412891,1.08659517,0.39348383,0.26731468
-5.93396698,1.83201653,0.00220361,0.10830130,0.00941172,0.00000000,0.01408079,1.02769991,0.37666085,0.25098712
-5.92796398,1.75979001,0.00251303,0.10826481,0.00850535,0.00000000,0.01421152,0.97989383,0.36362219,0.23747274
-5.92196098,1.70705360,0.00287873,0.10940998,0.00771067,0.00000000,0.01451352,0.94290012,0.35430564,0.22670957
-5.91595798,1.67283316,0.00330350,0.11165613,0.00702389,0.00000000,0.01497578,0.91621615,0.34856703,0.21857737
-5.90995498,1.65577746,0.00378981,0.11489719,0.00643965,0.00000000,0.01558400,0.89913222,0.34618455,0.21290292
-5.90395198,1.65419956,0.00433963,0.11900406,0.00595120,0.00000000,0.01632081,0.89075523,0.34686540,0.20946630
-5.89794897,1.66612591,0.00495428,0.12382753,0.00555066,0.00000000,0.01716608,0.89003660,0.35025412,0.20800816
-5.89194597,1.68935186,0.00563421,0.12920172,0.00522925,0.00000000,0.01809728,0.89580330,0.35594274,0.20823767
-5.88594297,1.72150201,0.00637884,0.13494807,0.00497758,0.00000000,0.01908996,0.90679139,0.36348207,0.20984096
-5.87993997,1.76009395,0.00718638,0.14087965,0.00478589,0.00000000,0.02011830,0.92168093,0.37239410,0.21248991
-5.87393697,1.80260361,0.00805370,0.14680591,0.00464428,0.00000000,0.02115564,0.93913143,0.38218490,0.21585092
-5.86793397,1.84653074,0.00897615,0.15253756,0.00454296,0.00000000,0.02217515,0.95781699,0.39235782,0.21959369
-5.86193097,1.88946261,0.00994750,0.15789155,0.00447249,0.00000000,0.02315050,0.97646004,0.40242661,0.22339956
-5.85592796,1.92913429,0.01095989,0.16269596,0.00442391,0.00000000,0.02405648,0.99386297,0.41192790,0.22696937
-5.84992496,1.96348393,0.01200384,0.16679466,0.00438897,0.00000000,0.02486974,1.00893671,0.42043293,0.23003060
-5.84392196,1.99070132,0.01306828,0.17005161,0.00436025,0.00000000,0.02556934,1.02072558,0.42755803,0.23234356
-5.83791896,2.00926849,0.01414075,0.17235452,0.00433124,0.00000000,0.02613738,1.02842777,0.43297352,0.23370655
-5.83191596,2.01799122,0.01520754,0.17361791,0.00429650,0.00000000,0.02655945,1.03141083,0.43641095,0.23395978
-5.82591296,2.01602057,0.01625399,0.17378532,0.00425163,0.00000000,0.02682513,1.02922210,0.43766832,0.23298800
-5.81990995,2.00286408,0.01726482,0.17283063,0.00419335,0.00000000,0.02692819,1.02159362,0.43661331,0.23072177
