energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-3.86893447,7.36799152,-0.81907464,0.06380699,-0.00082235,0.78437615,-0.15715984,0.03594246,-0.00675937,0.00000000,-0.00000000,1.75614381,-0.25260885,3.75055672,-0.26751538,2.82314906,-0.37776969,0.00000000,-0.00000000
-3.86293147,7.35362859,-0.78188516,0.06659086,-0.00066661,0.78989872,-0.15656595,0.03682874,-0.00649164,0.00000000,-0.00000000,1.75996679,-0.24164438,3.70235555,-0.25668963,2.83345112,-0.35226077,0.00000000,-0.00000000
-3.85692846,7.31598404,-0.75339579,0.06911318,-0.00054998,0.79254104,-0.15637375,0.03750513,-0.00622460,0.00000000,-0.00000000,1.75925904,-0.23293564,3.64336690,-0.24916125,2.83414013,-0.33245198,0.00000000,-0.00000000
-3.85092546,7.25471736,-0.73307942,0.07132650,-0.00046734,0.79212582,-0.15662972,0.03795849,-0.00595561,0.00000000,-0.00000000,1.75398002,-0.22635119,3.57403639,-0.24477180,2.82482988,-0.31791886,0.00000000,-0.00000000
-3.84492246,7.16994171,-0.72058517,0.07318767,-0.00041477,0.78854892,-0.15740989,0.03818046,-0.00568321,0.00000000,-0.00000000,1.74421063,-0.22180914,3.49496851,-0.24342283,2.80535447,-0.30832115,0.00000000,-0.00000000
-3.83891946,7.06227491,-0.71572189,0.07465943,-0.00038955,0.78178711,-0.15881467,0.03816774,-0.00540702,0.00000000,-0.00000000,1.73016683,-0.21927271,3.40693787,-0.24506913,2.77579350,-0.30339789,0.00000000,-0.00000000
-3.83291646,6.93287259,-0.71843478,0.07571180,-0.00039009,0.77190248,-0.16096272,0.03792234,-0.00512769,0.00000000,-0.00000000,1.71220809,-0.21874373,3.31089505,-0.24970946,2.73648830,-0.30295886,0.00000000,-0.00000000
-3.82691346,6.78344061,-0.72877649,0.07632334,-0.00041596,0.75904332,-0.16398404,0.03745154,-0.00484668,0.00000000,-0.00000000,1.69083989,-0.22025468,3.20796579,-0.25737538,2.68804777,-0.30687298,0.00000000,-0.00000000
-3.82091046,6.61622488,-0.74687429,0.07648206,-0.00046786,0.74344140,-0.16801252,0.03676772,-0.00456618,0.00000000,-0.00000000,1.66670966,-0.22385950,3.09944288,-0.26811864,2.63134336,-0.31505467,0.00000000,-0.00000000
-3.81490745,6.43397801,-0.77289496,0.07618595,-0.00054765,0.72540567,-0.17317833,0.03588795,-0.00428891,0.00000000,-0.00000000,1.64059597,-0.22962371,2.98677030,-0.28199777,2.56749301,-0.32744862,0.00000000,-0.00000000
