energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,2.16447599,0.47139590,0.21725914,0.11740238,0.13688707,1.16136341,0.00000000
-5.99399700,2.21304324,0.46612600,0.22597333,0.12600592,0.13579816,1.18570712,0.00000000
-5.98799400,2.26593515,0.46392250,0.23523777,0.13468925,0.13527594,1.21182525,0.00000000
-5.98199100,2.32095409,0.46447601,0.24483244,0.14334768,0.13519411,1.23856782,0.00000000
-5.97598799,2.37599640,0.46748348,0.25453403,0.15187553,0.13543367,1.26484990,0.00000000
-5.96998499,2.42911992,0.47266360,0.26412247,0.16016907,0.13588786,1.28968730,0.00000000
-5.96398199,2.47860431,0.47977013,0.27338732,0.16812942,0.13646651,1.31222763,0.00000000
-5.95797899,2.52300230,0.48860261,0.28213400,0.17566544,0.13709970,1.33177558,0.00000000
-5.95197599,2.56118019,0.49901430,0.29018933,0.18269630,0.13774074,1.34781174,0.00000000
-5.94597299,2.59234649,0.51091713,0.29740660,0.18915370,0.13836824,1.36000423,0.00000000
-5.93996998,2.61606802,0.52428369,0.30366960,0.19498371,0.13898735,1.36821315,0.00000000
-5.93396698,2.63227352,0.53914637,0.30889579,0.20014803,0.13963013,1.37248782,0.00000000
-5.92796398,2.64124506,0.55559401,0.31303837,0.20462476,0.14035516,1.37305748,0.00000000
-5.92196098,2.64359836,0.57376641,0.31608719,0.20840852,0.14124632,1.37031593,0.00000000
-5.91595798,2.64025328,0.59384700,0.31806856,0.21151004,0.14241093,1.36480141,0.00000000
-5.90995498,2.63239618,0.61605440,0.31904398,0.21395522,0.14397723,1.35717265,0.00000000
-5.90395198,2.62143607,0.64063306,0.31910776,0.21578361,0.14609144,1.34818251,0.00000000
-5.89794897,2.60895646,0.66784355,0.31838384,0.21704666,0.14891426,1.33865041,0.00000000
-5.89194597,2.59666489,0.69795286,0.31702164,0.21780545,0.15261707,1.32943469,0.00000000
-5.88594297,2.58634176,0.73122483,0.31519138,0.21812840,0.15737773,1.32140615,0.00000000
-5.87993997,2.57979007,0.76791099,0.31307884,0.21808870,0.16337622,1.31542338,0.00000000
-5.87393697,2.57878712,0.80824178,0.31087976,0.21776185,0.17078985,1.31231060,0.00000000
-5.86793397,2.58503898,0.85241803,0.30879401,0.21722322,0.17978839,1.31283827,0.00000000
-5.86193097,2.60013821,0.90060267,0.30701980,0.21654574,0.19052891,1.31770652,0.00000000
-5.85592796,2.62552486,0.95291243,0.30574781,0.21579783,0.20315042,1.32753124,0.00000000
-5.84992496,2.66245072,1.00940928,0.30515561,0.21504153,0.21776850,1.34283237,0.00000000
-5.84392196,2.71194658,1.07009162,0.30540240,0.21433092,0.23446982,1.36402394,0.00000000
-5.83791896,2.77479227,1.13488511,0.30662403,0.21371077,0.25330673,1.39140535,0.00000000
-5.83191596,2.85148923,1.20363311,0.30892865,0.21321550,0.27429222,1.42515333,0.00000000
-5.82591296,2.94223595,1.27608726,0.31239289,0.21286836,0.29739526,1.46531431,0.00000000
-5.81990995,3.04690629,1.35189832,0.31705873,0.21268089,0.32253688,1.51179699,0.00000000
-5.81390695,3.16503173,1.43060809,0.32293122,0.21265263,0.34958721,1.56436518,0.00000000
-5.80790395,3.29578828,1.51164296,0.32997700,0.21277102,0.37836382,1.62263128,0.00000000
-5.80190095,3.43798951,1.59431012,0.33812388,0.21301159,0.40863150,1.68605103,0.00000000
-5.79589795,3.59008718,1.67779703,0.34726146,0.21333848,0.44010385,1.75392017,0.00000000
-5.78989495,3.75018080,1.76117521,0.35724285,0.21370510,0.47244669,1.82537421,0.00000000
-5.78389195,3.91603778,1.84340891,0.36788760,0.21405520,0.50528356,1.89939201,0.00000000
-5.77788894,4.08512503,1.92336913,0.37898574,0.21432423,0.53820313,1.97480443,0.00000000
-5.77188594,4.25465273,1.99985330,0.39030297,0.21444098,0.57076851,2.05030857,0.00000000
-5.76588294,4.42163024,2.07161038,0.40158682,0.21432960,0.60252805,2.12448831,0.00000000
-5.75987994,4.58293345,2.13737097,0.41257365,0.21391178,0.63302756,2.19584124,0.00000000
-5.75387694,4.73538195,2.19588148,0.42299632,0.21310932,0.66182310,2.26281181,0.00000000
-5.74787394,4.87582381,2.24594119,0.43259214,0.21184672,0.68849404,2.32382984,0.00000000
-5.74187094,5.00122476,2.28644059,0.44111091,0.21005391,0.71265579,2.37735352,0.00000000
-5.73586793,5.10875849,2.31639940,0.44832273,0.20766898,0.73397133,2.42191503,0.00000000
-5.72986493,5.19589376,2.33500221,0.45402505,0.20464066,0.75216128,2.45616715,0.00000000
-5.72386193,5.26047451,2.34163009,0.45804894,0.20093062,0.76701167,2.47892861,0.00000000
-5.71785893,5.30078887,2.33588632,0.46026401,0.19651535,0.77837918,2.48922598,0.00000000
-5.71185593,5.31562366,2.31761478,0.46058190,0.19138754,0.78619352,2.48633005,0.00000000
-5.70585293,5.30430146,2.28690997,0.45895813,0.18555690,0.79045679,2.46978462,0.00000000
-5.69984992,5.26669829,2.24411791,0.45539231,0.17905036,0.79123987,2.43942620,0.00000000
-5.69384692,5.20324105,2.18982777,0.44992656,0.17191159,0.78867613,2.39539336,0.00000000
-5.68784392,5.11488473,2.12485451,0.44264241,0.16419992,0.78295285,2.33812522,0.00000000
-5.68184092,5.00307073,2.05021345,0.43365635,0.15598863,0.77430074,2.26834888,0.00000000
-5.67583792,4.86966874,1.96708786,0.42311415,0.14736276,0.76298243,2.18705649,0.00000000
-5.66983492,4.71690498,1.87679137,0.41118452,0.13841648,0.74928039,2.09547297,0.00000000
-5.66383192,4.54728101,1.78072681,0.39805225,0.12925019,0.73348512,1.99501590,0.00000000
-5.65782891,4.36348705,1.68034377,0.38391124,0.11996749,0.71588417,1.88724970,0.00000000
-5.65182591,4.16831423,1.57709651,0.36895798,0.11067213,0.69675273,1.77383612,0.00000000
-5.64582291,3.96456992,1.47240440,0.35338544,0.10146508,0.67634598,1.65648340,0.00000000
-5.63981991,3.75499993,1.36761632,0.33737790,0.09244194,0.65489381,1.53689651,0.00000000
-5.63381691,3.54222063,1.26398051,0.32110692,0.08369059,0.63259782,1.41673038,0.00000000
-5.62781391,3.32866340,1.16262072,0.30472830,0.07528944,0.60963074,1.29754810,0.00000000
-5.62181091,3.11653290,1.06451931,0.28838042,0.06730603,0.58613795,1.18078557,0.00000000
-5.61580790,2.90777967,0.97050742,0.27218365,0.05979628,0.56224099,1.06772355,0.00000000
-5.60980490,2.70408681,0.88126203,0.25624080,0.05280421,0.53804247,0.95946789,0.00000000
-5.60380190,2.50686979,0.79730937,0.24063857,0.04636214,0.51363195,0.85693789,0.00000000
-5.59779890,2.31728754,0.71903375,0.22544956,0.04049139,0.48909235,0.76086265,0.00000000
-5.59179590,2.13626293,0.64669103,0.21073487,0.03520331,0.46450632,0.67178477,0.00000000
-5.58579290,1.96451008,0.58042528,0.19654683,0.03050062,0.43996208,0.59007043,0.00000000
-5.57978989,1.80256607,0.52028767,0.18293188,0.02637898,0.41555847,0.51592463,0.00000000
-5.57378689,1.65082474,0.46625639,0.16993316,0.02282867,0.39140876,0.44941047,0.00000000
-5.56778389,1.50957022,0.41825632,0.15759286,0.01983629,0.36764316,0.39047096,0.00000000
-5.56178089,1.37900841,0.37617781,0.14595412,0.01738645,0.34440980,0.33895216,0.00000000
-5.55577789,1.25929487,0.33989344,0.13506236,0.01546327,0.32187436,0.29462638,0.00000000
-5.54977489,1.15055797,0.30927232,0.12496608,0.01405182,0.30021833,0.25721428,0.00000000
-5.54377189,1.05291665,0.28419142,0.11571713,0.01313919,0.27963604,0.22640512,0.00000000
-5.53776888,0.96649239,0.26454361,0.10737036,0.01271537,0.26033084,0.20187422,0.00000000
-5.53176588,0.89141550,0.25024231,0.09998284,0.01277379,0.24251049,0.18329729,0.00000000
