energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.21727489,0.71440944,0.24258844,0.00133851,0.65095569,0.73816192,0.00000000,1.08409959,0.70114426
-5.99399700,2.18867417,0.69260761,0.23357512,0.00149447,0.65830409,0.71300665,0.00000000,1.09599029,0.69761703
-5.98799400,2.16516099,0.67197373,0.22506063,0.00167070,0.66713416,0.68951068,0.00000000,1.11044483,0.69519278
-5.98199100,2.14718243,0.65274775,0.21717909,0.00186940,0.67739759,0.66800708,0.00000000,1.12769799,0.69379952
-5.97598799,2.13508018,0.63513106,0.21004962,0.00209285,0.68902799,0.64878309,0.00000000,1.14798594,0.69332997
-5.96998499,2.12911416,0.61929092,0.20377576,0.00234340,0.70195293,0.63208250,0.00000000,1.17155584,0.69365489
-5.96398199,2.12948725,0.60536568,0.19844508,0.00262333,0.71610579,0.61810895,0.00000000,1.19867412,0.69463673
-5.95797899,2.13636867,0.59347014,0.19412907,0.00293488,0.73143622,0.60702960,0.00000000,1.22963221,0.69614286
-5.95197599,2.14991384,0.58370044,0.19088305,0.00328006,0.74791856,0.59897870,0.00000000,1.26474835,0.69805741
-5.94597299,2.17027888,0.57613817,0.18874619,0.00366064,0.76555730,0.59406077,0.00000000,1.30436492,0.70029099
-5.93996998,2.19762826,0.57085324,0.18774163,0.00407798,0.78438908,0.59235286,0.00000000,1.34884031,0.70278762
-5.93396698,2.23213466,0.56790533,0.18787651,0.00453297,0.80448084,0.59390588,0.00000000,1.39853535,0.70552848
-5.92796398,2.27397068,0.56734375,0.18914218,0.00502589,0.82592412,0.59874482,0.00000000,1.45379426,0.70853235
-5.92196098,2.32329276,0.56920583,0.19151431,0.00555631,0.84882557,0.60686784,0.00000000,1.51492072,0.71185247
-5.91595798,2.38021821,0.57351384,0.19495328,0.00612300,0.87329425,0.61824428,0.00000000,1.58215017,0.71557040
-5.90995498,2.44479676,0.58027080,0.19940454,0.00672387,0.89942650,0.63281197,0.00000000,1.65561956,0.71978712
-5.90395198,2.51697866,0.58945546,0.20479921,0.00735585,0.92728921,0.65047390,0.00000000,1.73533644,0.72461203
-5.89794897,2.59658159,0.60101685,0.21105486,0.00801490,0.95690267,0.67109464,0.00000000,1.82114919,0.73015071
-5.89194597,2.68325896,0.61486884,0.21807648,0.00869598,0.98822431,0.69449687,0.00000000,1.91272050,0.73649218
-5.88594297,2.77647191,0.63088513,0.22575763,0.00939306,1.02113443,0.72045832,0.00000000,2.00950626,0.74369673
-5.87993997,2.87546772,0.64889509,0.23398185,0.01009920,1.05542511,0.74870943,0.00000000,2.11074151,0.75178493
-5.87393697,2.97926647,0.66868089,0.24262417,0.01080664,1.09079340,0.77893214,0.00000000,2.21543523,0.76072894
-5.86793397,3.08665778,0.68997619,0.25155283,0.01150692,1.12683939,0.81075989,0.00000000,2.32237519,0.77044639
-5.86193097,3.19620872,0.71246660,0.26063109,0.01219102,1.16306983,0.84377920,0.00000000,2.43014333,0.78079766
-5.85592796,3.30628333,0.73579225,0.26971914,0.01284962,1.19890735,0.87753288,0.00000000,2.53714202,0.79158653
-5.84992496,3.41507359,0.75955228,0.27867606,0.01347327,1.23370506,0.91152498,0.00000000,2.64163046,0.80256444
-5.84392196,3.52064104,0.78331147,0.28736181,0.01405263,1.26676608,0.94522740,0.00000000,2.74177023,0.81343798
-5.83791896,3.62096742,0.80660872,0.29563928,0.01457875,1.29736703,0.97808833,0.00000000,2.83567826,0.82387942
-5.83191596,3.71401245,0.82896730,0.30337633,0.01504333,1.32478438,1.00954205,0.00000000,2.92148488,0.83353951
-5.82591296,3.79777607,0.84990638,0.31044781,0.01543895,1.34832227,1.03902023,0.00000000,2.99739463,0.84206189
-5.81990995,3.87036248,0.86895376,0.31673765,0.01575932,1.36734042,1.06596421,0.00000000,3.06174680,0.84909832
-5.81390695,3.93004306,0.88565910,0.32214095,0.01599952,1.38128047,1.08983814,0.00000000,3.11307304,0.85432384
-5.80790395,3.97531517,0.89960737,0.32656603,0.01615613,1.38968944,1.11014240,0.00000000,3.15014904,0.85745093
-5.80190095,4.00495422,0.91043192,0.32993651,0.01622745,1.39223903,1.12642712,0.00000000,3.17203809,0.85824203
-5.79589795,4.01805652,0.91782677,0.33219333,0.01621353,1.38873964,1.13830515,0.00000000,3.17812419,0.85651972
-5.78989495,4.01407107,0.92155754,0.33329666,0.01611626,1.37914845,1.14546412,0.00000000,3.16813320,0.85217389
-5.78389195,3.99281894,0.92147065,0.33322766,0.01593937,1.36357116,1.14767706,0.00000000,3.14214124,0.84516587
-5.77788894,3.95449936,0.91750028,0.33198996,0.01568834,1.34225736,1.14481118,0.00000000,3.10056989,0.83552913
-5.77188594,3.89968250,0.90967288,0.32961082,0.01537032,1.31558983,1.13683430,0.00000000,3.04416869,0.82336675
