energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.23781119,0.10254335,0.04824971,0.00139771,0.03028025,0.00028911,0.08061901,0.05413327,0.00908000
-5.99399700,0.21524635,0.09292450,0.04322692,0.00123167,0.02698145,0.00029078,0.07408127,0.04736219,0.00852661
-5.98799400,0.19799411,0.08571483,0.03922566,0.00109200,0.02432596,0.00030010,0.06945536,0.04168680,0.00821238
-5.98199100,0.18593741,0.08086137,0.03621819,0.00097776,0.02229506,0.00031727,0.06671297,0.03706612,0.00813541
-5.97598799,0.17894138,0.07830761,0.03417187,0.00088782,0.02086735,0.00034245,0.06582179,0.03345451,0.00829389
-5.96998499,0.17685668,0.07799464,0.03305024,0.00082094,0.02001948,0.00037576,0.06674575,0.03080352,0.00868604
-5.96398199,0.17952088,0.07986129,0.03281363,0.00077573,0.01972667,0.00041724,0.06944469,0.02906320,0.00930982
-5.95797899,0.18675785,0.08384329,0.03341955,0.00075075,0.01996289,0.00046689,0.07387313,0.02818308,0.01016268
-5.95197599,0.19837543,0.08987154,0.03482265,0.00074446,0.02070096,0.00052458,0.07997856,0.02811270,0.01124107
-5.94597299,0.21416151,0.09786961,0.03697438,0.00075529,0.02191225,0.00059008,0.08769909,0.02880172,0.01254007
-5.93996998,0.23387906,0.10775070,0.03982250,0.00078160,0.02356643,0.00066303,0.09696089,0.03019972,0.01405287
-5.93396698,0.25726052,0.11941421,0.04331036,0.00082173,0.02563091,0.00074288,0.10767527,0.03225563,0.01577023
-5.92796398,0.28400207,0.13274220,0.04737619,0.00087393,0.02807035,0.00082898,0.11973602,0.03491706,0.01768005
-5.92196098,0.31375836,0.14759607,0.05195242,0.00093643,0.03084612,0.00092045,0.13301689,0.03812934,0.01976693
-5.91595798,0.34613831,0.16381368,0.05696515,0.00100741,0.03391582,0.00101628,0.14736967,0.04183474,0.02201179
-5.90995498,0.38070246,0.18120712,0.06233384,0.00108498,0.03723294,0.00111526,0.16262289,0.04597155,0.02439168
-5.90395198,0.41696236,0.19956154,0.06797137,0.00116724,0.04074670,0.00121605,0.17858160,0.05047346,0.02687972
-5.89794897,0.45438237,0.21863512,0.07378438,0.00125222,0.04440208,0.00131714,0.19502805,0.05526915,0.02944512
-5.89194597,0.49238410,0.23816031,0.07967415,0.00133797,0.04814016,0.00141694,0.21172367,0.06028219,0.03205351
-5.88594297,0.53035360,0.25784658,0.08553778,0.00142253,0.05189864,0.00151377,0.22841218,0.06543125,0.03466738
-5.87993997,0.56765128,0.27738455,0.09126988,0.00150398,0.05561276,0.00160592,0.24482393,0.07063086,0.03724674
-5.87393697,0.60362430,0.29645145,0.09676459,0.00158047,0.05921629,0.00169167,0.26068132,0.07579242,0.03974994
-5.86793397,0.63762100,0.31471788,0.10191791,0.00165027,0.06264297,0.00176937,0.27570514,0.08082568,0.04213462
-5.86193097,0.66900703,0.33185551,0.10663025,0.00171177,0.06582790,0.00183749,0.28962169,0.08564057,0.04435889
-5.85592796,0.69718232,0.34754555,0.11080915,0.00176357,0.06870922,0.00189463,0.30217025,0.09014933,0.04638244
-5.84992496,0.72159837,0.36148750,0.11437187,0.00180447,0.07122972,0.00193959,0.31311078,0.09426885,0.04816779
-5.84392196,0.74177498,0.37340805,0.11724804,0.00183355,0.07333850,0.00197145,0.32223137,0.09792306,0.04968150
-5.83791896,0.75731565,0.38306942,0.11938187,0.00185016,0.07499245,0.00198950,0.32935517,0.10104548,0.05089528
-5.83191596,0.76792100,0.39027698,0.12073417,0.00185395,0.07615765,0.00199338,0.33434651,0.10358153,0.05178704
-5.82591296,0.77339945,0.39488576,0.12128380,0.00184490,0.07681041,0.00198300,0.33711579,0.10549069,0.05234172
-5.81990995,0.77367480,0.39680541,0.12102867,0.00182331,0.07693807,0.00195863,0.33762315,0.10674836,0.05255192
-5.81390695,0.76879011,0.39600349,0.11998611,0.00178979,0.07653949,0.00192080,0.33588042,0.10734730,0.05241837
-5.80790395,0.75890787,0.39250689,0.11819269,0.00174528,0.07562508,0.00187036,0.33195152,0.10729857,0.05194998
-5.80190095,0.74430636,0.38640124,0.11570337,0.00169101,0.07421653,0.00180841,0.32595118,0.10663202,0.05116381
-5.79589795,0.72537233,0.37782843,0.11259016,0.00162846,0.07234617,0.00173629,0.31804203,0.10539612,0.05008464
-5.78989495,0.70259039,0.36698232,0.10894028,0.00155936,0.07005598,0.00165551,0.30843015,0.10365735,0.04874435
-5.78389195,0.67652949,0.35410280,0.10485379,0.00148565,0.06739631,0.00156775,0.29735943,0.10149891,0.04718106
-5.77788894,0.64782719,0.33946846,0.10044105,0.00140944,0.06442439,0.00147475,0.28510474,0.09901906,0.04543808
-5.77188594,0.61717226,0.32338836,0.09581977,0.00133299,0.06120272,0.00137834,0.27196451,0.09632892,0.04356271
-5.76588294,0.58528634,0.30619302,0.09111212,0.00125867,0.05779724,0.00128033,0.25825261,0.09354998,0.04160495
-5.75987994,0.55290546,0.28822519,0.08644166,0.00118895,0.05427565,0.00118249,0.24429032,0.09081117,0.03961613
-5.75387694,0.52076188,0.26983069,0.08193042,0.00112634,0.05070567,0.00108654,0.23039819,0.08824594,0.03764753
-5.74787394,0.48956695,0.25134968,0.07769617,0.00107344,0.04715340,0.00099410,0.21688846,0.08598900,0.03574909
-5.74187094,0.45999554,0.23310868,0.07384981,0.00103284,0.04368194,0.00090668,0.20405803,0.08417317,0.03396809
-5.73586793,0.43267220,0.21541351,0.07049311,0.00100718,0.04035013,0.00082564,0.19218218,0.08292619,0.03234807
-5.72986493,0.40815958,0.19854342,0.06771675,0.00099908,0.03721151,0.00075222,0.18150928,0.08236770,0.03092774
-5.72386193,0.38694902,0.18274645,0.06559867,0.00101118,0.03431355,0.00068753,0.17225645,0.08260633,0.02974023
-5.71785893,0.36945344,0.16823607,0.06420275,0.00104604,0.03169710,0.00063257,0.16460632,0.08373706,0.02881231
-5.71185593,0.35600261,0.15518913,0.06357784,0.00110621,0.02939609,0.00058821,0.15870470,0.08583883,0.02816402
-5.70585293,0.34684037,0.14374494,0.06375705,0.00119411,0.02743737,0.00055523,0.15465934,0.08897249,0.02780829
-5.69984992,0.34212393,0.13400546,0.06475747,0.00131204,0.02584076,0.00053435,0.15253962,0.09317910,0.02775087
-5.69384692,0.34192490,0.12603644,0.06658000,0.00146212,0.02461925,0.00052622,0.15237696,0.09847857,0.02799046
-5.68784392,0.34623186,0.11986922,0.06920957,0.00164616,0.02377930,0.00053147,0.15416615,0.10486879,0.02851893
-5.68184092,0.35495433,0.11550327,0.07261563,0.00186568,0.02332120,0.00055071,0.15786725,0.11232517,0.02932176
-5.67583792,0.36792782,0.11290906,0.07675277,0.00212175,0.02323950,0.00058455,0.16340814,0.12080067,0.03037872
-5.66983492,0.38492008,0.11203127,0.08156172,0.00241491,0.02352349,0.00063363,0.17068754,0.13022631,0.03166452
-5.66383192,0.40563806,0.11279219,0.08697047,0.00274509,0.02415763,0.00069860,0.17957852,0.14051229,0.03314974
-5.65782891,0.42973582,0.11509518,0.09289572,0.00311150,0.02512209,0.00078016,0.18993241,0.15154953,0.03480179
-5.65182591,0.45682304,0.11882815,0.09924449,0.00351256,0.02639319,0.00087904,0.20158295,0.16321180,0.03658597
-5.64582291,0.48647420,0.12386704,0.10591591,0.00394580,0.02794389,0.00099599,0.21435081,0.17535841,0.03846655
-5.63981991,0.51823829,0.13007922,0.11280335,0.00440785,0.02974434,0.00113181,0.22804819,0.18783732,0.04040792
-5.63381691,0.55164880,0.13732683,0.11979649,0.00489436,0.03176237,0.00128730,0.24248364,0.20048870,0.04237566
-5.62781391,0.58623411,0.14547000,0.12678373,0.00540005,0.03396405,0.00146325,0.25746676,0.21314887,0.04433764
-5.62181091,0.62152782,0.15437006,0.13365452,0.00591875,0.03631429,0.00166044,0.27281289,0.22565447,0.04626490
-5.61580790,0.65707897,0.16389259,0.14030178,0.00644344,0.03877749,0.00187957,0.28834762,0.23784681,0.04813258
-5.60980490,0.69246182,0.17391029,0.14662429,0.00696643,0.04131818,0.00212126,0.30391084,0.24957619,0.04992051
-5.60380190,0.72728494,0.18430576,0.15252886,0.00747946,0.04390176,0.00238598,0.31936039,0.26070613,0.05161375
-5.59779890,0.76119933,0.19497401,0.15793245,0.00797394,0.04649520,0.00267403,0.33457513,0.27111729,0.05320285
-5.59179590,0.79390521,0.20582459,0.16276390,0.00844114,0.04906776,0.00298546,0.34945719,0.28071097,0.05468392
-5.58579290,0.82515733,0.21678346,0.16696541,0.00887246,0.05159174,0.00332005,0.36393351,0.28941204,0.05605844
-5.57978989,0.85476851,0.22779432,0.17049361,0.00925969,0.05404311,0.00367719,0.37795640,0.29717114,0.05733292
-5.57378689,0.88261126,0.23881939,0.17332018,0.00959524,0.05640210,0.00405590,0.39150318,0.30396613,0.05851827
-5.56778389,0.90861739,0.24983966,0.17543208,0.00987243,0.05865368,0.00445470,0.40457498,0.30980261,0.05962907
-5.56178089,0.93277575,0.26085443,0.17683122,0.01008571,0.06078798,0.00487162,0.41719458,0.31471361,0.06068271
-5.55577789,0.95512802,0.27188021,0.17753383,0.01023086,0.06280044,0.00530411,0.42940356,0.31875829,0.06169838
-5.54977489,0.97576289,0.28294901,0.17756927,0.01030515,0.06469193,0.00574905,0.44125873,0.32201985,0.06269611
-5.54377189,0.99480897,0.29410600,0.17697856,0.01030748,0.06646865,0.00620272,0.45282830,0.32460264,0.06369575
-5.53776888,1.01242660,0.30540665,0.17581264,0.01023841,0.06814183,0.00666081,0.46418760,0.32662863,0.06471611
-5.53176588,1.02879928,0.31691353,0.17413035,0.01010019,0.06972735,0.00711849,0.47541497,0.32823334,0.06577411
-5.52576288,1.04412487,0.32869276,0.17199637,0.00989674,0.07124520,0.00757041,0.48658773,0.32956150,0.06688422
-5.51975988,1.05860724,0.34081046,0.16947905,0.00963350,0.07271875,0.00801083,0.49777867,0.33076249,0.06805797
-5.51375688,1.07244860,0.35332918,0.16664841,0.00931733,0.07417405,0.00843374,0.50905306,0.33198584,0.06930376
-5.50775388,1.08584296,0.36630457,0.16357419,0.00895634,0.07563897,0.00883296,0.52046638,0.33337695,0.07062682
-5.50175088,1.09897090,0.37978240,0.16032415,0.00855962,0.07714232,0.00920234,0.53206288,0.33507313,0.07202942
-5.49574787,1.11199584,0.39379606,0.15696269,0.00813711,0.07871302,0.00953590,0.54387495,0.33720013,0.07351125
-5.48974487,1.12506178,0.40836462,0.15354972,0.00769929,0.08037919,0.00982803,0.55592323,0.33986929,0.07506993
-5.48374187,1.13829243,0.42349147,0.15013989,0.00725700,0.08216736,0.01007364,0.56821741,0.34317525,0.07670161
-5.47773887,1.15179158,0.43916360,0.14678212,0.00682121,0.08410167,0.01026841,0.58075756,0.34719435,0.07840168
-5.47173587,1.16564440,0.45535143,0.14351945,0.00640284,0.08620316,0.01040885,0.59353578,0.35198364,0.08016544
-5.46573287,1.17991930,0.47200921,0.14038916,0.00601261,0.08848915,0.01049250,0.60653802,0.35758051,0.08198870
-5.45972986,1.19467012,0.48907587,0.13742307,0.00566087,0.09097266,0.01051802,0.61974575,0.36400273,0.08386831
-5.45372686,1.20993815,0.50647616,0.13464804,0.00535755,0.09366192,0.01048522,0.63313753,0.37124906,0.08580255
-5.44772386,1.22575387,0.52412214,0.13208652,0.00511209,0.09656004,0.01039512,0.64669009,0.37930008,0.08779136
