energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-5.27963982,3.21397811,1.94296722,0.85599641,0.00356642,2.12157170,0.20228628,0.00061494
-5.27363682,3.29162558,1.95339466,0.88487633,0.00369008,2.17960903,0.20271104,0.00062670
-5.26763382,3.36252917,1.95984074,0.91221493,0.00381429,2.23380689,0.20248134,0.00063746
-5.26163082,3.42592678,1.96222886,0.93776380,0.00393721,2.28361058,0.20159682,0.00064713
-5.25562781,3.48109832,1.96050520,0.96128491,0.00405687,2.32848301,0.20006299,0.00065557
-5.24962481,3.52737989,1.95464043,0.98255410,0.00417129,2.36791471,0.19789108,0.00066269
-5.24362181,3.56417853,1.94463152,1.00136490,0.00427843,2.40143460,0.19509780,0.00066838
-5.23761881,3.59098692,1.93050340,1.01753228,0.00437630,2.42862100,0.19170516,0.00067254
-5.23161581,3.60739717,1.91231034,1.03089646,0.00446303,2.44911230,0.18774026,0.00067511
-5.22561281,3.61311329,1.89013698,1.04132639,0.00453687,2.46261689,0.18323500,0.00067601
-5.21960980,3.60796124,1.86409879,1.04872273,0.00459628,2.46892168,0.17822585,0.00067520
-5.21360680,3.59189635,1.83434189,1.05302032,0.00463995,2.46789892,0.17275354,0.00067265
-5.20760380,3.56500737,1.80104214,1.05418974,0.00466685,2.45951083,0.16686271,0.00066836
-5.20160080,3.52751692,1.76440357,1.05223823,0.00467625,2.44381181,0.16060153,0.00066235
-5.19559780,3.47977840,1.72465601,1.04720954,0.00466772,2.42094823,0.15402119,0.00065465
-5.18959480,3.42226927,1.68205221,1.03918306,0.00464113,2.39115565,0.14717535,0.00064531
-5.18359180,3.35558113,1.63686443,1.02827212,0.00459668,2.35475387,0.14011960,0.00063442
-5.17758879,3.28040722,1.58938080,1.01462169,0.00453482,2.31213999,0.13291069,0.00062206
-5.17158579,3.19752781,1.53990157,0.99840547,0.00445630,2.26378000,0.12560585,0.00060833
-5.16558279,3.10779442,1.48873555,0.97982284,0.00436206,2.21019930,0.11826203,0.00059336
-5.15957979,3.01211358,1.43619690,0.95909559,0.00425324,2.15197286,0.11093511,0.00057726
-5.15357679,2.91143096,1.38260252,0.93646476,0.00413114,2.08971542,0.10367914,0.00056016
-5.14757379,2.80671663,1.32827011,0.91218774,0.00399715,2.02407216,0.09654569,0.00054219
-5.14157079,2.69895189,1.27351703,0.88653570,0.00385274,1.95571046,0.08958313,0.00052349
-5.13556778,2.58911829,1.21865993,0.85979150,0.00369943,1.88531276,0.08283614,0.00050418
-5.12956478,2.47818880,1.16401515,0.83224798,0.00353875,1.81357083,0.07634527,0.00048441
-5.12356178,2.36712143,1.10989970,0.80420673,0.00337220,1.74118138,0.07014666,0.00046428
-5.11755878,2.25685484,1.05663255,0.77597711,0.00320124,1.66884284,0.06427182,0.00044394
-5.11155578,2.14830576,1.00453617,0.74787543,0.00302731,1.59725315,0.05874765,0.00042351
-5.10555278,2.04236762,0.95393779,0.72022416,0.00285175,1.52710802,0.05359649,0.00040311
-5.09954977,1.93990988,0.90517034,0.69335084,0.00267585,1.45909940,0.04883636,0.00038286
-5.09354677,1.84177731,0.85857253,0.66758658,0.00250083,1.39391366,0.04448123,0.00036288
-5.08754377,1.74878871,0.81448810,0.64326397,0.00232783,1.33222890,0.04054140,0.00034331
-5.08154077,1.66173446,0.77326382,0.62071421,0.00215791,1.27471126,0.03702389,0.00032426
-5.07553777,1.58137246,0.73524634,0.60026326,0.00199205,1.22200968,0.03393291,0.00030587
-5.06953477,1.50842219,0.70077766,0.58222718,0.00183117,1.17474911,0.03127026,0.00028827
-5.06353177,1.44355677,0.67018950,0.56690648,0.00167608,1.13352196,0.02903578,0.00027159
-5.05752876,1.38739305,0.64379654,0.55457966,0.00152754,1.09887802,0.02722767,0.00025595
-5.05152576,1.34048001,0.62188887,0.54549604,0.00138623,1.07131300,0.02584289,0.00024150
-5.04552276,1.30328587,0.60472393,0.53986831,0.00125272,1.05125606,0.02487737,0.00022835
-5.03951976,1.27618455,0.59251830,0.53786476,0.00112753,1.03905687,0.02432624,0.00021663
-5.03351676,1.25944204,0.58543972,0.53960187,0.00101109,1.03497273,0.02418399,0.00020645
-5.02751376,1.25320357,0.58359980,0.54513741,0.00090375,1.03915646,0.02444458,0.00019791
-5.02151076,1.25748233,0.58704775,0.55446452,0.00080578,1.05164570,0.02510151,0.00019110
-5.01550775,1.27215049,0.59576565,0.56750720,0.00071741,1.07235430,0.02614781,0.00018609
-5.00950475,1.29693337,0.60966540,0.58411737,0.00063878,1.10106647,0.02757613,0.00018293
-5.00350175,1.33140727,0.62858786,0.60407402,0.00057002,1.13743422,0.02937871,0.00018166
-4.99749875,1.37500159,0.65230419,0.62708457,0.00051119,1.18097851,0.03154745,0.00018227
-4.99149575,1.42700538,0.68051957,0.65278855,0.00046236,1.23109452,0.03407389,0.00018475
-4.98549275,1.48657876,0.71287935,0.68076375,0.00042357,1.28706099,0.03694933,0.00018906
-4.97948974,1.55276873,0.74897739,0.71053471,0.00039489,1.34805380,0.04016489,0.00019512
-4.97348674,1.62452945,0.78836656,0.74158333,0.00037640,1.41316333,0.04371163,0.00020284
-4.96748374,1.70074612,0.83057093,0.77336150,0.00036821,1.48141534,0.04758064,0.00021210
-4.96148074,1.78026203,0.87509923,0.80530517,0.00037049,1.55179462,0.05176317,0.00022276
-4.95547774,1.86190759,0.92145921,0.83684945,0.00038346,1.62327070,0.05625075,0.00023466
-4.94947474,1.94453039,0.96917219,0.86744423,0.00040735,1.69482461,0.06103518,0.00024763
-4.94347174,2.02702514,1.01778720,0.89656976,0.00044250,1.76547580,0.06610860,0.00026148
-4.93746873,2.10836219,1.06689410,0.92375141,0.00048924,1.83430795,0.07146337,0.00027602
-4.93146573,2.18761346,1.11613510,0.94857317,0.00054795,1.90049286,0.07709190,0.00029106
-4.92546273,2.26397460,1.16521402,0.97068928,0.00061901,1.96331109,0.08298639,0.00030640
-4.91945973,2.33678246,1.21390283,0.98983346,0.00070277,2.02216878,0.08913843,0.00032187
-4.91345673,2.40552701,1.26204522,1.00582531,0.00079957,2.07660963,0.09553851,0.00033728
-4.90745373,2.46985725,1.30955675,1.01857379,0.00090963,2.12632173,0.10217545,0.00035249
-4.90145073,2.52958077,1.35642183,1.02807736,0.00103308,2.17113889,0.10903571,0.00036737
-4.89544772,2.58465718,1.40268740,1.03442102,0.00116990,2.21103644,0.11610279,0.00038179
-4.88944472,2.63518573,1.44845376,1.03777039,0.00131988,2.24612185,0.12335649,0.00039568
-4.88344172,2.68138793,1.49386312,1.03836296,0.00148262,2.27662078,0.13077239,0.00040896
-4.87743872,2.72358608,1.53908634,1.03649725,0.00165745,2.30285921,0.13832140,0.00042159
-4.87143572,2.76217912,1.58430879,1.03252015,0.00184345,2.32524282,0.14596945,0.00043356
-4.86543272,2.79761694,1.62971611,1.02681322,0.00203943,2.34423473,0.15367755,0.00044486
-4.85942971,2.83037491,1.67548080,1.01977865,0.00224394,2.36033271,0.16140200,0.00045552
-4.85342671,2.86092976,1.72175033,1.01182543,0.00245523,2.37404730,0.16909499,0.00046558
-4.84742371,2.88973837,1.76863767,1.00335641,0.00267133,2.38588177,0.17670554,0.00047506
-4.84142071,2.91722029,1.81621471,0.99475691,0.00289006,2.39631506,0.18418063,0.00048404
-4.83541771,2.94374510,1.86450898,0.98638518,0.00310903,2.40578832,0.19146675,0.00049256
-4.82941471,2.96962476,1.91350380,0.97856513,0.00332578,2.41469566,0.19851149,0.00050068
-4.82341171,2.99511125,1.96314174,0.97158146,0.00353775,2.42337924,0.20526535,0.00050845
-4.81740870,3.02039908,2.01333105,0.96567726,0.00374242,2.43212858,0.21168353,0.00051591
-4.81140570,3.04563200,2.06395446,0.96105384,0.00393731,2.44118359,0.21772752,0.00052312
-4.80540270,3.07091300,2.11487954,0.95787260,0.00412010,2.45074077,0.22336660,0.00053009
-4.79939970,3.09631635,2.16596977,0.95625853,0.00428867,2.46096158,0.22857884,0.00053685
-4.79339670,3.12190035,2.21709521,0.95630478,0.00444116,2.47198192,0.23335172,0.00054342
-4.78739370,3.14771942,2.26814201,0.95807791,0.00457601,2.48392174,0.23768226,0.00054978
-4.78139070,3.17383428,2.31901965,0.96162313,0.00469201,2.49689365,0.24157649,0.00055593
-4.77538769,3.20031917,2.36966545,0.96696918,0.00478830,2.51100960,0.24504838,0.00056186
