energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.55326001,0.55310943,0.29734120,0.00146082,0.05629900,0.02113384,0.95749747,0.59736465,0.12278825
-5.99399700,1.50979882,0.53059722,0.28326192,0.00142192,0.05558238,0.02161789,0.92942259,0.57305184,0.12098772
-5.98799400,1.46580173,0.50808492,0.26956064,0.00137760,0.05466701,0.02206219,0.90117724,0.54753694,0.11926239
-5.98199100,1.42143270,0.48572168,0.25628449,0.00132804,0.05356400,0.02245870,0.87287295,0.52104911,0.11760333
-5.97598799,1.37683947,0.46364508,0.24346775,0.00127359,0.05228718,0.02280000,0.84460747,0.49382912,0.11599724
-5.96998499,1.33215193,0.44197883,0.23113298,0.00121474,0.05085259,0.02307936,0.81646382,0.46612422,0.11442680
-5.96398199,1.28748144,0.42083135,0.21929239,0.00115210,0.04927785,0.02329074,0.78851021,0.43818317,0.11287118
-5.95797899,1.24292139,0.40029489,0.20794937,0.00108639,0.04758169,0.02342887,0.76080074,0.41025123,0.11130684
-5.95197599,1.19854887,0.38044556,0.19710020,0.00101838,0.04578335,0.02348922,0.73337684,0.38256552,0.10970841
-5.94597299,1.15442726,0.36134395,0.18673567,0.00094888,0.04390215,0.02346815,0.70626942,0.35535077,0.10804971
-5.93996998,1.11060988,0.34303641,0.17684282,0.00087871,0.04195704,0.02336287,0.67950165,0.32881565,0.10630490
-5.93396698,1.06714423,0.32555691,0.16740647,0.00080869,0.03996625,0.02317159,0.65309218,0.30314971,0.10444964
-5.92796398,1.02407682,0.30892928,0.15841074,0.00073957,0.03794706,0.02289354,0.62705864,0.27852107,0.10246229
-5.92196098,0.98145810,0.29316967,0.14984034,0.00067206,0.03591553,0.02252905,0.60142130,0.25507475,0.10032500
-5.91595798,0.93934738,0.27828914,0.14168169,0.00060681,0.03388642,0.02207961,0.57620652,0.23293183,0.09802469
-5.90995498,0.89781716,0.26429617,0.13392379,0.00054436,0.03187312,0.02154792,0.55144983,0.21218922,0.09555396
-5.90395198,0.85695669,0.25119882,0.12655890,0.00048517,0.02988763,0.02093788,0.52719846,0.19292002,0.09291161
-5.89794897,0.81687439,0.23900652,0.11958286,0.00042959,0.02794062,0.02025461,0.50351296,0.17517446,0.09010310
-5.89194597,0.77769883,0.22773128,0.11299520,0.00037788,0.02604146,0.01950438,0.48046792,0.15898116,0.08714053
-5.88594297,0.73957813,0.21738820,0.10679895,0.00033020,0.02419836,0.01869456,0.45815145,0.14434874,0.08404251
