energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.40905608,0.02105072,0.00610708,1.01733261,0.00000000,0.00371229,1.03820750,0.49246580,0.13205025
-5.99399700,1.49073164,0.02123059,0.00661961,1.07211664,0.00000000,0.00380304,1.09869080,0.50940191,0.14071240
-5.98799400,1.56921741,0.02136991,0.00712501,1.12475108,0.00000000,0.00389056,1.15683710,0.52533411,0.14907352
-5.98199100,1.64312617,0.02146410,0.00761504,1.17429951,0.00000000,0.00397326,1.21162009,0.53995291,0.15698818
-5.97598799,1.71106678,0.02150825,0.00808131,1.21981511,0.00000000,0.00404940,1.26201038,0.55294163,0.16431085
-5.96998499,1.77168664,0.02149728,0.00851547,1.26036960,0.00000000,0.00411707,1.30700697,0.56398710,0.17090021
-5.96398199,1.82371613,0.02142639,0.00890952,1.29508372,0.00000000,0.00417435,1.34567009,0.57279128,0.17662363
-5.95797899,1.86601279,0.02129131,0.00925604,1.32315798,0.00000000,0.00421932,1.37715385,0.57908332,0.18136167
-5.95197599,1.89760342,0.02108874,0.00954845,1.34390222,0.00000000,0.00425024,1.40073748,0.58263137,0.18501223
-5.94597299,1.91772183,0.02081671,0.00978124,1.35676240,0.00000000,0.00426560,1.41585330,0.58325348,0.18749435
-5.93996998,1.92584059,0.02047481,0.00995020,1.36134341,0.00000000,0.00426421,1.42211031,0.58082710,0.18875140
-5.93396698,1.92169502,0.02006456,0.01005263,1.35742665,0.00000000,0.00424530,1.41931202,0.57529665,0.18875341
-5.92796398,1.90529835,0.01958947,0.01008741,1.34498153,0.00000000,0.00420861,1.40746780,0.56667858,0.18749860
-5.92196098,1.87694722,0.01905524,0.01005518,1.32417022,0.00000000,0.00415440,1.38679712,0.55506394,0.18501392
-5.91595798,1.83721724,0.01846965,0.00995831,1.29534561,0.00000000,0.00408350,1.35772643,0.54061812,0.18135457
-5.90995498,1.78694891,0.01784255,0.00980090,1.25904229,0.00000000,0.00399734,1.32087887,0.52357776,0.17660264
-5.90395198,1.72722456,0.01718561,0.00958873,1.21596134,0.00000000,0.00389789,1.27705738,0.50424518,0.17086476
-5.89794897,1.65933741,0.01651205,0.00932911,1.16694944,0.00000000,0.00378766,1.22722198,0.48298044,0.16426908
-5.89194597,1.58475430,0.01583628,0.00903073,1.11297350,0.00000000,0.00366963,1.17246228,0.46019150,0.15696151
-5.88594297,1.50507371,0.01517350,0.00870342,1.05509195,0.00000000,0.00354715,1.11396654,0.43632297,0.14910160
-5.87993997,1.42198096,0.01453922,0.00835794,0.99442397,0.00000000,0.00342388,1.05298857,0.41184392,0.14085808
-5.87393697,1.33720252,0.01394881,0.00800572,0.93211815,0.00000000,0.00330364,0.99081391,0.38723533,0.13240429
-5.86793397,1.25246107,0.01341702,0.00765853,0.86932165,0.00000000,0.00319034,0.92872657,0.36297766,0.12391377
-5.86193097,1.16943306,0.01295748,0.00732828,0.80715132,0.00000000,0.00308784,0.86797744,0.33953898,0.11555603
-5.85592796,1.08970999,0.01258234,0.00702666,0.74666748,0.00000000,0.00299982,0.80975557,0.31736408,0.10749266
-5.84992496,1.01476458,0.01230183,0.00676492,0.68885130,0.00000000,0.00292968,0.75516282,0.29686492,0.09987401
-5.84392196,0.94592249,0.01212399,0.00655359,0.63458635,0.00000000,0.00288044,0.70519264,0.27841249,0.09283630
-5.83791896,0.88433990,0.01205444,0.00640223,0.58464441,0.00000000,0.00285463,0.66071318,0.26233032,0.08649942
-5.83191596,0.83098722,0.01209619,0.00631923,0.53967580,0.00000000,0.00285423,0.62245475,0.24888966,0.08096521
-5.82591296,0.78663852,0.01224958,0.00631163,0.50020385,0.00000000,0.00288056,0.59100159,0.23830626,0.07631635
-5.81990995,0.75186644,0.01251231,0.00638492,0.46662335,0.00000000,0.00293429,0.56678762,0.23073858,0.07261578
-5.81390695,0.72704198,0.01287953,0.00654291,0.43920241,0.00000000,0.00301536,0.55009572,0.22628743,0.06990658
-5.80790395,0.71233839,0.01334402,0.00678763,0.41808716,0.00000000,0.00312300,0.54106022,0.22499679,0.06821222
-5.80190095,0.70773870,0.01389644,0.00711925,0.40330870,0.00000000,0.00325573,0.53967192,0.22685555,0.06753718
-5.79589795,0.71304601,0.01452564,0.00753605,0.39479175,0.00000000,0.00341136,0.54578530,0.23180013,0.06786781
-5.78989495,0.72789607,0.01521901,0.00803436,0.39236440,0.00000000,0.00358709,0.55912746,0.23971774,0.06917344
-5.78389195,0.75177151,0.01596290,0.00860867,0.39576840,0.00000000,0.00377951,0.57930834,0.25045009,0.07140763
-5.77788894,0.78401734,0.01674300,0.00925161,0.40466973,0.00000000,0.00398473,0.60583203,0.26379754,0.07450951
-5.77188594,0.82385729,0.01754477,0.00995415,0.41866892,0.00000000,0.00419844,0.63810878,0.27952348,0.07840535
-5.76588294,0.87041086,0.01835386,0.01070568,0.43731109,0.00000000,0.00441602,0.67546762,0.29735896,0.08301002
-5.75987994,0.92271065,0.01915645,0.01149426,0.46009539,0.00000000,0.00463269,0.71716939,0.31700742,0.08822870
-5.75387694,0.97972006,0.01993959,0.01230685,0.48648385,0.00000000,0.00484357,0.76242013,0.33814953,0.09395853
-5.74787394,1.04035100,0.02069148,0.01312953,0.51590959,0.00000000,0.00504386,0.81038457,0.36044816,0.10009035
-5.74187094,1.10348157,0.02140165,0.01394789,0.54778446,0.00000000,0.00522894,0.86019977,0.38355324,0.10651048
-5.73586793,1.16797362,0.02206113,0.01474728,0.58150613,0.00000000,0.00539448,0.91098875,0.40710672,0.11310252
-5.72986493,1.23268996,0.02266246,0.01551321,0.61646476,0.00000000,0.00553657,0.96187383,0.43074745,0.11974916
