energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,1.00445825,0.02818154,0.07338639,0.55516465,0.19716863,0.39064151,0.62397050,0.00000000
-5.99399700,1.05867127,0.02776283,0.08211187,0.57844428,0.21353544,0.41604819,0.65117370,0.00000000
-5.98799400,1.11844401,0.02723968,0.09147549,0.60481944,0.23123319,0.44309396,0.68168130,0.00000000
-5.98199100,1.18344340,0.02661945,0.10141288,0.63428323,0.25011973,0.47166279,0.71534797,0.00000000
-5.97598799,1.25314541,0.02591055,0.11183984,0.66672070,0.27000824,0.50158179,0.75191327,0.00000000
-5.96998499,1.32683205,0.02512228,0.12265254,0.70190292,0.29066823,0.53261877,0.79099919,0.00000000
-5.96398199,1.40359588,0.02426460,0.13372835,0.73948508,0.31182824,0.56448186,0.83211210,0.00000000
-5.95797899,1.48235251,0.02334785,0.14492758,0.77900895,0.33318039,0.59682145,0.87464965,0.00000000
-5.95197599,1.56186083,0.02238260,0.15609587,0.81990978,0.35438665,0.62923456,0.91791225,0.00000000
-5.94597299,1.64075083,0.02137935,0.16706742,0.86152780,0.37508682,0.66127171,0.96111923,0.00000000
-5.93996998,1.71755807,0.02034836,0.17766881,0.90312376,0.39490772,0.69244609,1.00342891,0.00000000
-5.93396698,1.79076375,0.01929950,0.18772341,0.94389835,0.41347364,0.72224493,1.04396214,0.00000000
-5.92796398,1.85883889,0.01824203,0.19705621,0.98301467,0.43041727,0.75014264,1.08182825,0.00000000
-5.92196098,1.92029091,0.01718452,0.20549880,1.01962304,0.44539096,0.77561532,1.11615258,0.00000000
-5.91595798,1.97371082,0.01613474,0.21289444,1.05288716,0.45807770,0.79815605,1.14610428,0.00000000
-5.90995498,2.01781892,0.01509963,0.21910298,1.08201058,0.46820143,0.81729038,1.17092345,0.00000000
-5.90395198,2.05150728,0.01408524,0.22400528,1.10626254,0.47553615,0.83259135,1.18994631,0.00000000
-5.89794897,2.07387701,0.01309675,0.22750722,1.12500185,0.47991356,0.84369346,1.20262750,0.00000000
