energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.79234767,0.03724725,0.00682163,0.01773223,0.02669564,0.07156367,0.08224715,1.48745072
-5.99399700,1.74951075,0.04100745,0.00740504,0.01844069,0.02690291,0.07556301,0.08971407,1.43033776
-5.98799400,1.72626806,0.04507690,0.00804070,0.01933140,0.02732234,0.08018948,0.09787768,1.39013745
-5.98199100,1.72118001,0.04942568,0.00872115,0.02038779,0.02794522,0.08539163,0.10666787,1.36562690
-5.97598799,1.73253342,0.05401388,0.00943744,0.02158908,0.02875695,0.09110118,0.11599365,1.35537926
-5.96998499,1.75836532,0.05879180,0.01017920,0.02291063,0.02973722,0.09723363,0.12574369,1.35778445
-5.96398199,1.79649392,0.06370055,0.01093478,0.02432436,0.03086051,0.10368946,0.13578772,1.37107485
-5.95797899,1.84455682,0.06867301,0.01169143,0.02579929,0.03209664,0.11035589,0.14597862,1.39335579
-5.95197599,1.90005568,0.07363512,0.01243561,0.02730221,0.03341156,0.11710920,0.15615533,1.42264042
-5.94597299,1.96040649,0.07850758,0.01315326,0.02879844,0.03476828,0.12381752,0.16614641,1.45688824
-5.93996998,2.02299432,0.08320771,0.01383018,0.03025266,0.03612787,0.13034415,0.17577422,1.49404634
-5.93396698,2.08523092,0.08765170,0.01445245,0.03162983,0.03745054,0.13655102,0.18485960,1.53209239
-5.92796398,2.14461352,0.09175688,0.01500678,0.03289608,0.03869684,0.14230257,0.19322679,1.56907799
-5.92196098,2.19878281,0.09544416,0.01548097,0.03401964,0.03982875,0.14746948,0.20070851,1.60317112
-5.91595798,2.24557805,0.09864035,0.01586423,0.03497171,0.04081083,0.15193248,0.20715093,1.63269608
-5.90995498,2.28308743,0.10128046,0.01614762,0.03572730,0.04161123,0.15558583,0.21241840,1.65616970
-5.90395198,2.30969156,0.10330972,0.01632422,0.03626588,0.04220261,0.15834045,0.21639760,1.67233232
-5.89794897,2.32409849,0.10468531,0.01638947,0.03657197,0.04256287,0.16012656,0.21900114,1.68017240
-5.89194597,2.32536889,0.10537770,0.01634124,0.03663556,0.04267577,0.16089567,0.22017018,1.67894383
-5.88594297,2.31293031,0.10537157,0.01617991,0.03645231,0.04253129,0.16062186,0.21987627,1.66817526
-5.87993997,2.28658015,0.10466627,0.01590835,0.03602361,0.04212579,0.15930237,0.21812205,1.64767111
-5.87393697,2.24647708,0.10327575,0.01553180,0.03535642,0.04146193,0.15695733,0.21494092,1.61750431
-5.86793397,2.19312162,0.10122802,0.01505767,0.03446292,0.04054846,0.15362880,0.21039579,1.57800112
