energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,9.19080352,1.98656410,0.00000000,2.10253126,5.48118345,0.03907662,2.23063681
-5.99399700,9.35925547,2.01551495,0.00000000,2.12519985,5.59082867,0.03869851,2.27467072
-5.98799400,9.50035844,2.03888713,0.00000000,2.14072372,5.68443387,0.03834284,2.31140400
-5.98199100,9.61124178,2.05615498,0.00000000,2.14868911,5.76021321,0.03799020,2.34009998
-5.97598799,9.68975981,2.06690983,0.00000000,2.14884111,5.81680128,0.03762514,2.36025440
-5.96998499,9.73455848,2.07087284,0.00000000,2.14109267,5.85329710,0.03723635,2.37161202
-5.96398199,9.74512208,2.06790588,0.00000000,2.12552913,5.86929703,0.03681668,2.37417570
-5.95797899,9.72179781,2.05801974,0.00000000,2.10240811,5.86491487,0.03636307,2.36820731
-5.95197599,9.66579633,2.04137892,0.00000000,2.07215430,5.84078803,0.03587629,2.35422048
-5.94597299,9.57916731,2.01830261,0.00000000,2.03534931,5.79806854,0.03536057,2.33296522
-5.93996998,9.46474993,1.98926123,0.00000000,1.99271680,5.73839888,0.03482319,2.30540500
-5.93396698,9.32609898,1.95486824,0.00000000,1.94510304,5.66387242,0.03427397,2.27268685
-5.92796398,9.16738819,1.91586727,0.00000000,1.89345378,5.57697935,0.03372477,2.23610555
-5.92196098,8.99329349,1.87311435,0.00000000,1.83878791,5.48053932,0.03318888,2.19706309
-5.91595798,8.80885931,1.82755589,0.00000000,1.78216893,5.37762249,0.03268056,2.15702470
-5.90995498,8.61935209,1.78020280,0.00000000,1.72467518,5.27146137,0.03221448,2.11747297
-5.90395198,8.43010554,1.73210152,0.00000000,1.66736986,5.16535604,0.03180531,2.07986158
-5.89794897,8.24636279,1.68430301,0.00000000,1.61127203,5.06257574,0.03146730,2.04557022
-5.89194597,8.07312047,1.63783061,0.00000000,1.55732959,4.96626013,0.03121390,2.01586213
-5.88594297,7.91498012,1.59364825,0.00000000,1.50639522,4.87932336,0.03105755,1.99184588
-5.87993997,7.77601206,1.55262991,0.00000000,1.45920630,4.80436435,0.03100937,1.97444240
-5.87393697,7.65963628,1.51553178,0.00000000,1.41636948,4.74358625,0.03107901,1.96435867
