energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.60878934,0.70161162,0.60759032,0.53392153,1.11208321,0.01485905,0.00033607
-5.99399700,2.63209445,0.70682010,0.61681188,0.53010440,1.13005187,0.01555851,0.00034288
-5.98799400,2.65310263,0.71248045,0.62637247,0.52368476,1.14838692,0.01626149,0.00034960
-5.98199100,2.67188105,0.71862512,0.63622804,0.51473207,1.16710691,0.01695895,0.00035615
-5.97598799,2.68844997,0.72524247,0.64630172,0.50337479,1.18616412,0.01764081,0.00036242
-5.96998499,2.70277054,0.73227386,0.65648278,0.48979712,1.20543794,0.01829605,0.00036829
-5.96398199,2.71473472,0.73961230,0.66662689,0.47423334,1.22473123,0.01891300,0.00037363
-5.95797899,2.72415834,0.74710317,0.67655766,0.45696015,1.24377002,0.01947964,0.00037830
-5.95197599,2.73077798,0.75454674,0.68606966,0.43828717,1.26220680,0.01998395,0.00038215
-5.94597299,2.73425213,0.76170274,0.69493274,0.41854634,1.27962753,0.02041424,0.00038504
-5.93996998,2.73416718,0.76829688,0.70289772,0.39808053,1.29556208,0.02075960,0.00038681
-5.93396698,2.73004824,0.77402899,0.70970321,0.37723217,1.30949810,0.02101025,0.00038733
-5.92796398,2.72137459,0.77858271,0.71508330,0.35633221,1.32089752,0.02115790,0.00038649
-5.92196098,2.70759938,0.78163621,0.71877601,0.33569017,1.32921538,0.02119609,0.00038418
-5.91595798,2.68817270,0.78287376,0.72053205,0.31558549,1.33391989,0.02112045,0.00038034
-5.90995498,2.66256703,0.78199735,0.72012347,0.29626075,1.33451309,0.02092886,0.00037492
-5.90395198,2.63030390,0.77873819,0.71735209,0.27791690,1.33055106,0.02062164,0.00036791
-5.89794897,2.59098034,0.77286734,0.71205705,0.26071058,1.32166272,0.02020147,0.00035934
-5.89194597,2.54429379,0.76420520,0.70412131,0.24475363,1.30756637,0.01967342,0.00034925
-5.88594297,2.49006406,0.75262917,0.69347681,0.23011463,1.28808316,0.01904476,0.00033775
