energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,5.55565977,-4.38602357,0.03325865,-0.03176202,0.56190895,-0.67469673,1.66284015,-1.56539418,0.80368132,-0.39449675,0.07107477,-0.08012466,2.48491393,-1.84618958,1.32215003,-0.63038966,0.32525769,-0.32411938
-5.99399700,5.46735669,-4.50169316,0.03191532,-0.03295626,0.54781836,-0.68922619,1.65813820,-1.58591724,0.77457248,-0.40707658,0.06866905,-0.08262255,2.45932670,-1.89944738,1.33103560,-0.65519671,0.31253799,-0.33585099
-5.98799400,5.37037968,-4.61723797,0.03077029,-0.03409997,0.53361238,-0.70198758,1.65021326,-1.60402865,0.74551694,-0.41911937,0.06639274,-0.08516947,2.42827060,-1.95508605,1.33483988,-0.68124241,0.30003111,-0.34777258
-5.98199100,5.26485494,-4.73140848,0.02982189,-0.03519025,0.51928082,-0.71289908,1.63872807,-1.61974648,0.71668844,-0.43048956,0.06426161,-0.08772443,2.39179145,-2.01246753,1.33337639,-0.70839456,0.28783226,-0.35973951
-5.97598799,5.15117839,-4.84307460,0.02906545,-0.03622814,0.50484052,-0.72192873,1.62350839,-1.63315806,0.68827390,-0.44108094,0.06228775,-0.09024911,2.35007101,-2.07095888,1.32657613,-0.73651649,0.27602932,-0.37160747
-5.96998499,5.03004177,-4.95126619,0.02849410,-0.03721891,0.49034129,-0.72909846,1.60455832,-1.64442354,0.66047802,-0.45082136,0.06048020,-0.09270907,2.30343395,-2.12995133,1.31449217,-0.76546996,0.26470333,-0.38323671
-5.96398199,4.90244934,-5.05520442,0.02809970,-0.03817228,0.47587022,-0.73448605,1.58206926,-1.65377581,0.63352677,-0.45967598,0.05884569,-0.09507470,2.25235113,-2.18887638,1.29730076,-0.79511723,0.25392933,-0.39449597
-5.95797899,4.76972363,-5.15432238,0.02787369,-0.03910231,0.46155419,-0.73822474,1.55642203,-1.66151615,0.60766934,-0.46764889,0.05738949,-0.09732194,2.19743866,-2.24721860,1.27529875,-0.82532203,0.24377746,-0.40526602
-5.95197599,4.63349888,-5.24827405,0.02780791,-0.04002720,0.44756025,-0.74050027,1.52818196,-1.66800573,0.58317843,-0.47478306,0.05611623,-0.09943272,2.13945244,-2.30452450,1.24889743,-0.85594953,0.23431423,-0.41544263
-5.94597299,4.49570167,-5.33693114,0.02789530,-0.04096884,0.43409391,-0.74154555,1.49808690,-1.67365300,0.56034846,-0.48115842,0.05503079,-0.10139507,2.07927789,-2.36040730,1.21861276,-0.88686518,0.22560383,-0.42493885
-5.93996998,4.35851822,-5.42036835,0.02813042,-0.04195209,0.42139520,-0.74163294,1.46702838,-1.67889742,0.53949189,-0.48688828,0.05413893,-0.10320302,2.01791482,-2.41454773,1.18505234,-0.91793284,0.21770918,-0.43368660
-5.93396698,4.22434892,-5.49883794,0.02850983,-0.04300402,0.40973264,-0.74106460,1.43602645,-1.68419051,0.52093343,-0.49211413,0.05344793,-0.10485618,1.95645741,-2.46669100,1.14889943,-0.94901212,0.21069278,-0.44163749
-5.92796398,4.09575084,-5.57273530,0.02903231,-0.04415282,0.39939535,-0.74016113,1.40619884,-1.68997494,0.50500247,-0.49699909,0.05296691,-0.10635907,1.89606979,-2.51664051,1.11089433,-0.97995547,0.20461703,-0.44876275
-5.92196098,3.97536959,-5.64255760,0.02969877,-0.04542669,0.39068355,-0.73924919,1.37872541,-1.69666308,0.49202385,-0.50172012,0.05270694,-0.10772034,1.83795743,-2.56424894,1.07181399,-1.01060526,0.19954407,-0.45505251
-5.91595798,3.86586267,-5.70885807,0.03051209,-0.04685258,0.38389777,-0.73864859,1.35480890,-1.70461624,0.48230746,-0.50645961,0.05268092,-0.10895175,1.78333532,-2.60940746,1.03245010,-1.04079115,0.19553497,-0.46051432
-5.90995498,3.76981653,-5.77219859,0.03147666,-0.04845491,0.37932725,-0.73865943,1.33563329,-1.71412593,0.47613690,-0.51139638,0.05290319,-0.11006714,1.73339345,-2.65203403,0.99358657,-1.07032828,0.19264838,-0.46517096
-5.90395198,3.68966015,-5.83310341,0.03259784,-0.05025430,0.37723795,-0.73955005,1.32232099,-1.72539836,0.47375787,-0.51669672,0.05338888,-0.11108127,1.68926092,-2.69206162,0.95597710,-1.09901650,0.19093843,-0.46905786
