energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,6.38378612,0.03042347,0.65457602,0.13970626,2.54608603,2.86703941,0.07848777,2.58070054
-5.99399700,6.31844241,0.02905181,0.65014477,0.13722309,2.51409759,2.85694402,0.07656937,2.55120788
-5.98799400,6.25754522,0.02772936,0.64719090,0.13476591,2.48445841,2.84855979,0.07467242,2.52243071
-5.98199100,6.20151956,0.02646286,0.64570440,0.13234879,2.45733233,2.84188950,0.07282591,2.49466583
-5.97598799,6.15053842,0.02525796,0.64562483,0.12998429,2.43274145,2.83683480,0.07105577,2.46813177
-5.96998499,6.10452998,0.02411918,0.64684314,0.12768294,2.41057437,2.83320075,0.06938429,2.44296907
-5.96398199,6.06319637,0.02304995,0.64920552,0.12545285,2.39060019,2.83070534,0.06782969,2.41924483
-5.95797899,6.02604325,0.02205267,0.65251923,0.12329934,2.37248760,2.82899367,0.06640579,2.39696106
-5.95197599,5.99241891,0.02112880,0.65656019,0.12122472,2.35582842,2.82765620,0.06512199,2.37606664
-5.94597299,5.96156119,0.02027889,0.66108185,0.11922818,2.34016410,2.82625051,0.06398330,2.35647212
-5.93996998,5.93264985,0.01950276,0.66582518,0.11730583,2.32501433,2.82432539,0.06299065,2.33806670
-5.93396698,5.90486185,0.01879955,0.67052911,0.11545087,2.30990607,2.82144619,0.06214129,2.32073627
-5.92796398,5.87742666,0.01816793,0.67494106,0.11365386,2.29440194,2.81722008,0.06142931,2.30438168
-5.92196098,5.84967861,0.01760616,0.67882699,0.11190325,2.27812618,2.81131989,0.06084630,2.28893587
-5.91595798,5.82110335,0.01711233,0.68198047,0.11018591,2.26078737,2.80350505,0.06038203,2.27437904
-5.90995498,5.79137588,0.01668443,0.68423041,0.10848779,2.24219632,2.79363848,0.06002513,2.26075073
-5.90395198,5.76038770,0.01632054,0.68544701,0.10679468,2.22227859,2.78169838,0.05976381,2.24815794
-5.89794897,5.72826156,0.01601898,0.68554564,0.10509296,2.20108076,2.76778397,0.05958644,2.23677871
-5.89194597,5.69535275,0.01577839,0.68448856,0.10337041,2.17877025,2.75211480,0.05948209,2.22686080
-5.88594297,5.66223656,0.01559785,0.68228436,0.10161689,2.15562870,2.73502362,0.05944091,2.21871527
-5.87993997,5.62968271,0.01547694,0.67898522,0.09982503,2.13203929,2.71694285,0.05945441,2.21270525
-5.87393697,5.59861779,0.01541580,0.67468223,0.09799076,2.10846861,2.69838561,0.05951555,2.20923047
-5.86793397,5.57007810,0.01541513,0.66949899,0.09611375,2.08544420,2.67992200,0.05961871,2.20870814
-5.86193097,5.54515522,0.01547613,0.66358397,0.09419770,2.06352896,2.66215226,0.05975953,2.21155146
-5.85592796,5.52493757,0.01560045,0.65710203,0.09225040,2.04329375,2.64567802,0.05993458,2.21814674
-5.84992496,5.51045125,0.01579008,0.65022566,0.09028374,2.02528974,2.63107334,0.06014106,2.22883047
-5.84392196,5.50260331,0.01604724,0.64312630,0.08831347,2.01002199,2.61885712,0.06037630,2.24386777
-5.83791896,5.50213074,0.01637412,0.63596635,0.08635886,1.99792556,2.60946832,0.06063740,2.26343314
-5.83191596,5.50955776,0.01677281,0.62889222,0.08444225,1.98934542,2.60324520,0.06092073,2.28759491
-5.82591296,5.52516351,0.01724500,0.62202865,0.08258839,1.98452101,2.60040964,0.06122168,2.31630394
-5.81990995,5.54896162,0.01779181,0.61547468,0.08082387,1.98357615,2.60105707,0.06153428,2.34938731
-5.81390695,5.58069231,0.01841357,0.60930128,0.07917629,1.98651462,2.60515225,0.06185114,2.38654720
-5.80790395,5.61982681,0.01910960,0.60355062,0.07767357,1.99322120,2.61253097,0.06216339,2.42736487
-5.80190095,5.66558334,0.01987806,0.59823699,0.07634313,2.00346802,2.62290696,0.06246078,2.47130950
-5.79589795,5.71695315,0.02071578,0.59334903,0.07521113,2.01692538,2.63588352,0.06273194,2.51775109
-5.78989495,5.77273459,0.02161809,0.58885313,0.07430173,2.03317624,2.65096877,0.06296473,2.56597687
-5.78389195,5.83157310,0.02257884,0.58469763,0.07363640,2.05173334,2.66759365,0.06314667,2.61521006
-5.77788894,5.89200449,0.02359025,0.58081742,0.07323326,2.07205784,2.68513137,0.06326553,2.66463011
-5.77188594,5.95249952,0.02464300,0.57713879,0.07310657,2.09357843,2.70291754,0.06330981,2.71339338
-5.76588294,6.01150746,0.02572631,0.57358404,0.07326623,2.11570984,2.72026982,0.06326936,2.76065347
-5.75987994,6.06749695,0.02682799,0.57007571,0.07371743,2.13787005,2.73650657,0.06313591,2.80558041
-5.75387694,6.11899312,0.02793473,0.56654022,0.07446045,2.15949543,2.75096395,0.06290354,2.84737814
-5.74787394,6.16460992,0.02903226,0.56291078,0.07549055,2.18005354,2.76301107,0.06256908,2.88529999
-5.74187094,6.20307765,0.03010568,0.55912959,0.07679800,2.19905340,2.77206328,0.06213242,2.91866208
-5.73586793,6.23326571,0.03113980,0.55514925,0.07836835,2.21605326,2.77759355,0.06159669,2.94685454
-5.72986493,6.25420109,0.03211948,0.55093353,0.08018270,2.23066617,2.77914229,0.06096832,2.96935084
-5.72386193,6.26508330,0.03303009,0.54645768,0.08221831,2.24256374,2.77632576,0.06025698,2.98571548
-5.71785893,6.26529652,0.03385787,0.54170827,0.08444919,2.25147847,2.76884339,0.05947542,2.99561035
-5.71185593,6.25441956,0.03459036,0.53668281,0.08684689,2.25720523,2.75648438,0.05863918,2.99879993
-5.70585293,6.23223426,0.03521680,0.53138930,0.08938141,2.25960221,2.73913340,0.05776624,2.99515574
-5.69984992,6.19873248,0.03572848,0.52584576,0.09202205,2.25859163,2.71677569,0.05687658,2.98465985
-5.69384692,6.15412160,0.03611904,0.52007982,0.09473843,2.25416049,2.68950123,0.05599168,2.96740764
-5.68784392,6.09882816,0.03638473,0.51412846,0.09750134,2.24636122,2.65750774,0.05513402,2.94360948
-5.68184092,6.03349891,0.03652457,0.50803773,0.10028359,2.23531214,2.62110211,0.05432647,2.91359101
