energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,3.34606555,0.01502071,0.27987511,0.77185505,0.38096943,0.69944405,0.41362015,0.03474146,1.60366282
-5.99399700,3.38836923,0.01420124,0.28272936,0.79847936,0.38663094,0.72098927,0.40944690,0.03144900,1.62987693
-5.98799400,3.44144154,0.01364667,0.28596129,0.82802217,0.39255167,0.74370990,0.40805248,0.02861991,1.66160996
-5.98199100,3.50529709,0.01336216,0.28956321,0.86063243,0.39872338,0.76748459,0.40952681,0.02625148,1.69887039
-5.97598799,3.57988031,0.01334995,0.29353036,0.89644629,0.40514614,0.79217602,0.41393854,0.02433525,1.74162382
-5.96998499,3.66504877,0.01360925,0.29786018,0.93557449,0.41182675,0.81762895,0.42133188,0.02285780,1.78978333
-5.96398199,3.76054850,0.01413614,0.30255071,0.97808741,0.41877601,0.84366736,0.43172216,0.02180133,1.84319639
-5.95797899,3.86598287,0.01492355,0.30759823,1.02399848,0.42600501,0.87009138,0.44509015,0.02114432,1.90162913
-5.95197599,3.98077729,0.01596102,0.31299437,1.07324689,0.43352051,0.89667409,0.46137567,0.02086198,1.96474912
-5.94597299,4.10414266,0.01723467,0.31872279,1.12568074,0.44131996,0.92315876,0.48047082,0.02092668,2.03210809
-5.93996998,4.23504085,0.01872703,0.32475583,1.18104177,0.44938630,0.94925711,0.50221344,0.02130828,2.10312627
-5.93396698,4.37215588,0.02041700,0.33105127,1.23895285,0.45768317,0.97464869,0.52638139,0.02197442,2.17707983
-5.92796398,4.51387398,0.02227983,0.33754970,1.29890956,0.46615074,0.99898213,0.55268830,0.02289070,2.25309334
-5.92196098,4.65827581,0.02428719,0.34417244,1.36027664,0.47470255,1.02187826,0.58078136,0.02402099,2.33013837
-5.91595798,4.80314333,0.02640738,0.35082061,1.42229036,0.48322386,1.04293544,0.61024173,0.02532761,2.40703960
-5.90995498,4.94598291,0.02860561,0.35737520,1.48406713,0.49157143,1.06173695,0.64058779,0.02677167,2.48248899
-5.90395198,5.08406551,0.03084447,0.36369845,1.54461864,0.49957515,1.07786050,0.67128174,0.02831346,2.55506836
-5.89794897,5.21448359,0.03308455,0.36963642,1.60287340,0.50704142,1.09088940,0.70173930,0.02991291,2.62328006
-5.89194597,5.33422341,0.03528512,0.37502288,1.65770393,0.51375816,1.10042504,0.73134258,0.03153022,2.68558499
-5.88594297,5.44025021,0.03740505,0.37968414,1.70795888,0.51950144,1.10610027,0.75945570,0.03312652,2.74044660
-5.87993997,5.52960304,0.03940375,0.38344480,1.75249873,0.52404324,1.10759281,0.78544256,0.03466468,2.78637921
-5.87393697,5.59949513,0.04124222,0.38613416,1.79023353,0.52716013,1.10463830,0.80868619,0.03611017,2.82199859
-5.86793397,5.64741525,0.04288413,0.38759285,1.82016120,0.52864245,1.09704218,0.82860875,0.03743200,2.84607245
-5.86193097,5.67122528,0.04429687,0.38767948,1.84140433,0.52830342,1.08468983,0.84469138,0.03860366,2.85756858
-5.85592796,5.66924922,0.04545259,0.38627692,1.85324397,0.52598782,1.06755441,0.85649290,0.03960398,2.85569818
-5.84992496,5.64034925,0.04632913,0.38329789,1.85514873,0.52157984,1.04570199,0.86366652,0.04041803,2.83995231
-5.84392196,5.58398505,0.04691072,0.37868961,1.84679771,0.51500954,1.01929361,0.86597371,0.04103781,2.81012966
-5.83791896,5.50025318,0.04718866,0.37243722,1.82809615,0.50625784,0.98858424,0.86329460,0.04146282,2.76635413
-5.83191596,5.38990474,0.04716163,0.36456584,1.79918313,0.49535949,0.95391850,0.85563434,0.04170043,2.70908137
