energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.62239480,0.05737287,0.02100098,0.46052195,0.32652954,0.14159413,0.06316050,0.72487119
-5.99399700,1.68185274,0.06179520,0.02054391,0.49447141,0.33567608,0.15608390,0.06283496,0.75495361
-5.98799400,1.74154491,0.06636548,0.02006204,0.52929801,0.34497359,0.17095500,0.06230674,0.78506660
-5.98199100,1.80073527,0.07103137,0.01955696,0.56458299,0.35428904,0.18602541,0.06158407,0.81485985
-5.97598799,1.85857220,0.07573118,0.01903045,0.59984677,0.36346506,0.20109151,0.06067769,0.84393054
-5.96998499,1.91410110,0.08039514,0.01848443,0.63455765,0.37232262,0.21593197,0.05960011,0.87182914
-5.96398199,1.96628391,0.08494697,0.01792087,0.66814361,0.38066508,0.23031285,0.05836498,0.89806845
-5.95797899,2.01402522,0.08930594,0.01734169,0.70000692,0.38828339,0.24399360,0.05698656,0.92213563
-5.95197599,2.05620426,0.09338928,0.01674875,0.72954102,0.39496247,0.25673382,0.05547920,0.94350712
-5.94597299,2.09171139,0.09711483,0.01614378,0.75614920,0.40048833,0.26830057,0.05385700,0.96166552
-5.93996998,2.11948767,0.10040377,0.01552841,0.77926414,0.40465576,0.27847600,0.05213359,0.97611811
-5.93396698,2.13856574,0.10318354,0.01490418,0.79836754,0.40727616,0.28706484,0.05032203,0.98641581
-5.92796398,2.14810990,0.10539046,0.01427260,0.81300902,0.40818522,0.29390160,0.04843476,0.99217191
-5.92196098,2.14745345,0.10697231,0.01363514,0.82282325,0.40724997,0.29885704,0.04648377,0.99307952
-5.91595798,2.13613142,0.10789044,0.01299338,0.82754460,0.40437492,0.30184372,0.04448071,0.98892688
-5.90995498,2.11390683,0.10812151,0.01234901,0.82701857,0.39950700,0.30282030,0.04243715,0.97960959
-5.90395198,2.08078916,0.10765871,0.01170392,0.82120934,0.39263885,0.30179439,0.04036476,0.96513931
-5.89794897,2.03704390,0.10651233,0.01106026,0.81020322,0.38381058,0.29882392,0.03827557,0.94564825
-5.89194597,1.98319269,0.10470984,0.01042049,0.79420766,0.37310960,0.29401682,0.03618214,0.92138920
-5.88594297,1.92000391,0.10229527,0.00978738,0.77354596,0.36066878,0.28752917,0.03409768,0.89273123
-5.87993997,1.84847409,0.09932808,0.00916404,0.74864792,0.34666276,0.27956178,0.03203609,0.86015092
-5.87393697,1.76980112,0.09588149,0.00855391,0.72003688,0.33130291,0.27035549,0.03001194,0.82421984
-5.86793397,1.68535032,0.09204039,0.00796072,0.68831371,0.31483082,0.26018515,0.02804035,0.78558866
-5.86193097,1.59661503,0.08789886,0.00738842,0.65413850,0.29751094,0.24935285,0.02613681,0.74496864
-5.85592796,1.50517346,0.08355753,0.00684114,0.61821086,0.27962251,0.23818037,0.02431689,0.70311132
-5.84992496,1.41264358,0.07912072,0.00632310,0.58124949,0.26145122,0.22700121,0.02259591,0.66078730
-5.84392196,1.32063790,0.07469362,0.00583848,0.54397191,0.24328095,0.21615251,0.02098860,0.61876484
-5.83791896,1.23071987,0.07037952,0.00539139,0.50707515,0.22538581,0.20596703,0.01950867,0.57778928
-5.83191596,1.14436335,0.06627717,0.00498570,0.47121799,0.20802301,0.19676532,0.01816844,0.53856371
-5.82591296,1.06291643,0.06247839,0.00462499,0.43700522,0.19142646,0.18884843,0.01697844,0.50173173
-5.81990995,0.98757059,0.05906594,0.00431241,0.40497448,0.17580159,0.18249106,0.01594704,0.46786259
-5.81390695,0.91933580,0.05611173,0.00405064,0.37558577,0.16132129,0.17793542,0.01508017,0.43743906
-5.80790395,0.85902181,0.05367535,0.00384176,0.34921374,0.14812311,0.17538570,0.01438101,0.41084825
-5.80190095,0.80722594,0.05180294,0.00368721,0.32614289,0.13630770,0.17500334,0.01384985,0.38837535
-5.79589795,0.76432691,0.05052639,0.00358772,0.30656541,0.12593843,0.17690304,0.01348398,0.37020027
-5.78989495,0.73048462,0.04986292,0.00354326,0.29058150,0.11704211,0.18114954,0.01327759,0.35639703
-5.78389195,0.70564523,0.04981493,0.00355301,0.27820203,0.10961063,0.18775525,0.01322190,0.34693576
-5.77788894,0.68955102,0.05037016,0.00361536,0.26935302,0.10360347,0.19667871,0.01330523,0.34168694
-5.77188594,0.68175456,0.05150213,0.00372784,0.26388199,0.09895085,0.20782404,0.01351326,0.34042782
-5.76588294,0.68163647,0.05317091,0.00388723,0.26156555,0.09555740,0.22104135,0.01382929,0.34285058
-5.75987994,0.68842624,0.05532408,0.00408954,0.26211821,0.09330626,0.23612833,0.01423462,0.34857213
-5.75387694,0.70122561,0.05789794,0.00433007,0.26520207,0.09206338,0.25283292,0.01470898,0.35714523
-5.74787394,0.71903404,0.06081904,0.00460354,0.27043724,0.09168196,0.27085734,0.01523100,0.36807082
-5.74187094,0.74077567,0.06400580,0.00490419,0.27741272,0.09200696,0.28986330,0.01577876,0.38081109
-5.73586793,0.76532740,0.06737050,0.00522592,0.28569762,0.09287952,0.30947867,0.01633035,0.39480344
-5.72986493,0.79154764,0.07082126,0.00556252,0.29485257,0.09414122,0.32930524,0.01686441,0.40947464
-5.72386193,0.81830509,0.07426434,0.00590787,0.30444107,0.09563820,0.34892775,0.01736074,0.42425537
-5.71785893,0.84450708,0.07760642,0.00625623,0.31404077,0.09722490,0.36792381,0.01780082,0.43859444
-5.71185593,0.86912707,0.08075699,0.00660253,0.32325426,0.09876760,0.38587462,0.01816835,0.45197276
-5.70585293,0.89123033,0.08363066,0.00694273,0.33171939,0.10014751,0.40237596,0.01844966,0.46391639
-5.69984992,0.90999764,0.08614952,0.00727419,0.33911887,0.10126339,0.41704943,0.01863418,0.47400864
