energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,2.50356716,0.03029554,0.14142082,1.49114856,0.49752864,0.04167616,1.48291402
-5.99399700,2.47592065,0.03177699,0.13652806,1.47182651,0.48931053,0.04299984,1.47216927
-5.98799400,2.45167383,0.03327611,0.13187506,1.45342375,0.48205496,0.04444074,1.46350884
-5.98199100,2.43173597,0.03478239,0.12755694,1.43655534,0.47601171,0.04597940,1.45742050
-5.97598799,2.41675856,0.03628405,0.12365113,1.42172172,0.47137205,0.04758972,1.45424204
-5.96998499,2.40712182,0.03776815,0.12021580,1.40929706,0.46826432,0.04923980,1.45415358
-5.96398199,2.40293200,0.03922078,0.11728922,1.39952206,0.46675182,0.05089302,1.45717614
-5.95797899,2.40402896,0.04062733,0.11488967,1.39250133,0.46683312,0.05250935,1.46317591
-5.95197599,2.41000306,0.04197277,0.11301623,1.38820495,0.46844451,0.05404695,1.47187403
-5.94597299,2.42022024,0.04324197,0.11165008,1.38647399,0.47146447,0.05546379,1.48286094
-5.93996998,2.43385399,0.04442002,0.11075637,1.38702961,0.47571989,0.05671938,1.49561487
-5.93396698,2.44992254,0.04549258,0.11028652,1.38948528,0.48099373,0.05777650,1.50952335
-5.92796398,2.46732987,0.04644622,0.11018083,1.39336181,0.48703383,0.05860277,1.52390710
-5.92196098,2.48490880,0.04726879,0.11037125,1.39810466,0.49356247,0.05917203,1.53804530
-5.91595798,2.50146475,0.04794971,0.11078425,1.40310318,0.50028647,0.05946554,1.55120146
-5.90995498,2.51581870,0.04848028,0.11134370,1.40771118,0.50690737,0.05947281,1.56264909
-5.90395198,2.52684801,0.04885393,0.11197354,1.41126851,0.51313147,0.05919208,1.57169628
-5.89794897,2.53352397,0.04906646,0.11260035,1.41312303,0.51867937,0.05863047,1.57770873
-5.89194597,2.53494499,0.04911620,0.11315550,1.41265238,0.52329481,0.05780371,1.58013041
-5.88594297,2.53036463,0.04900408,0.11357711,1.40928500,0.52675253,0.05673554,1.57850132
-5.87993997,2.51921375,0.04873370,0.11381151,1.40251978,0.52886485,0.05545672,1.57247198
-5.87393697,2.50111621,0.04831126,0.11381437,1.39194366,0.52948696,0.05400380,1.56181415
-5.86793397,2.47589782,0.04774544,0.11355138,1.37724648,0.52852068,0.05241767,1.54642754
-5.86193097,2.44358841,0.04704718,0.11299853,1.35823272,0.52591651,0.05074186,1.52634230
-5.85592796,2.40441703,0.04622941,0.11214198,1.33482935,0.52167413,0.04902087,1.50171726
-5.84992496,2.35880057,0.04530667,0.11097761,1.30708962,0.51584117,0.04729840,1.47283392
-5.84392196,2.30732632,0.04429470,0.10951022,1.27519240,0.50851040,0.04561571,1.44008646
-5.83791896,2.25072905,0.04320992,0.10775245,1.23943714,0.49981542,0.04401006,1.40396808
-5.83191596,2.18986358,0.04206898,0.10572357,1.20023444,0.48992505,0.04251343,1.36505412
-5.82591296,2.12567385,0.04088819,0.10344807,1.15809262,0.47903663,0.04115142,1.32398256
