energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.97083887,0.01356100,0.06230676,0.29783041,0.02333159,1.11159237,0.29393412,0.13657630
-5.99399700,1.95858516,0.01376103,0.06246983,0.29304568,0.02341635,1.10311348,0.28829963,0.13702728
-5.98799400,1.94201240,0.01390622,0.06255015,0.28790793,0.02340892,1.09212691,0.28223953,0.13714362
-5.98199100,1.92136766,0.01399587,0.06255374,0.28249717,0.02331216,1.07878676,0.27581628,0.13693263
-5.97598799,1.89695781,0.01403081,0.06248604,0.27689952,0.02313086,1.06328581,0.26909712,0.13640671
-5.96998499,1.86914962,0.01401339,0.06235172,0.27120671,0.02287160,1.04585567,0.26215461,0.13558335
-5.96398199,1.83836883,0.01394749,0.06215466,0.26551553,0.02254264,1.02676624,0.25506716,0.13448507
-5.95797899,1.80509817,0.01383836,0.06189796,0.25992734,0.02215371,1.00632424,0.24791933,0.13313928
-5.95197599,1.76987419,0.01369250,0.06158410,0.25454750,0.02171578,0.98487079,0.24080198,0.13157804
-5.94597299,1.73328285,0.01351754,0.06121523,0.24948485,0.02124087,0.96277798,0.23381213,0.12983779
-5.93996998,1.69595389,0.01332201,0.06079349,0.24485113,0.02074168,0.94044450,0.22705243,0.12795897
-5.93396698,1.65855406,0.01311516,0.06032148,0.24076041,0.02023144,0.91829037,0.22063040,0.12598563
-5.92796398,1.62177922,0.01290677,0.05980275,0.23732844,0.01972355,0.89675082,0.21465715,0.12396499
-5.92196098,1.58634542,0.01270696,0.05924240,0.23467201,0.01923135,0.87626946,0.20924593,0.12194690
-5.91595798,1.55297912,0.01252599,0.05864761,0.23290814,0.01876789,0.85729085,0.20451021,0.11998336
-5.90995498,1.52240648,0.01237411,0.05802825,0.23215325,0.01834568,0.84025254,0.20056156,0.11812786
-5.90395198,1.49534191,0.01226138,0.05739734,0.23252209,0.01797648,0.82557678,0.19750726,0.11643481
-5.89794897,1.47247595,0.01219757,0.05677144,0.23412654,0.01767112,0.81366201,0.19544772,0.11495879
-5.89194597,1.45446249,0.01219200,0.05617095,0.23707416,0.01743933,0.80487419,0.19447389,0.11375378
-5.88594297,1.44190567,0.01225347,0.05562021,0.24146645,0.01728957,0.79953827,0.19466450,0.11287233
-5.87993997,1.43534634,0.01239011,0.05514734,0.24739691,0.01722890,0.79792987,0.19608349,0.11236464
-5.87393697,1.43524855,0.01260934,0.05478395,0.25494875,0.01726284,0.80026739,0.19877753,0.11227756
-5.86793397,1.44198624,0.01291774,0.05456455,0.26419239,0.01739526,0.80670475,0.20277374,0.11265348
-5.86193097,1.45583053,0.01332099,0.05452579,0.27518276,0.01762826,0.81732501,0.20807780,0.11352933
-5.85592796,1.47693790,0.01382373,0.05470540,0.28795639,0.01796207,0.83213508,0.21467239,0.11493534
-5.84992496,1.50533983,0.01442952,0.05514100,0.30252848,0.01839499,0.85106176,0.22251616,0.11689401
-5.84392196,1.54093437,0.01514069,0.05586870,0.31888997,0.01892331,0.87394934,0.23154320,0.11941903
-5.83791896,1.58347988,0.01595825,0.05692166,0.33700480,0.01954131,0.90055892,0.24166312,0.12251426
-5.83191596,1.63259169,0.01688177,0.05832853,0.35680737,0.02024123,0.93056966,0.25276176,0.12617295
-5.82591296,1.68774183,0.01790928,0.06011193,0.37820046,0.02101333,0.96358201,0.26470249,0.13037707
-5.81990995,1.74826220,0.01903718,0.06228704,0.40105371,0.02184602,0.99912304,0.27732823,0.13509683
-5.81390695,1.81335138,0.02026014,0.06486031,0.42520266,0.02272594,1.03665372,0.29046406,0.14029055
-5.80790395,1.88208521,0.02157102,0.06782841,0.45044872,0.02363820,1.07557818,0.30392034,0.14590473
-5.80190095,1.95343104,0.02296085,0.07117746,0.47655993,0.02456664,1.11525475,0.31749641,0.15187450
-5.79589795,2.02626542,0.02441881,0.07488262,0.50327271,0.02549410,1.15500843,0.33098472,0.15812432
-5.78989495,2.09939512,0.02593228,0.07890802,0.53029466,0.02640283,1.19414473,0.34417520,0.16456911
-5.78389195,2.17158081,0.02748688,0.08320711,0.55730844,0.02727481,1.23196426,0.35685997,0.17111560
-5.77788894,2.24156307,0.02906667,0.08772347,0.58397662,0.02809225,1.26777799,0.36883799,0.17766406
-5.77188594,2.30808993,0.03065426,0.09239193,0.60994762,0.02883797,1.30092246,0.37991986,0.18411026
-5.76588294,2.36994531,0.03223113,0.09714013,0.63486247,0.02949586,1.33077484,0.38993228,0.19034769
-5.75987994,2.42597757,0.03377790,0.10189041,0.65836240,0.03005129,1.35676723,0.39872230,0.19626997
-5.75387694,2.47512732,0.03527470,0.10656187,0.68009701,0.03049154,1.37839986,0.40616116,0.20177333
-5.74787394,2.51645362,0.03670155,0.11107277,0.69973275,0.03080608,1.39525289,0.41214754,0.20675915
-5.74187094,2.54915786,0.03803884,0.11534284,0.71696157,0.03098690,1.40699630,0.41661022,0.21113654
-5.73586793,2.57260438,0.03926776,0.11929569,0.73150932,0.03102872,1.41339781,0.41950992,0.21482468
-5.72986493,2.58633715,0.04037078,0.12286110,0.74314368,0.03092909,1.41432838,0.42084041,0.21775507
-5.72386193,2.59009200,0.04133208,0.12597706,0.75168127,0.03068847,1.40976523,0.42062872,0.21987337
-5.71785893,2.58380364,0.04213801,0.12859155,0.75699363,0.03031014,1.39979218,0.41893444,0.22114100
-5.71185593,2.56760734,0.04277744,0.13066391,0.75901173,0.02980007,1.38459727,0.41584813,0.22153624
-5.70585293,2.54183500,0.04324206,0.13216585,0.75772900,0.02916673,1.36446776,0.41148893,0.22105480
-5.69984992,2.50700555,0.04352664,0.13308190,0.75320234,0.02842075,1.33978252,0.40600124,0.21970995
-5.69384692,2.46381009,0.04362910,0.13340943,0.74555137,0.02757460,1.31100201,0.39955079,0.21753207
-5.68784392,2.41309197,0.04355059,0.13315821,0.73495562,0.02664214,1.27865619,0.39232007,0.21456764
-5.68184092,2.35582266,0.04329541,0.13234947,0.72164990,0.02563824,1.24333067,0.38450323,0.21087778
-5.67583792,2.29307410,0.04287080,0.13101466,0.70591792,0.02457828,1.20565146,0.37630080,0.20653629
-5.66983492,2.22598843,0.04228674,0.12919381,0.68808431,0.02347776,1.16626890,0.36791415,0.20162733
-5.66383192,2.15574634,0.04155552,0.12693373,0.66850558,0.02235182,1.12584114,0.35954006,0.19624286
-5.65782891,2.08353507,0.04069141,0.12428608,0.64756005,0.02121493,1.08501779,0.35136550,0.19047981
-5.65182591,2.01051710,0.03971018,0.12130534,0.62563740,0.02008051,1.04442431,0.34356280,0.18443727
-5.64582291,1.93780077,0.03862859,0.11804694,0.60312809,0.01896070,1.00464735,0.33628537,0.17821364
-5.63981991,1.86641373,0.03746398,0.11456547,0.58041308,0.01786614,0.96622189,0.32966408,0.17190402
-5.63381691,1.79728005,0.03623377,0.11091314,0.55785431,0.01680587,0.92962019,0.32380441,0.16559778
-5.62781391,1.73120163,0.03495504,0.10713848,0.53578603,0.01578724,0.89524305,0.31878450,0.15937646
-5.62181091,1.66884450,0.03364417,0.10328542,0.51450759,0.01481598,0.86341350,0.31465407,0.15331213
-5.61580790,1.61073001,0.03231650,0.09939262,0.49427756,0.01389624,0.83437308,0.31143419,0.14746607
-5.60980490,1.55723125,0.03098612,0.09549317,0.47530953,0.01303073,0.80828063,0.30911804,0.14188806
-5.60380190,1.50857426,0.02966562,0.09161459,0.45776964,0.01222089,0.78521366,0.30767240,0.13661596
-5.59779890,1.46484391,0.02836602,0.08777909,0.44177568,0.01146710,0.76517202,0.30703997,0.13167586
-5.59179590,1.42599387,0.02709671,0.08400405,0.42739792,0.01076890,0.74808369,0.30714237,0.12708255
-5.58579290,1.39186018,0.02586539,0.08030267,0.41466139,0.01012523,0.73381248,0.30788362,0.12284036
-5.57978989,1.36217762,0.02467815,0.07668473,0.40354951,0.00953462,0.72216727,0.30915428,0.11894431
-5.57378689,1.33659847,0.02353954,0.07315742,0.39400896,0.00899544,0.71291243,0.31083568,0.11538146
-5.56778389,1.31471266,0.02245261,0.06972616,0.38595534,0.00850605,0.70577926,0.31280464,0.11213241
-5.56178089,1.29606882,0.02141910,0.06639540,0.37927975,0.00806500,0.70047776,0.31493808,0.10917294
-5.55577789,1.28019552,0.02043951,0.06316929,0.37385565,0.00767116,0.69670882,0.31711771,0.10647560
-5.54977489,1.26662206,0.01951326,0.06005233,0.36954610,0.00732378,0.69417606,0.31923453,0.10401137
-5.54377189,1.25489822,0.01863885,0.05704981,0.36621087,0.00702263,0.69259728,0.32119312,0.10175117
-5.53776888,1.24461251,0.01781397,0.05416820,0.36371334,0.00676796,0.69171512,0.32291540,0.09966728
-5.53176588,1.23540825,0.01703572,0.05141535,0.36192683,0.00656056,0.69130652,0.32434394,0.09773461
-5.52576288,1.22699734,0.01630070,0.04880060,0.36074027,0.00640169,0.69119087,0.32544469,0.09593177
-5.51975988,1.21917097,0.01560525,0.04633474,0.36006283,0.00629308,0.69123650,0.32620883,0.09424192
-5.51375688,1.21180728,0.01494556,0.04402991,0.35982749,0.00623684,0.69136523,0.32665388,0.09265346
-5.50775388,1.20487556,0.01431790,0.04189940,0.35999331,0.00623535,0.69155499,0.32682398,0.09116037
-5.50175088,1.19843685,0.01371877,0.03995734,0.36054631,0.00629120,0.69184022,0.32678912,0.08976242
-5.49574787,1.19264106,0.01314506,0.03821838,0.36149896,0.00640701,0.69231010,0.32664357,0.08846510
-5.48974487,1.18772044,0.01259425,0.03669734,0.36288821,0.00658539,0.69310466,0.32650341,0.08727927
-5.48374187,1.18397991,0.01206454,0.03540879,0.36477231,0.00682876,0.69440887,0.32650331,0.08622070
-5.47773887,1.18178440,0.01155495,0.03436668,0.36722629,0.00713922,0.69644485,0.32679256,0.08530933
-5.47173587,1.18154374,0.01106546,0.03358393,0.37033664,0.00751848,0.69946268,0.32753078,0.08456845
-5.46573287,1.18369584,0.01059705,0.03307205,0.37419515,0.00796769,0.70372998,0.32888314,0.08402366
-5.45972986,1.18868863,0.01015173,0.03284082,0.37889252,0.00848739,0.70952088,0.33101565,0.08370185
-5.45372686,1.19696173,0.00973252,0.03289800,0.38451180,0.00907739,0.71710471,0.33409047,0.08363010
-5.44772386,1.20892858,0.00934335,0.03324909,0.39112229,0.00973674,0.72673498,0.33826158,0.08383459
-5.44172086,1.22495967,0.00898901,0.03389714,0.39877400,0.01046370,0.73863909,0.34367100,0.08433956
-5.43571786,1.24536778,0.00867497,0.03484264,0.40749311,0.01125567,0.75300920,0.35044563,0.08516640
-5.42971486,1.27039561,0.00840714,0.03608354,0.41727874,0.01210927,0.76999469,0.35869486,0.08633280
-5.42371186,1.30020633,0.00819171,0.03761522,0.42810102,0.01302033,0.78969628,0.36850901,0.08785214
