energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-2.27213607,7.65628262,0.31108529,0.00000000,3.71812255,4.87857610,0.09722527,2.25039325
-2.26613307,7.83794625,0.31821881,0.00000000,3.84949592,4.94213645,0.10251942,2.34646053
-2.26013007,8.02391002,0.32591393,0.00000000,3.98010144,5.00915775,0.10836750,2.44295021
-2.25412706,8.21247885,0.33413255,0.00000000,4.10897310,5.07869123,0.11480202,2.53917044
-2.24812406,8.40199119,0.34282980,0.00000000,4.23518717,5.14980173,0.12184862,2.63444773
-2.24212106,8.59086698,0.35195472,0.00000000,4.35788583,5.22159952,0.12952464,2.72814269
-2.23611806,8.77764695,0.36145086,0.00000000,4.47629535,5.29326649,0.13783780,2.81966308
-2.23011506,8.96102137,0.37125647,0.00000000,4.58973759,5.36407578,0.14678503,2.90847385
-2.22411206,9.13984707,0.38130457,0.00000000,4.69763425,5.43340393,0.15635144,2.99410324
-2.21810905,9.31315221,0.39152268,0.00000000,4.79950366,5.50073554,0.16650954,3.07614511
-2.21210605,9.48012906,0.40183241,0.00000000,4.89495044,5.56566026,0.17721881,3.15425719
-2.20610305,9.64011582,0.41214903,0.00000000,4.98364899,5.62786292,0.18842545,3.22815577
-2.20010005,9.79256914,0.42238092,0.00000000,5.06532225,5.68710754,0.20006267,3.29760725
-2.19409705,9.93702970,0.43242921,0.00000000,5.13971749,5.74321665,0.21205122,3.36241750
-2.18809405,10.07308365,0.44218756,0.00000000,5.20658139,5.79604713,0.22430046,3.42241999
-2.18209105,10.20032292,0.45154228,0.00000000,5.26563651,5.84546469,0.23670975,3.47746365
-2.17608804,10.31830762,0.46037288,0.00000000,5.31656155,5.89131828,0.24917026,3.52740193
-2.17008504,10.42653374,0.46855301,0.00000000,5.35897746,5.93341663,0.26156724,3.57208378
-2.16408204,10.52440867,0.47595198,0.00000000,5.39244088,5.97150830,0.27378247,3.61134786
-2.15807904,10.61123707,0.48243683,0.00000000,5.41644637,6.00526678,0.28569700,3.64502037
-2.15207604,10.68621852,0.48787486,0.00000000,5.43043772,6.03428191,0.29719415,3.67291721
-2.14607304,10.74845780,0.49213668,0.00000000,5.43382833,6.05805816,0.30816240,3.69485040
-2.14007004,10.79698761,0.49509963,0.00000000,5.42602974,6.07602045,0.31849830,3.71063851
-2.13406703,10.83080292,0.49665146,0.00000000,5.40648672,6.08752710,0.32810926,3.72012061
-2.12806403,10.84890478,0.49669408,0.00000000,5.37471697,6.09188957,0.33691590,3.72317262
-2.12206103,10.85035131,0.49514733,0.00000000,5.33035258,6.08839785,0.34485413,3.71972502
-2.11605803,10.83431243,0.49195247,0.00000000,5.27318082,6.07635024,0.35187665,3.70978047
-2.11005503,10.80012481,0.48707521,0.00000000,5.20318096,6.05508567,0.35795386,3.69343003
-2.10405203,10.74734342,0.48050823,0.00000000,5.12055476,6.02401677,0.36307413,3.67086635
-2.09804902,10.67578603,0.47227288,0.00000000,5.02574799,5.98266178,0.36724346,3.64239283
-2.09204602,10.58556734,0.46242004,0.00000000,4.91946128,5.93067321,0.37048440,3.60842750
-2.08604302,10.47712040,0.45103003,0.00000000,4.80264894,5.86786170,0.37283435,3.56950106
-2.08004002,10.35120315,0.43821154,0.00000000,4.67650552,5.79421348,0.37434336,3.52624863
-2.07403702,10.20888959,0.42409954,0.00000000,4.54244018,5.70990047,0.37507141,3.47939542
-2.06803402,10.05154526,0.40885232,0.00000000,4.40204020,5.61528245,0.37508537,3.42973668
-2.06203102,9.88078848,0.39264771,0.00000000,4.25702512,5.51090096,0.37445579,3.37811287
-2.05602801,9.69843916,0.37567856,0.00000000,4.10919418,5.39746568,0.37325366,3.32538138
-2.05002501,9.50645807,0.35814786,0.00000000,3.96036939,5.27583378,0.37154724,3.27238599
-2.04402201,9.30687982,0.34026350,0.00000000,3.81233749,5.14698365,0.36939923,3.21992604
-2.03801901,9.10174352,0.32223295,0.00000000,3.66679350,5.01198455,0.36686438,3.16872674
-2.03201601,8.89302467,0.30425818,0.00000000,3.52528880,4.87196379,0.36398758,3.11941239
-2.02601301,8.68257220,0.28653082,0.00000000,3.38918608,4.72807332,0.36080269,3.07248386
-2.02001001,8.47205384,0.26922796,0.00000000,3.25962320,4.58145734,0.35733198,3.02830175
-2.01400700,8.26291248,0.25250853,0.00000000,3.13748733,4.43322266,0.35358642,2.98707586
-2.00800400,8.05633557,0.23651058,0.00000000,3.02340010,4.28441294,0.34956657,2.94886166
-2.00200100,7.85323860,0.22134931,0.00000000,2.91771403,4.13598789,0.34526423,2.91356387
-1.99599800,7.65426288,0.20711604,0.00000000,2.82051966,3.98880800,0.34066462,2.88094684
-1.98999500,7.45978697,0.19387806,0.00000000,2.73166250,3.84362503,0.33574902,2.85065102
-1.98399200,7.26995042,0.18167926,0.00000000,2.65076831,3.70107813,0.33049774,2.82221475
-1.97798899,7.08468782,0.17054147,0.00000000,2.57727507,3.56169526,0.32489323,2.79510002
-1.97198599,6.90377054,0.16046644,0.00000000,2.51046967,3.42589895,0.31892315,2.76872094
-1.96598299,6.72685364,0.15143824,0.00000000,2.44952742,3.29401582,0.31258328,2.74247345
-1.95997999,6.55352490,0.14342610,0.00000000,2.39355248,3.16628869,0.30588008,2.71576489
-1.95397699,6.38335335,0.13638729,0.00000000,2.34161746,3.04289026,0.29883272,2.68804204
-1.94797399,6.21593480,0.13027020,0.00000000,2.29280072,2.92393748,0.29147462,2.65881652
-1.94197099,6.05093218,0.12501722,0.00000000,2.24622007,2.80950567,0.28385416,2.62768657
-1.93596798,5.88810900,0.12056754,0.00000000,2.20106208,2.69964157,0.27603484,2.59435433
-1.92996498,5.72735471,0.11685959,0.00000000,2.15660637,2.59437482,0.26809450,2.55863828
-1.92396198,5.56870135,0.11383313,0.00000000,2.11224437,2.49372734,0.26012400,2.52048042
-1.91795898,5.41233093,0.11143099,0.00000000,2.06749275,2.39772034,0.25222510,2.47994821
-1.91195598,5.25857392,0.10960025,0.00000000,2.02200145,2.30637883,0.24450783,2.43723136
-1.90595298,5.10789926,0.10829309,0.00000000,1.97555652,2.21973362,0.23708727,2.39263380
-1.89994997,4.96089648,0.10746708,0.00000000,1.92807835,2.13782087,0.23008007,2.34656126
-1.89394697,4.81825123,0.10708508,0.00000000,1.87961547,2.06067935,0.22360061,2.29950498
-1.88794397,4.68071494,0.10711473,0.00000000,1.83033457,1.98834573,0.21775714,2.25202219
-1.88194097,4.54907032,0.10752761,0.00000000,1.78050711,1.92084819,0.21264789,2.20471408
