energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.40708212,0.01553378,0.22529349,1.76478282,0.45069520,0.11057331,3.01810516,0.49409285,0.42904649
-5.99399700,5.42300322,0.01539053,0.23892782,1.75700372,0.45394848,0.11033064,3.00823105,0.50143285,0.45295779
-5.98799400,5.43470583,0.01517581,0.25468235,1.74409673,0.45687141,0.11001568,2.99216674,0.50918227,0.47965357
-5.98199100,5.44261622,0.01489091,0.27262997,1.72625875,0.45950216,0.10962447,2.97010905,0.51738096,0.50921858
-5.97598799,5.44734785,0.01453878,0.29280390,1.70380664,0.46189723,0.10915774,2.94244016,0.52608199,0.54169010
-5.96998499,5.44966400,0.01412387,0.31519338,1.67716727,0.46412745,0.10862032,2.90970960,0.53534752,0.57705050
-5.96398199,5.45042699,0.01365205,0.33974013,1.64686183,0.46627277,0.10802024,2.87260671,0.54524341,0.61522039
-5.95797899,5.45053715,0.01313039,0.36633553,1.61348516,0.46841605,0.10736763,2.83192494,0.55583261,0.65605248
-5.95197599,5.45086543,0.01256693,0.39481898,1.57768136,0.47063635,0.10667341,2.78852051,0.56716790,0.69932683
-5.94597299,5.45218421,0.01197043,0.42497734,1.54011712,0.47300211,0.10594796,2.74326784,0.57928433,0.74474773
-5.93996998,5.45510106,0.01135009,0.45654582,1.50145432,0.47556474,0.10519987,2.69701469,0.59219187,0.79194257
-5.93396698,5.45999997,0.01071524,0.48921021,1.46232344,0.47835294,0.10443480,2.65053961,0.60586870,0.84046316
-5.92796398,5.46699424,0.01007510,0.52261081,1.42329937,0.48136830,0.10365464,2.60451442,0.62025576,0.88978957
-5.92196098,5.47589445,0.00943853,0.55634783,1.38488083,0.48458244,0.10285694,2.55947380,0.63525275,0.93933676
-5.91595798,5.48619394,0.00881380,0.58998830,1.34747452,0.48793582,0.10203474,2.51579369,0.65071608,0.98846402
-5.90995498,5.49707308,0.00820839,0.62307454,1.31138461,0.49133848,0.10117672,2.47367951,0.66645901,1.03648707
-5.90395198,5.50742245,0.00762891,0.65513376,1.27680805,0.49467258,0.10026772,2.43316474,0.68225396,1.08269257
-5.89794897,5.51588377,0.00708096,0.68568885,1.24383552,0.49779668,0.09928964,2.39411932,0.69783717,1.12635487
-5.89194597,5.52090632,0.00656910,0.71426975,1.21245783,0.50055144,0.09822251,2.35626721,0.71291549,1.16675417
-5.88594297,5.52081567,0.00609686,0.74042540,1.18257689,0.50276647,0.09704578,2.31921153,0.72717506,1.20319586
-5.87993997,5.51389080,0.00566673,0.76373562,1.15402054,0.50426797,0.09573972,2.28246540,0.74029156,1.23503015
-5.87393697,5.49844520,0.00528029,0.78382259,1.12655987,0.50488655,0.09428675,2.24548651,0.75194162,1.26167129
-5.86793397,5.47290745,0.00493823,0.80036163,1.09992821,0.50446498,0.09267273,2.20771293,0.76181481,1.28261572
-5.86193097,5.43589680,0.00464048,0.81309066,1.07384016,0.50286534,0.09088802,2.16859820,0.76962571,1.29745838
-5.85592796,5.38628995,0.00438632,0.82181821,1.04801002,0.49997518,0.08892831,2.12764349,0.77512554,1.30590650
-5.84992496,5.32327547,0.00417446,0.82642948,1.02216817,0.49571245,0.08679515,2.08442526,0.77811277,1.30779030
-5.84392196,5.24639351,0.00400319,0.82689025,0.99607510,0.49002887,0.08449613,2.03861702,0.77844214,1.30307016
-5.83791896,5.15555915,0.00387045,0.82324847,0.96953208,0.48291178,0.08204473,1.99000438,0.77603192,1.29183987
-5.83191596,5.05106884,0.00377393,0.81563354,0.94238856,0.47438429,0.07945985,1.93849309,0.77086869,1.27432585
-5.82591296,4.93359027,0.00371111,0.80425307,0.91454601,0.46450387,0.07676513,1.88411001,0.76300986,1.25088234
-5.81990995,4.80413703,0.00367938,0.78938744,0.88595846,0.45335963,0.07398793,1.82699779,0.75258341,1.22198258
-5.81390695,4.66403000,0.00367604,0.77138220,0.85663005,0.44106838,0.07115825,1.76740392,0.73978515,1.18820656
-5.80790395,4.51484812,0.00369837,0.75063875,0.82661016,0.42776985,0.06830757,1.70566545,0.72487348,1.15022549
-5.80190095,4.35837147,0.00374365,0.72760341,0.79598669,0.41362140,0.06546763,1.64219065,0.70816192,1.10878380
-5.79589795,4.19651990,0.00380918,0.70275551,0.76487819,0.39879250,0.06266931,1.57743900,0.69000976,1.06467921
-5.78989495,4.03129028,0.00389229,0.67659477,0.73342537,0.38345932,0.05994163,1.51190087,0.67081114,1.01874158
-5.78389195,3.86469520,0.00399038,0.64962843,0.70178275,0.36779968,0.05731092,1.44607801,0.65098310,0.97181142
-5.77788894,3.69870592,0.00410091,0.62235864,0.67011090,0.35198864,0.05480024,1.38046605,0.63095302,0.92471856
-5.77188594,3.53520133,0.00422143,0.59527037,0.63856961,0.33619482,0.05242889,1.31553961,0.61114593,0.87826192
-5.76588294,3.37592481,0.00434956,0.56882035,0.60731240,0.32057767,0.05021235,1.25174063,0.59197220,0.83319083
-5.75987994,3.22244971,0.00448302,0.54342724,0.57648242,0.30528553,0.04816223,1.18947014,0.57381594,0.79018853
-5.75387694,3.07615406,0.00461962,0.51946332,0.54620982,0.29045476,0.04628657,1.12908348,0.55702464,0.74985822
