energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.27690327,-1.10842381,0.25272313,-0.40503689,0.29191153,-0.07437183,0.00069399,-0.00041928,0.07194535,-0.11206303,0.24362202,-0.25930346,0.18204581,-0.16245390,0.00824307,-0.00971029,0.60385642,-0.53145180
-5.99399700,1.30228381,-1.17933201,0.25990090,-0.42522469,0.29887447,-0.07948866,0.00067785,-0.00040130,0.07485618,-0.11681652,0.24860206,-0.27872458,0.18815755,-0.17260116,0.00822658,-0.01026624,0.61431815,-0.56850470
-5.98799400,1.33423804,-1.24871836,0.26951402,-0.44397932,0.30682041,-0.08450200,0.00066795,-0.00038845,0.07848600,-0.12105966,0.25506524,-0.29809328,0.19556929,-0.18266963,0.00820424,-0.01082051,0.62756025,-0.60523188
-5.98199100,1.37247619,-1.31565121,0.28151878,-0.46105584,0.31573783,-0.08934518,0.00066420,-0.00037937,0.08285439,-0.12472707,0.26290155,-0.31715837,0.20422029,-0.19251645,0.00817155,-0.01136088,0.64339192,-0.64115327
-5.97598799,1.41662519,-1.37922699,0.29582538,-0.47623623,0.32561643,-0.09395261,0.00066639,-0.00037287,0.08797683,-0.12776377,0.27197951,-0.33566262,0.21402591,-0.20200570,0.00812467,-0.01187569,0.66157791,-0.67579313
-5.96998499,1.46622926,-1.43859043,0.31229533,-0.48933492,0.33644750,-0.09826133,0.00067422,-0.00036793,0.09386402,-0.13012659,0.28214707,-0.35334808,0.22487755,-0.21101133,0.00806057,-0.01235408,0.68183961,-0.70869071
-5.96398199,1.52075185,-1.49295480,0.33074032,-0.50020347,0.34822395,-0.10221264,0.00068726,-0.00036371,0.10052128,-0.13178530,0.29323273,-0.36996206,0.23664315,-0.21942012,0.00797707,-0.01278617,0.70385694,-0.73941114
-5.95797899,1.57957988,-1.54162135,0.35092266,-0.50873426,0.36094017,-0.10575362,0.00070496,-0.00035955,0.10794809,-0.13272327,0.30504729,-0.38526331,0.24916845,-0.22713447,0.00787288,-0.01316324,0.72727137,-0.76755635
-5.95197599,1.64203052,-1.58399730,0.37255763,-0.51486312,0.37459174,-0.10883862,0.00072669,-0.00035491,0.11613787,-0.13293783,0.31738602,-0.39902845,0.26227918,-0.23407486,0.00774761,-0.01347796,0.75169030,-0.79277556
-5.94597299,1.70736108,-1.61961165,0.39531771,-0.51857072,0.38917525,-0.11143055,0.00075171,-0.00034943,0.12507810,-0.13244008,0.33003166,-0.41105829,0.27578396,-0.24018201,0.00760168,-0.01372446,0.77669280,-0.81477497
-5.93996998,1.77478220,-1.64812825,0.41883887,-0.51988276,0.40468818,-0.11350195,0.00077923,-0.00034283,0.13475068,-0.13125441,0.34275803,-0.42118377,0.28947812,-0.24541860,0.00743632,-0.01389849,0.80183700,-0.83332616
-5.93396698,1.84347431,-1.66935547,0.44272865,-0.51886891,0.42112906,-0.11503582,0.00080837,-0.00033499,0.14513275,-0.12941753,0.35533433,-0.42927142,0.30314832,-0.24977043,0.00725344,-0.01399745,0.82666888,-0.84827300
-5.92796398,1.91260724,-1.68325212,0.46657606,-0.51564058,0.43849788,-0.11602618,0.00083826,-0.00032586,0.15619778,-0.12697724,0.36753013,-0.43522793,0.31657776,-0.25324702,0.00705555,-0.01402045,0.85073237,-0.85953657
