energy_ev,total_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.99119501,0.23121407,0.09107303,2.51872931,2.64129041,0.16193072,0.29397779,0.05007525,3.55452901
-5.99399700,6.95713580,0.23378869,0.09090647,2.48598590,2.62048659,0.16287824,0.30352505,0.05033519,3.51411561
-5.98799400,6.90468327,0.23632379,0.09052391,2.44873965,2.59270663,0.16284015,0.31304430,0.05048366,3.46400888
-5.98199100,6.83508846,0.23872551,0.08996206,2.40760227,2.55856080,0.16180506,0.32260181,0.05052078,3.40486239
-5.97598799,6.75002486,0.24091138,0.08926088,2.36325606,2.51883782,0.15978238,0.33228991,0.05044957,3.33750501
-5.96998499,6.65152886,0.24281202,0.08846217,2.31642962,2.47447800,0.15680211,0.34222304,0.05027578,3.26291196
-5.96398199,6.54192742,0.24437220,0.08760821,2.26787232,2.42654119,0.15291405,0.35253211,0.05000760,3.18217245
-5.95797899,6.42375569,0.24555116,0.08674023,2.21832887,2.37617050,0.14818628,0.36335724,0.04965526,3.09645502
-5.95197599,6.29966754,0.24632233,0.08589710,2.16851493,2.32455307,0.14270302,0.37483924,0.04923058,3.00697182
-5.94597299,6.17234266,0.24667262,0.08511388,2.11909476,2.27287926,0.13656206,0.38711015,0.04874642,2.91494333
-5.93996998,6.04439403,0.24660116,0.08442071,2.07066177,2.22230186,0.12987174,0.40028345,0.04821614,2.82156461
-5.93396698,5.91827958,0.24611780,0.08384167,2.02372279,2.17389708,0.12274774,0.41444436,0.04765305,2.72797425
-5.92796398,5.79622190,0.24524141,0.08339404,1.97868638,2.12862882,0.11530977,0.42964086,0.04706989,2.63522732
-5.92196098,5.68013966,0.24399804,0.08308766,1.93585592,2.08731803,0.10767825,0.44587603,0.04647835,2.54427293
-5.91595798,5.57159376,0.24241923,0.08292469,1.89542725,2.05061842,0.09997125,0.46310212,0.04588868,2.45593735
-5.90995498,5.47175076,0.24054029,0.08289957,1.85749121,2.01899986,0.09230165,0.48121704,0.04530937,2.37091303
-5.90395198,5.38136530,0.23839898,0.08299936,1.82204066,1.99274017,0.08477475,0.50006338,0.04474701,2.28975382
