energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.77718477,0.38738897,1.38592329,0.00555700,0.20722811,0.99206371,1.91416978,0.01926607,0.25876455
-5.99399700,3.77214717,0.39106481,1.37665394,0.00528897,0.21063187,1.01806198,1.91403730,0.01864289,0.25803935
-5.98799400,3.76000232,0.39358647,1.36601326,0.00500468,0.21383251,1.04357413,1.90897691,0.01793944,0.25636320
-5.98199100,3.74185782,0.39503837,1.35467425,0.00470910,0.21685859,1.06868188,1.89930167,0.01716825,0.25381624
-5.97598799,3.71891013,0.39552948,1.34331984,0.00440709,0.21974164,1.09349063,1.88539140,0.01634262,0.25049595
-5.96998499,3.69239628,0.39518731,1.33261716,0.00410328,0.22251333,1.11811459,1.86767798,0.01547620,0.24651339
-5.96398199,3.66354544,0.39415144,1.32319285,0.00380195,0.22520252,1.14266125,1.84662943,0.01458269,0.24198910
-5.95797899,3.63353256,0.39256695,1.31561050,0.00350696,0.22783249,1.16721597,1.82273347,0.01367548,0.23704891
-5.95197599,3.60343596,0.39057821,1.31035092,0.00322162,0.23041841,1.19182778,1.79648149,0.01276739,0.23181979
-5.94597299,3.57420070,0.38832322,1.30779601,0.00294872,0.23296524,1.21649694,1.76835353,0.01187042,0.22642601
-5.93996998,3.54660913,0.38592892,1.30821672,0.00269046,0.23546625,1.24116531,1.73880496,0.01099552,0.22098567
-5.93396698,3.52125987,0.38350759,1.31176545,0.00244848,0.23790218,1.26570998,1.70825540,0.01015249,0.21560779
-5.92796398,3.49855571,0.38115454,1.31847297,0.00222385,0.24024117,1.28994081,1.67708028,0.00934983,0.21039008
-5.92196098,3.47870094,0.37894720,1.32825003,0.00201714,0.24243945,1.31360193,1.64560534,0.00859476,0.20541736
-5.91595798,3.46170771,0.37694557,1.34089328,0.00182846,0.24444277,1.33637747,1.61410408,0.00789320,0.20076080
-5.90995498,3.44741103,0.37519380,1.35609538,0.00165754,0.24618857,1.35790120,1.58279814,0.00724983,0.19647784
-5.90395198,3.43549145,0.37372299,1.37345873,0.00150378,0.24760867,1.37776968,1.55186039,0.00666819,0.19261270
-5.89794897,3.42550409,0.37255464,1.39251226,0.00136632,0.24863242,1.39555835,1.52142031,0.00615079,0.18919761
-5.89194597,3.41691265,0.37170472,1.41273082,0.00124414,0.24919017,1.41083961,1.49157135,0.00569924,0.18625436
-5.88594297,3.40912673,0.37118785,1.43355627,0.00113610,0.24921681,1.42320225,1.46237956,0.00531441,0.18379625
-5.87993997,3.40154058,0.37102138,1.45441960,0.00104104,0.24865522,1.43227085,1.43389307,0.00499658,0.18183019
-5.87393697,3.39357176,0.37122891,1.47476338,0.00095776,0.24745948,1.43772443,1.40615176,0.00474553,0.18035886
-5.86793397,3.38469778,0.37184315,1.49406363,0.00088516,0.24559768,1.43931322,1.37919647,0.00456068,0.17938274
