energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up
-6.00000000,7.82115590,0.10249678,1.20485138,2.22322064,1.43251948,0.56506680,0.43539096,0.10600965,2.28771453
-5.99399700,7.79655248,0.10221369,1.21039327,2.26881002,1.43030781,0.55036799,0.43265787,0.10545616,2.27003638
-5.98799400,7.75945531,0.10162987,1.21297322,2.30934557,1.42445083,0.53476599,0.42931414,0.10476845,2.25042830
-5.98199100,7.70882359,0.10075309,1.21241632,2.34416261,1.41488295,0.51829958,0.42530452,0.10393118,2.22857078
-5.97598799,7.64396034,0.09959777,1.20860905,2.37270550,1.40161271,0.50103977,0.42059157,0.10293159,2.20422850
-5.96998499,7.56453871,0.09818462,1.20150051,2.39453492,1.38472343,0.48308737,0.41515776,0.10176040,2.17726312
-5.96398199,7.47061613,0.09654030,1.19110213,2.40933143,1.36437234,0.46456970,0.40900683,0.10041251,2.14764222
-5.95797899,7.36263674,0.09469687,1.17748572,2.41689596,1.34078814,0.44563635,0.40216448,0.09888758,2.11544433
-5.95197599,7.24142267,0.09269124,1.16078032,2.41714758,1.31426713,0.42645460,0.39467830,0.09719043,2.08085993
-5.94597299,7.10815498,0.09056447,1.14116794,2.41011919,1.28516816,0.40720456,0.38661709,0.09533121,2.04418855
-5.93996998,6.96434555,0.08836111,1.11887851,2.39595161,1.25390640,0.38807428,0.37806956,0.09332540,2.00583228
-5.93396698,6.81180093,0.08612845,1.09418417,2.37488654,1.22094610,0.36925526,0.36914250,0.09119364,1.96628592
-5.92796398,6.65257945,0.08391569,1.06739314,2.34725881,1.18679240,0.35093821,0.35995848,0.08896133,1.92612423
-5.92196098,6.48894295,0.08177321,1.03884326,2.31348817,1.15198228,0.33330946,0.35065319,0.08665813,1.88598681
-5.91595798,6.32330418,0.07975166,1.00889532,2.27407068,1.11707470,0.31654794,0.34137249,0.08431727,1.84656096
-5.90995498,6.15817104,0.07790111,0.97792627,2.22956991,1.08264017,0.30082276,0.33226922,0.08197475,1.80856311
-5.90395198,5.99608889,0.07627017,0.94632233,2.18060754,1.04924959,0.28629139,0.32349987,0.07966853,1.77271930
-5.89794897,5.83958176,0.07490501,0.91447214,2.12785365,1.01746289,0.27309832,0.31522110,0.07743758,1.73974519
-5.89194597,5.69109377,0.07384845,0.88275983,2.07201618,0.98781733,0.26137417,0.30758630,0.07532088,1.71032601
-5.88594297,5.55293158,0.07313899,0.85155824,2.01382958,0.96081594,0.25123503,0.30074205,0.07335652,1.68509699
-5.87993997,5.42720915,0.07280991,0.82122232,1.95404262,0.93691624,0.24278197,0.29482472,0.07158070,1.66462465
-5.87393697,5.31579598,0.07288830,0.79208271,1.89340532,0.91651958,0.23610065,0.28995709,0.07002678,1.64938940
-5.86793397,5.22027001,0.07339428,0.76443976,1.83265517,0.89996154,0.23126074,0.28624515,0.06872443,1.63976998
-5.86193097,5.14187644,0.07434025,0.73855813,1.77250291,0.88750353,0.22831533,0.28377513,0.06769879,1.63603001
