energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,9.95832252,2.74541707,7.62130274,0.02968184,0.78117376,0.89772250,0.00000000
-5.99399700,9.89385433,2.73398897,7.57569614,0.02970497,0.76857371,0.89754750,0.00000000
-5.98799400,9.79731489,2.71126792,7.50713571,0.02960382,0.75287605,0.89432499,0.00000000
-5.98199100,9.67136211,2.67792466,7.41765299,0.02938074,0.73439574,0.88817697,0.00000000
-5.97598799,9.51909677,2.63481352,7.30958626,0.02904046,0.71348538,0.87927710,0.00000000
-5.96998499,9.34397782,2.58294507,7.18551789,0.02858997,0.69052534,0.86784564,0.00000000
-5.96398199,9.14973230,2.52345570,7.04820815,0.02803839,0.66591373,0.85414352,0.00000000
-5.95797899,8.94026276,2.45757541,6.90052782,0.02739666,0.64005670,0.83846542,0.00000000
-5.95197599,8.71955521,2.38659493,6.74539160,0.02667725,0.61335922,0.82113237,0.00000000
-5.94597299,8.49159034,2.31183317,6.58569424,0.02589380,0.58621665,0.80248396,0.00000000
-5.93996998,8.26026010,2.23460598,6.42425120,0.02506071,0.55900736,0.78287034,0.00000000
-5.93396698,8.02929180,2.15619695,6.26374495,0.02419276,0.53208625,0.76264425,0.00000000
-5.92796398,7.80218104,2.07783088,6.10667811,0.02330466,0.50577958,0.74215327,0.00000000
-5.92196098,7.58213439,2.00065042,5.95533395,0.02241069,0.48038077,0.72173236,0.00000000
-5.91595798,7.37202245,1.92569608,5.81174459,0.02152431,0.45614733,0.70169693,0.00000000
-5.90995498,7.17434322,1.85388976,5.67766691,0.02065784,0.43329875,0.68233645,0.00000000
-5.90395198,6.99119572,1.78602198,5.55456582,0.01982218,0.41201523,0.66390876,0.00000000
-5.89794897,6.82426301,1.72274249,5.44360446,0.01902661,0.39243724,0.64663518,0.00000000
-5.89194597,6.67480424,1.66455437,5.34564062,0.01827862,0.37466560,0.63069644,0.00000000
-5.88594297,6.54365459,1.61181129,5.26122871,0.01758385,0.35876221,0.61622955,0.00000000
-5.87993997,6.43123243,1.56471784,5.19062656,0.01694604,0.34475118,0.60332561,0.00000000
-5.87393697,6.33755290,1.52333269,5.13380637,0.01636709,0.33262039,0.59202875,0.00000000
-5.86793397,6.26224712,1.48757445,5.09046928,0.01584718,0.32232337,0.58233610,0.00000000
-5.86193097,6.20458660,1.45723007,5.06006307,0.01538484,0.31378164,0.57419893,0.00000000
-5.85592796,6.16351244,1.43196549,5.04180276,0.01497719,0.30688724,0.56752489,0.00000000
-5.84992496,6.13766891,1.41133870,5.03469387,0.01462014,0.30150583,0.56218152,0.00000000
-5.84392196,6.12544134,1.39481463,5.03755835,0.01430859,0.29748000,0.55800077,0.00000000
-5.83791896,6.12499808,1.38178198,5.04906304,0.01403666,0.29463305,0.55478457,0.00000000
-5.83191596,6.13433621,1.37157164,5.06775071,0.01379794,0.29277320,0.55231144,0.00000000
-5.82591296,6.15133074,1.36347630,5.09207350,0.01358573,0.29169802,0.55034375,0.00000000
