energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.74439678,0.02061807,0.41248363,0.54805713,0.00000000,0.11698220,1.66503466,0.63498643,0.57265490
-5.99399700,3.67466268,0.02075518,0.40758864,0.53810575,0.00000000,0.11437300,1.62915087,0.61620506,0.56781251
-5.98799400,3.59069317,0.02078000,0.40033432,0.52673834,0.00000000,0.11127104,1.58817708,0.59501300,0.56017093
-5.98199100,3.49410492,0.02069092,0.39083034,0.51429868,0.00000000,0.10770211,1.54295172,0.57180314,0.54990539
-5.97598799,3.38678686,0.02048910,0.37923282,0.50115928,0.00000000,0.10370191,1.49440829,0.54700429,0.53724761
-5.96998499,3.27084467,0.02017846,0.36574021,0.48770993,0.00000000,0.09931506,1.44354745,0.52106976,0.52247860
-5.96398199,3.14853876,0.01976540,0.35058797,0.47434581,0.00000000,0.09459394,1.39140702,0.49446576,0.50591976
-5.95797899,3.02221845,0.01925865,0.33404224,0.46145575,0.00000000,0.08959715,1.33903128,0.46766003,0.48792289
-5.95197599,2.89425494,0.01866883,0.31639278,0.44941100,0.00000000,0.08438777,1.28744081,0.44111132,0.46885925
-5.94597299,2.76697614,0.01800810,0.29794552,0.43855495,0.00000000,0.07903164,1.23760403,0.41526004,0.44910852
-5.93996998,2.64260590,0.01728971,0.27901504,0.42919421,0.00000000,0.07359546,1.19041161,0.39052040,0.42904789
-5.93396698,2.52321023,0.01652754,0.25991737,0.42159139,0.00000000,0.06814501,1.14665486,0.36727447,0.40904189
-5.92796398,2.41065239,0.01573566,0.24096326,0.41595969,0.00000000,0.06274354,1.10700865,0.34586821,0.38943339
-5.92196098,2.30655860,0.01492790,0.22245227,0.41245965,0.00000000,0.05745026,1.07201975,0.32660964,0.37053612
-5.91595798,2.21229527,0.01411747,0.20466783,0.41119794,0.00000000,0.05231915,1.04210060,0.30976902,0.35262901
-5.90995498,2.12895824,0.01331665,0.18787344,0.41222832,0.00000000,0.04739800,1.01752873,0.29558113,0.33595237
-5.90395198,2.05737370,0.01253659,0.17230999,0.41555446,0.00000000,0.04272774,0.99845157,0.28424918,0.32070629
-5.89794897,1.99811022,0.01178710,0.15819428,0.42113451,0.00000000,0.03834212,0.98489611,0.27595033,0.30705086
-5.89194597,1.95150035,0.01107659,0.14571863,0.42888716,0.00000000,0.03426764,0.97678279,0.27084221,0.29510820
-5.88594297,1.91767020,0.01041210,0.13505139,0.43869871,0.00000000,0.03052370,0.97394271,0.26907021,0.28496618
-5.87993997,1.89657485,0.00979934,0.12633835,0.45043087,0.00000000,0.02712309,0.97613709,0.27077500,0.27668317
-5.87393697,1.88803723,0.00924287,0.11970462,0.46392877,0.00000000,0.02407254,0.98307801,0.27609979,0.27029379
-5.86793397,1.89178806,0.00874621,0.11525693,0.47902892,0.00000000,0.02137347,0.99444912,0.28519684,0.26581490
-5.86193097,1.90750441,0.00831212,0.11308595,0.49556652,0.00000000,0.01902283,1.00992545,0.29823278,0.26325170
-5.85592796,1.93484463,0.00794274,0.11326856,0.51338191,0.00000000,0.01701395,1.02919108,0.31539226,0.26260327
-5.84992496,1.97347760,0.00763988,0.11586963,0.53232578,0.00000000,0.01533734,1.05195400,0.33687946,0.26386729
-5.84392196,2.02310457,0.00740512,0.12094327,0.55226297,0.00000000,0.01398154,1.07795720,0.36291728,0.26704356
-5.83791896,2.08347246,0.00724002,0.12853339,0.57307458,0.00000000,0.01293375,1.10698577,0.39374377,0.27213614
-5.83191596,2.15437768,0.00714617,0.13867326,0.59465849,0.00000000,0.01218041,1.13886943,0.42960579,0.27915386
-5.82591296,2.23566038,0.00712524,0.15138431,0.61692809,0.00000000,0.01170766,1.17348062,0.47074982,0.28810915
-5.81990995,2.32718928,0.00717898,0.16667382,0.63980960,0.00000000,0.01150163,1.21072831,0.51741000,0.29901531
