energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.88239545,0.08134604,0.02929755,0.51109024,0.08086647,0.20701679,0.14006929,0.52158833,0.00000000
-5.99399700,0.93727150,0.08653901,0.03162349,0.54103852,0.08597854,0.21904021,0.14621320,0.55375018,0.00000000
-5.98799400,0.99389948,0.09179556,0.03416865,0.57271056,0.09146672,0.23128798,0.15245202,0.58655883,0.00000000
-5.98199100,1.05108773,0.09700321,0.03689365,0.60540125,0.09721957,0.24348032,0.15859676,0.61931304,0.00000000
-5.97598799,1.10761309,0.10204704,0.03975557,0.63838099,0.10311869,0.25533838,0.16446221,0.65129935,0.00000000
-5.96998499,1.16225376,0.10681276,0.04270903,0.67091532,0.10904159,0.26659223,0.16987200,0.68181152,0.00000000
-5.96398199,1.21382372,0.11118977,0.04570756,0.70228569,0.11486496,0.27698911,0.17466377,0.71017081,0.00000000
-5.95797899,1.26120782,0.11507434,0.04870521,0.73181091,0.12046806,0.28630165,0.17869379,0.73574628,0.00000000
-5.95197599,1.30339640,0.11837257,0.05165816,0.75886860,0.12573624,0.29433566,0.18184126,0.75797453,0.00000000
-5.94597299,1.33951819,0.12100326,0.05452666,0.78291600,0.13056457,0.30093737,0.18401187,0.77637802,0.00000000
-5.93996998,1.36887025,0.12290026,0.05727681,0.80350939,0.13486124,0.30599971,0.18514063,0.79058135,0.00000000
-5.93396698,1.39094366,0.12401452,0.05988252,0.82032129,0.13855085,0.30946737,0.18519375,0.80032481,0.00000000
-5.92796398,1.40544409,0.12431549,0.06232721,0.83315483,0.14157726,0.31134049,0.18416965,0.80547456,0.00000000
-5.92196098,1.41230597,0.12379200,0.06460545,0.84195459,0.14390596,0.31167664,0.18209883,0.80602901,0.00000000
-5.91595798,1.41169976,0.12245241,0.06672425,0.84681328,0.14552586,0.31059110,0.17904281,0.80212107,0.00000000
-5.90995498,1.40403176,0.12032416,0.06870402,0.84797388,0.14645034,0.30825530,0.17509210,0.79401602,0.00000000
-5.90395198,1.38993612,0.11745264,0.07057907,0.84582692,0.14671752,0.30489339,0.17036326,0.78210513,0.00000000
-5.89794897,1.37025935,0.11389955,0.07239764,0.84090271,0.14638964,0.30077699,0.16499515,0.76689501,0.00000000
-5.89194597,1.34603744,0.10974066,0.07422135,0.83385876,0.14555165,0.29621834,0.15914458,0.74899320,0.00000000
-5.88594297,1.31846641,0.10506316,0.07612401,0.82546235,0.14430887,0.29156184,0.15298148,0.72909033,0.00000000
-5.87993997,1.28886717,0.09996281,0.07818994,0.81656890,0.14278390,0.28717437,0.14668370,0.70793952,0.00000000
-5.87393697,1.25864566,0.09454080,0.08051161,0.80809666,0.14111278,0.28343460,0.14043175,0.68633371,0.00000000
-5.86793397,1.22924978,0.08890060,0.08318681,0.80099839,0.13944056,0.28072153,0.13440349,0.66508165,0.00000000
-5.86193097,1.20212432,0.08314489,0.08631534,0.79623098,0.13791642,0.27940267,0.12876907,0.64498340,0.00000000
-5.85592796,1.17866548,0.07737268,0.08999537,0.79472395,0.13668849,0.27982218,0.12368624,0.62680607,0.00000000
-5.84992496,1.16017649,0.07167674,0.09431956,0.79734786,0.13589854,0.28228932,0.11929603,0.61126071,0.00000000
-5.84392196,1.14782572,0.06614128,0.09937103,0.80488372,0.13567676,0.28706760,0.11571910,0.59898092,0.00000000
-5.83791896,1.14260883,0.06084027,0.10521956,0.81799446,0.13613685,0.29436485,0.11305274,0.59050399,0.00000000
-5.83191596,1.14531601,0.05583597,0.11191786,0.83719953,0.13737158,0.30432476,0.11136858,0.58625511,0.00000000
-5.82591296,1.15650576,0.05117818,0.11949833,0.86285359,0.13944891,0.31702006,0.11071109,0.58653508,0.00000000
-5.81990995,1.17648575,0.04690379,0.12797045,0.89513006,0.14240903,0.33244760,0.11109682,0.59151197,0.00000000
-5.81390695,1.20530176,0.04303683,0.13731871,0.93401050,0.14626227,0.35052565,0.11251454,0.60121690,0.00000000
-5.80790395,1.24273500,0.03958899,0.14750160,0.97927997,0.15098809,0.37109359,0.11492601,0.61554408,0.00000000
-5.80190095,1.28830788,0.03656037,0.15845130,1.03052902,0.15653506,0.39391399,0.11826763,0.63425512,0.00000000
-5.79589795,1.34129826,0.03394066,0.17007449,1.08716220,0.16282210,0.41867726,0.12245264,0.65698735,0.00000000
-5.78989495,1.40076156,0.03171039,0.18225410,1.14841295,0.16974067,0.44500867,0.12737399,0.68326597,0.00000000
-5.78389195,1.46556002,0.02984253,0.19485191,1.21336438,0.17715804,0.47247766,0.13290772,0.71251953,0.00000000
-5.77788894,1.53439808,0.02830397,0.20771214,1.28097532,0.18492141,0.50060921,0.13891672,0.74409813,0.00000000
-5.77188594,1.60586251,0.02705722,0.22066558,1.35011055,0.19286280,0.52889675,0.14525481,0.77729379,0.00000000
-5.76588294,1.67846578,0.02606195,0.23353436,1.41957413,0.20080445,0.55681644,0.15177090,0.81136220,0.00000000
-5.75987994,1.75069108,0.02527654,0.24613703,1.48814444,0.20856454,0.58384198,0.15831325,0.84554497,0.00000000
-5.75387694,1.82103703,0.02465942,0.25829369,1.55460961,0.21596301,0.60945971,0.16473352,0.87909161,0.00000000
-5.74787394,1.88806055,0.02417037,0.26983102,1.61780170,0.22282723,0.63318316,0.17089064,0.91128043,0.00000000
-5.74187094,1.95041604,0.02377156,0.28058694,1.67662841,0.22899729,0.65456656,0.17665413,0.94143753,0.00000000
-5.73586793,2.00688955,0.02342840,0.29041475,1.73010098,0.23433065,0.67321688,0.18190707,0.96895322,0.00000000
-5.72986493,2.05642656,0.02311023,0.29918643,1.77735710,0.23870607,0.68880363,0.18654838,0.99329535,0.00000000
-5.72386193,2.09815257,0.02279076,0.30679518,1.81767832,0.24202655,0.70106641,0.19049441,1.01401911,0.00000000
-5.71785893,2.13138603,0.02244838,0.31315697,1.85050110,0.24422136,0.70981966,0.19367990,1.03077312,0.00000000
-5.71185593,2.15564344,0.02206615,0.31821115,1.87542166,0.24524685,0.71495462,0.19605819,1.04330174,0.00000000
-5.70585293,2.17063693,0.02163181,0.32192015,1.89219475,0.24508639,0.71643852,0.19760085,1.05144384,0.00000000
-5.69984992,2.17626509,0.02113745,0.32426833,1.90072674,0.24374922,0.71431118,0.19829659,1.05512837,0.00000000
