energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,0.83496320,0.00278728,0.20609242,0.21356174,0.34601957,0.00791229,0.11921575
-5.99399700,0.79592774,0.00239314,0.19526383,0.19746571,0.33104813,0.00721655,0.11485911
-5.98799400,0.75852453,0.00204089,0.18514099,0.18342735,0.31652559,0.00657343,0.11039315
-5.98199100,0.72282748,0.00172898,0.17573492,0.17140437,0.30248976,0.00598472,0.10584514
-5.97598799,0.68896900,0.00145533,0.16706980,0.16137387,0.28900247,0.00545121,0.10125302
-5.96998499,0.65714135,0.00121748,0.15918409,0.15333374,0.27615070,0.00497294,0.09666435
-5.96398199,0.62759460,0.00101272,0.15213074,0.14730266,0.26404651,0.00454942,0.09213473
-5.95797899,0.60063158,0.00083822,0.14597675,0.14331900,0.25282558,0.00417989,0.08772590
-5.95197599,0.57659985,0.00069110,0.14080181,0.14143837,0.24264464,0.00386354,0.08350346
-5.94597299,0.55588113,0.00056856,0.13669624,0.14173018,0.23367777,0.00359969,0.07953439
-5.93996998,0.53887872,0.00046788,0.13375831,0.14427316,0.22611182,0.00338797,0.07588448
-5.93396698,0.52600324,0.00038654,0.13209100,0.14915013,0.22014114,0.00322844,0.07261572
-5.92796398,0.51765745,0.00032224,0.13179830,0.15644205,0.21596171,0.00312168,0.06978384
-5.92196098,0.51422064,0.00027288,0.13298131,0.16622170,0.21376508,0.00306882,0.06743599
-5.91595798,0.51603303,0.00023665,0.13573407,0.17854710,0.21373216,0.00307152,0.06560881
-5.90995498,0.52338101,0.00021192,0.14013947,0.19345494,0.21602709,0.00313195,0.06432678
-5.90395198,0.53648340,0.00019736,0.14626516,0.21095426,0.22079145,0.00325263,0.06360106
-5.89794897,0.55547945,0.00019179,0.15415979,0.23102059,0.22813885,0.00343635,0.06342873
-5.89194597,0.58041875,0.00019427,0.16384956,0.25359081,0.23815021,0.00368596,0.06379267
-5.88594297,0.61125363,0.00020400,0.17533522,0.27855899,0.25086968,0.00400420,0.06466180
-5.87993997,0.64783414,0.00022032,0.18858972,0.30577335,0.26630142,0.00439345,0.06599196
-5.87393697,0.68990592,0.00024266,0.20355649,0.33503457,0.28440743,0.00485549,0.06772717
-5.86793397,0.73711123,0.00027055,0.22014849,0.36609569,0.30510632,0.00539130,0.06980145
-5.86193097,0.78899299,0.00030355,0.23824815,0.39866362,0.32827330,0.00600083,0.07214094
-5.85592796,0.84500214,0.00034124,0.25770817,0.43240234,0.35374132,0.00668276,0.07466647
-5.84992496,0.90450813,0.00038320,0.27835334,0.46693793,0.38130356,0.00743434,0.07729631
-5.84392196,0.96681246,0.00042898,0.29998328,0.50186527,0.41071714,0.00825129,0.07994919
