energy_ev,total_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.53167798,0.10688448,0.06412419,0.15031746,0.07730427,0.00163782,0.05609528,0.00489969,0.23766089
-5.99399700,0.56131869,0.10877662,0.06717467,0.15776774,0.08530132,0.00171161,0.05801579,0.00551355,0.25257612
-5.98799400,0.59304636,0.11098890,0.07007679,0.16550865,0.09459128,0.00178353,0.05986874,0.00618762,0.26878489
-5.98199100,0.62663404,0.11341518,0.07279132,0.17347662,0.10520483,0.00185252,0.06160456,0.00692385,0.28622443
-5.97598799,0.66192060,0.11597106,0.07528922,0.18163344,0.11717170,0.00191776,0.06318266,0.00772368,0.30485958
-5.96998499,0.69881919,0.11859703,0.07755345,0.18996960,0.13051920,0.00197870,0.06457299,0.00858793,0.32468572
-5.96398199,0.73732289,0.12126085,0.07958041,0.19850675,0.14527061,0.00203512,0.06575730,0.00951664,0.34573054
-5.95797899,0.77750734,0.12395907,0.08138095,0.20729906,0.16144339,0.00208710,0.06673000,0.01050903,0.36805448
-5.95197599,0.81953022,0.12671758,0.08298089,0.21643326,0.17904730,0.00213508,0.06749859,0.01156333,0.39174981
-5.94597299,0.86362726,0.12959125,0.08442109,0.22602752,0.19808257,0.00217977,0.06808368,0.01267675,0.41693825
-5.93996998,0.91010492,0.13266256,0.08575682,0.23622877,0.21853811,0.00222223,0.06851850,0.01384542,0.44376720
-5.93396698,0.95932970,0.13603923,0.08705667,0.24720881,0.24038989,0.00226373,0.06884801,0.01506430,0.47240453
-5.92796398,1.01171428,0.13985092,0.08840077,0.25915888,0.26359953,0.00230580,0.06912752,0.01632726,0.50303201
-5.92196098,1.06770066,0.14424497,0.08987857,0.27228311,0.28811307,0.00235010,0.06942086,0.01762704,0.53583758
-5.91595798,1.12774082,0.14938139,0.09158602,0.28679067,0.31386002,0.00239836,0.06979829,0.01895536,0.57100641
-5.90995498,1.19227514,0.15542706,0.09362245,0.30288714,0.34075267,0.00245237,0.07033397,0.02030296,0.60871121
-5.90395198,1.26170935,0.16254947,0.09608693,0.32076504,0.36868560,0.00251383,0.07110334,0.02165977,0.64910177
-5.89794897,1.33639047,0.17091002,0.09907462,0.34059399,0.39753543,0.00258433,0.07218023,0.02301502,0.69229413
-5.89194597,1.41658261,0.18065714,0.10267285,0.36251080,0.42716080,0.00266523,0.07363404,0.02435739,0.73835976
-5.88594297,1.50244330,0.19191951,0.10695727,0.38660986,0.45740253,0.00275764,0.07552685,0.02567524,0.78731495
-5.87993997,1.59400139,0.20479944,0.11198821,0.41293408,0.48808394,0.00286233,0.07791081,0.02695673,0.83911093
-5.87393697,1.69113720,0.21936697,0.11780725,0.44146710,0.51901138,0.00297969,0.08082568,0.02819004,0.89362514
-5.86793397,1.79356605,0.23565454,0.12443437,0.47212678,0.54997502,0.00310969,0.08429676,0.02936356,0.95065393
-5.86193097,1.90082593,0.25365279,0.13186551,0.50476060,0.58074981,0.00325188,0.08833327,0.03046604,1.00990735
-5.85592796,2.01227017,0.27330759,0.14007094,0.53914328,0.61109682,0.00340534,0.09292720,0.03148677,1.07100628
-5.84992496,2.12706593,0.29451840,0.14899439,0.57497668,0.64076495,0.00356873,0.09805275,0.03241575,1.13348228
-5.84392196,2.24419897,0.31713827,0.15855303,0.61189250,0.66949299,0.00374029,0.10366636,0.03324379,1.19678056
-5.83791896,2.36248522,0.34097541,0.16863839,0.64945755,0.69701236,0.00391787,0.10970738,0.03396267,1.26026613
-5.83191596,2.48058910,0.36579647,0.17911821,0.68718178,0.72305025,0.00409901,0.11609940,0.03456526,1.32323333
-5.82591296,2.59704867,0.39133135,0.18983922,0.72452888,0.74733343,0.00428098,0.12275205,0.03504561,1.38491859
-5.81990995,2.71030698,0.41727956,0.20063071,0.76092915,0.76959264,0.00446084,0.12956348,0.03539901,1.44451629
-5.81390695,2.81874883,0.44331782,0.21130895,0.79579429,0.78956747,0.00463553,0.13642322,0.03562214,1.50119722
-5.80790395,2.92074196,0.46910864,0.22168213,0.82853359,0.80701172,0.00480197,0.14321537,0.03571306,1.55412925
-5.80190095,3.01468113,0.49430964,0.23155585,0.85857101,0.82169903,0.00495712,0.14982212,0.03567131,1.60249941
-5.79589795,3.09903356,0.51858304,0.24073876,0.88536232,0.83342865,0.00509806,0.15612724,0.03549789,1.64553655
-5.78989495,3.17238384,0.54160512,0.24904836,0.90841182,0.84203105,0.00522210,0.16201959,0.03519535,1.68253383
-5.78389195,3.23347649,0.56307508,0.25631645,0.92728778,0.84737324,0.00532679,0.16739648,0.03476770,1.71286991
-5.77788894,3.28125435,0.58272298,0.26239433,0.94163599,0.84936345,0.00541006,0.17216654,0.03422042,1.73602809
-5.77188594,3.31489104,0.60031639,0.26715728,0.95119086,0.84795491,0.00547022,0.17625230,0.03356037,1.75161247
-5.76588294,3.33381601,0.61566539,0.27050824,0.95578350,0.84314860,0.00550600,0.17959208,0.03279572,1.75936028
-5.75987994,3.33773110,0.62862585,0.27238061,0.95534657,0.83499470,0.00551662,0.18214130,0.03193576,1.75915012
-5.75387694,3.32661787,0.63910077,0.27273984,0.94991559,0.82359269,0.00550174,0.18387307,0.03099083,1.75100538
-5.74787394,3.30073548,0.64703971,0.27158408,0.93962677,0.80908994,0.00546149,0.18477811,0.02997203,1.73509300
-5.74187094,3.26060930,0.65243647,0.26894358,0.92471151,0.79167896,0.00539647,0.18486400,0.02889111,1.71171760
-5.73586793,3.20701106,0.65532517,0.26487905,0.90548795,0.77159326,0.00530766,0.18415381,0.02776017,1.68131124
