energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.46807910,0.21924367,0.00086876,0.14729543,0.26578415,0.00054491,0.02654548
-5.99399700,0.46411199,0.21470030,0.00093267,0.14319900,0.26613015,0.00062356,0.02431631
-5.98799400,0.46477577,0.21218194,0.00100984,0.14039514,0.26918894,0.00070963,0.02229074
-5.98199100,0.47014799,0.21175070,0.00109994,0.13892857,0.27498409,0.00080300,0.02048562
-5.97598799,0.48025112,0.21344210,0.00120251,0.13882596,0.28350783,0.00090337,0.01891633
-5.96998499,0.49505463,0.21726574,0.00131703,0.14009659,0.29472248,0.00101033,0.01759710
-5.96398199,0.51447930,0.22320710,0.00144285,0.14273350,0.30856320,0.00112331,0.01654146
-5.95797899,0.53840369,0.23123027,0.00157925,0.14671555,0.32494203,0.00124158,0.01576268
-5.95197599,0.56667247,0.24128156,0.00172541,0.15200984,0.34375302,0.00136430,0.01527428
-5.94597299,0.59910627,0.25329371,0.00188046,0.15857466,0.36487828,0.00149046,0.01509055
-5.93996998,0.63551236,0.26719060,0.00204350,0.16636270,0.38819457,0.00161899,0.01522702
-5.93396698,0.67569573,0.28289196,0.00221358,0.17532428,0.41358002,0.00174871,0.01570083
-5.92796398,0.71946961,0.30031799,0.00238979,0.18541046,0.44092064,0.00187837,0.01653097
-5.92196098,0.76666479,0.31939340,0.00257121,0.19657577,0.47011598,0.00200671,0.01773830
-5.91595798,0.81713694,0.34005062,0.00275701,0.20878035,0.50108359,0.00213247,0.01934541
-5.90995498,0.87077119,0.36223184,0.00294640,0.22199133,0.53376176,0.00225442,0.02137618
-5.90395198,0.92748330,0.38588971,0.00313869,0.23618322,0.56811022,0.00237140,0.02385506
-5.89794897,0.98721710,0.41098632,0.00333327,0.25133732,0.60410837,0.00248234,0.02680615
-5.89194597,1.04993773,0.43749067,0.00352962,0.26743988,0.64175106,0.00258630,0.03025189
-5.88594297,1.11562084,0.46537432,0.00372731,0.28447930,0.68104170,0.00268247,0.03421164
-5.87993997,1.18423792,0.49460548,0.00392594,0.30244213,0.72198304,0.00277020,0.03869994
