energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.77071701,0.35025135,2.24755663,0.00690376,0.20846880,0.16700864,0.00000000
-5.99399700,2.74725110,0.34600672,2.23292622,0.00667034,0.20554972,0.16630004,0.00000000
-5.98799400,2.73415436,0.34199781,2.22757688,0.00651200,0.20262955,0.16612741,0.00000000
-5.98199100,2.73185007,0.33822738,2.23190305,0.00642798,0.19973352,0.16647673,0.00000000
-5.97598799,2.74065061,0.33470284,2.24619814,0.00641655,0.19688933,0.16733082,0.00000000
-5.96998499,2.76075397,0.33143649,2.27065021,0.00647512,0.19412699,0.16866999,0.00000000
-5.96398199,2.79223960,0.32844524,2.30533728,0.00660030,0.19147844,0.17047230,0.00000000
-5.95797899,2.83506348,0.32574957,2.35022256,0.00678802,0.18897681,0.17271384,0.00000000
-5.95197599,2.88905293,0.32337201,2.40514975,0.00703361,0.18665545,0.17536862,0.00000000
-5.94597299,2.95390161,0.32133513,2.46983888,0.00733189,0.18454671,0.17840845,0.00000000
-5.93996998,3.02916531,0.31965935,2.54388331,0.00767731,0.18268063,0.18180263,0.00000000
-5.93396698,3.11425927,0.31836046,2.62674812,0.00806397,0.18108355,0.18551768,0.00000000
-5.92796398,3.20845763,0.31744742,2.71777074,0.00848580,0.17977665,0.18951698,0.00000000
-5.92196098,3.31089568,0.31692015,2.81616407,0.00893659,0.17877466,0.19376049,0.00000000
-5.91595798,3.42057544,0.31676783,2.92102259,0.00941007,0.17808474,0.19820464,0.00000000
-5.90995498,3.53637503,0.31696760,3.03133168,0.00990002,0.17770559,0.20280230,0.00000000
-5.90395198,3.65706199,0.31748383,3.14598035,0.01040029,0.17762685,0.20750290,0.00000000
-5.89794897,3.78131055,0.31826805,3.26377739,0.01090488,0.17782886,0.21225284,0.00000000
-5.89194597,3.90772285,0.31925943,3.38347063,0.01140799,0.17828284,0.21699603,0.00000000
-5.88594297,4.03485358,0.32038599,3.50376916,0.01190401,0.17895139,0.22167464,0.00000000
-5.87993997,4.16123753,0.32156627,3.62336788,0.01238761,0.17978941,0.22623004,0.00000000
-5.87393697,4.28541937,0.32271159,3.74097380,0.01285372,0.18074531,0.23060393,0.00000000
-5.86793397,4.40598470,0.32372867,3.85533329,0.01329757,0.18176257,0.23473955,0.00000000
-5.86193097,4.52159134,0.32452252,3.96525954,0.01371466,0.18278149,0.23858296,0.00000000
-5.85592796,4.63099999,0.32499954,4.06965912,0.01410083,0.18374110,0.24208443,0.00000000
-5.84992496,4.73310284,0.32507057,4.16755695,0.01445220,0.18458120,0.24519972,0.00000000
-5.84392196,4.82694937,0.32465395,4.25811856,0.01476522,0.18524430,0.24789135,0.00000000
-5.83791896,4.91176816,0.32367822,4.34066890,0.01503668,0.18567759,0.25012969,0.00000000
-5.83191596,4.98698384,0.32208462,4.41470684,0.01526370,0.18583464,0.25189397,0.00000000
-5.82591296,5.05222851,0.31982905,4.47991493,0.01544377,0.18567693,0.25317292,0.00000000
-5.81990995,5.10734710,0.31688362,4.53616370,0.01557477,0.18517502,0.25396533,0.00000000
-5.81390695,5.15239643,0.31323762,4.58351057,0.01565499,0.18430948,0.25428018,0.00000000
-5.80790395,5.18763791,0.30889787,4.62219313,0.01568319,0.18307136,0.25413655,0.00000000
-5.80190095,5.21352421,0.30388855,4.65261717,0.01565860,0.18146224,0.25356319,0.00000000
-5.79589795,5.23068041,0.29825048,4.67533992,0.01558097,0.17949406,0.25259776,0.00000000
