energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
2.45222611,2.01856844,1.64259300,0.11236166,0.31573113,0.00000145,0.08271159,1.16304883
2.45822911,2.03664141,1.67433563,0.11521004,0.32976557,0.00000140,0.08189694,1.15887443
2.46423212,2.05209802,1.70322646,0.11800095,0.34450329,0.00000135,0.08100800,1.15106657
2.47023512,2.06495555,1.72893586,0.12071522,0.35986618,0.00000131,0.08003444,1.13975648
2.47623812,2.07522583,1.75116537,0.12333153,0.37574966,0.00000126,0.07896791,1.12512353
2.48224112,2.08290336,1.76964736,0.12582617,0.39202122,0.00000122,0.07780215,1.10738694
2.48824412,2.08795495,1.78414400,0.12817283,0.40851990,0.00000118,0.07653299,1.08679666
2.49424712,2.09031190,1.79444584,0.13034268,0.42505705,0.00000114,0.07515840,1.06362401
2.50025013,2.08986539,1.80037054,0.13230455,0.44141842,0.00000110,0.07367837,1.03815244
2.50625313,2.08646582,1.80176231,0.13402540,0.45736782,0.00000107,0.07209482,1.01066906
2.51225613,2.07992631,1.79849238,0.13547102,0.47265225,0.00000103,0.07041159,0.98145724
2.51825913,2.07003058,1.79046075,0.13660694,0.48700850,0.00000100,0.06863429,0.95079054
2.52426213,2.05654490,1.77759950,0.13739954,0.50017099,0.00000096,0.06677032,0.91892834
2.53026513,2.03923366,1.75987752,0.13781743,0.51188072,0.00000093,0.06482880,0.88611310
2.53626813,2.01787782,1.73730647,0.13783284,0.52189480,0.00000089,0.06282063,0.85256927
2.54227114,1.99229523,1.70994769,0.13742313,0.52999632,0.00000086,0.06075851,0.81850385
2.54827414,1.96236158,1.67791965,0.13657225,0.53600397,0.00000083,0.05865698,0.78410816
2.55427714,1.92803097,1.64140516,0.13527216,0.53978108,0.00000080,0.05653250,0.74956075
2.56028014,1.88935452,1.60065793,0.13352400,0.54124340,0.00000077,0.05440343,0.71503097
2.56628314,1.84649605,1.55600770,0.13133903,0.54036543,0.00000074,0.05229007,0.68068281
2.57228614,1.79974361,1.50786339,0.12873929,0.53718467,0.00000071,0.05021459,0.64667884
2.57828914,1.74951600,1.45671372,0.12575781,0.53180370,0.00000068,0.04820085,0.61318361
2.58429215,1.69636368,1.40312495,0.12243846,0.52438984,0.00000065,0.04627425,0.58036641
2.59029515,1.64096373,1.34773544,0.11883534,0.51517226,0.00000063,0.04446131,0.54840315
2.59629815,1.58410881,1.29124707,0.11501182,0.50443675,0.00000060,0.04278933,0.51747703
2.60230115,1.52669058,1.23441356,0.11103906,0.49251825,0.00000058,0.04128579,0.48777805
2.60830415,1.46967807,1.17802617,0.10699437,0.47979138,0.00000056,0.03997772,0.45950140
2.61430715,1.41409195,1.12289717,0.10295910,0.46665962,0.00000054,0.03889101,0.43284456
2.62031016,1.36097600,1.06984182,0.09901651,0.45354331,0.00000052,0.03804960,0.40800367
2.62631316,1.31136675,1.01965958,0.09524948,0.44086730,0.00000051,0.03747468,0.38516896
2.63231616,1.26626305,0.97311542,0.09173817,0.42904855,0.00000050,0.03718385,0.36451979
2.63831916,1.22659662,0.93092208,0.08855787,0.41848447,0.00000050,0.03719039,0.34621952
2.64432216,1.19320520,0.89372395,0.08577702,0.40954228,0.00000050,0.03750248,0.33041043
2.65032516,1.16680932,0.86208351,0.08345544,0.40254998,0.00000051,0.03812270,0.31720908
2.65632816,1.14799368,0.83647075,0.08164298,0.39778929,0.00000052,0.03904754,0.30670241
2.66233117,1.13719410,0.81725598,0.08037852,0.39549069,0.00000055,0.04026719,0.29894462
2.66833417,1.13469026,0.80470651,0.07968936,0.39583082,0.00000057,0.04176552,0.29395535
2.67433717,1.14060468,0.79898702,0.07959111,0.39893223,0.00000061,0.04352027,0.29171889
2.68034017,1.15490771,0.80016362,0.08008790,0.40486534,0.00000066,0.04550359,0.29218488
2.68634317,1.17742812,0.80821138,0.08117308,0.41365255,0.00000071,0.04768269,0.29527024
2.69234617,1.20786892,0.82302473,0.08283012,0.42527398,0.00000078,0.05002082,0.30086236
2.69834917,1.24582721,0.84443033,0.08503396,0.43967478,0.00000085,0.05247843,0.30882350
2.70435218,1.29081742,0.87220162,0.08775241,0.45677333,0.00000094,0.05501451,0.31899610
2.71035518,1.34229660,0.90607441,0.09094784,0.47647000,0.00000103,0.05758803,0.33120893
2.71635818,1.39969062,0.94576273,0.09457876,0.49865610,0.00000114,0.06015945,0.34528374
2.72236118,1.46242022,0.99097421,0.09860160,0.52322232,0.00000127,0.06269227,0.36104211
2.72836418,1.52992552,1.04142433,0.10297220,0.55006655,0.00000141,0.06515439,0.37831232
2.73436718,1.60168821,1.09684880,0.10764733,0.57910048,0.00000156,0.06751952,0.39693581
2.74037019,1.67725020,1.15701364,0.11258587,0.61025473,0.00000173,0.06976821,0.41677299
2.74637319,1.75622819,1.22172251,0.11774991,0.64348230,0.00000192,0.07188871,0.43770814
2.75237619,1.83832337,1.29082085,0.12310545,0.67876019,0.00000213,0.07387753,0.45965301
2.75837919,1.92332606,1.36419680,0.12862288,0.71608898,0.00000236,0.07573962,0.48254914
2.76438219,2.01111486,1.44177868,0.13427717,0.75549047,0.00000261,0.07748821,0.50636844
2.77038519,2.10165060,1.52352927,0.14004776,0.79700344,0.00000289,0.07914432,0.53111217
2.77638819,2.19496514,1.60943691,0.14591822,0.84067761,0.00000319,0.08073587,0.55680809
2.78239120,2.29114566,1.69950395,0.15187564,0.88656608,0.00000352,0.08229650,0.58350593
2.78839420,2.39031492,1.79373288,0.15790982,0.93471647,0.00000387,0.08386417,0.61127133
2.79439720,2.49260850,1.89211084,0.16401231,0.98516120,0.00000425,0.08547947,0.64017829
2.80040020,2.59814983,1.99459306,0.17017537,1.03790711,0.00000467,0.08718387,0.67030057
2.80640320,2.70702431,2.10108630,0.17639083,1.09292507,0.00000511,0.08901789,0.70170240
2.81240620,2.81925350,2.21143277,0.18264895,1.15013987,0.00000558,0.09101925,0.73442882
2.81840920,2.93477083,2.32539580,0.18893738,1.20942094,0.00000608,0.09322123,0.76849625
2.82441221,3.05339998,2.44264794,0.19524022,1.27057435,0.00000662,0.09565111,0.80388375
2.83041521,3.17483707,2.56276239,0.20153724,1.33333657,0.00000718,0.09832890,0.84052543
2.83641821,3.29863796,2.68520866,0.20780333,1.39737042,0.00000777,0.10126643,0.87830465
2.84242121,3.42421134,2.80935293,0.21400824,1.46226358,0.00000838,0.10446668,0.91705026
2.84842421,3.55081866,2.93446375,0.22011656,1.52753001,0.00000902,0.10792363,0.95653539
2.85442721,3.67758105,3.05972328,0.22608811,1.59261442,0.00000968,0.11162238,0.99647897
2.86043022,3.80349372,3.18424390,0.23187860,1.65689998,0.00001035,0.11553975,1.03655007
2.86643322,3.92744746,3.30709020,0.23744061,1.71971921,0.00001104,0.11964519,1.07637515
2.87243622,4.04825685,3.42730543,0.24272490,1.78036781,0.00001174,0.12390204,1.11554784
2.87843922,4.16469430,3.54394168,0.24768200,1.83812126,0.00001245,0.12826909,1.15364120
2.88444222,4.27552870,3.65609267,0.25226391,1.89225356,0.00001316,0.13270226,1.19022166
2.89044522,4.37956724,3.76292754,0.25642608,1.94205766,0.00001387,0.13715651,1.22486433
2.89644822,4.47569862,3.86372435,0.26012927,1.98686665,0.00001458,0.14158776,1.25716880
2.90245123,4.56293574,3.95790142,0.26334155,2.02607514,0.00001528,0.14595471,1.28677474
2.90845423,4.64045601,4.04504498,0.26604003,2.05915974,0.00001597,0.15022068,1.31337657
2.91445723,4.70763712,4.12493154,0.26821244,2.08569787,0.00001665,0.15435513,1.33673640
2.92046023,4.76408666,4.19754354,0.26985834,2.10538391,0.00001733,0.15833491,1.35669448
2.92646323,4.80966382,4.26307720,0.27098999,2.11804209,0.00001800,0.16214528,1.37317683
2.93246623,4.84449188,4.32194182,0.27163273,2.12363519,0.00001866,0.16578043,1.38619932
2.93846923,4.86896070,4.37475000,0.27182484,2.12226878,0.00001932,0.16924366,1.39586811
2.94447224,4.88371861,4.42229887,0.27161690,2.11419049,0.00001998,0.17254709,1.40237634
2.95047524,4.88965377,4.46554291,0.27107062,2.09978431,0.00002064,0.17571099,1.40599704
2.95647824,4.88786557,4.50555891,0.27025710,2.07956004,0.00002131,0.17876269,1.40707275
2.96248124,4.87962700,4.54350471,0.26925475,2.05413815,0.00002199,0.18173511,1.40600209
2.96848424,4.86633939,4.58057303,0.26814667,2.02423075,0.00002269,0.18466501,1.40322400
2.97448724,4.84948145,4.61794239,0.26701792,1.99061926,0.00002341,0.18759105,1.39920029
2.98049025,4.83055457,4.65672707,0.26595242,1.95412988,0.00002416,0.19055163,1.39439729
