energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.44804409,0.01847810,0.38707568,0.07817342,2.08637005,1.31453601,0.03962445,1.55530341
-5.99399700,3.44554613,0.01920226,0.38988773,0.07770570,2.11793010,1.30594928,0.03917953,1.55141669
-5.98799400,3.44716325,0.01997097,0.39368105,0.07738104,2.14924690,1.29968836,0.03886592,1.54903164
-5.98199100,3.45346443,0.02078333,0.39841888,0.07722484,2.18046180,1.29591042,0.03869684,1.54858102
-5.97598799,3.46498955,0.02163827,0.40407510,0.07725890,2.21172694,1.29477332,0.03868259,1.55046494
-5.96998499,3.48223486,0.02253445,0.41063536,0.07750095,2.24320073,1.29643238,0.03883030,1.55503928
-5.96398199,3.50563943,0.02347012,0.41809764,0.07796432,2.27504375,1.30103689,0.03914383,1.56260554
-5.95797899,3.53557300,0.02444296,0.42647230,0.07865782,2.30741506,1.30872636,0.03962372,1.57340224
-5.95197599,3.57232569,0.02545003,0.43578152,0.07958563,2.34046897,1.31962672,0.04026731,1.58759841
-5.94597299,3.61609988,0.02648759,0.44605814,0.08074747,2.37435194,1.33384662,0.04106895,1.60528931
-5.93996998,3.66700450,0.02755105,0.45734388,0.08213886,2.40919973,1.35147392,0.04202031,1.62649460
-5.93396698,3.72505175,0.02863493,0.46968690,0.08375149,2.44513438,1.37257240,0.04311073,1.65115905
-5.92796398,3.79015631,0.02973281,0.48313873,0.08557382,2.48226113,1.39717883,0.04432772,1.67915563
-5.92196098,3.86213679,0.03083741,0.49775064,0.08759161,2.52066490,1.42530039,0.04565736,1.71029112
-5.91595798,3.94071935,0.03194066,0.51356947,0.08978870,2.56040636,1.45691249,0.04708485,1.74431363
-5.90995498,4.02554283,0.03303382,0.53063301,0.09214771,2.60151753,1.49195688,0.04859492,1.78092197
-5.90395198,4.11616544,0.03410771,0.54896514,0.09465080,2.64399688,1.53034023,0.05017229,1.81977628
-5.89794897,4.21207208,0.03515286,0.56857076,0.09728043,2.68780406,1.57193291,0.05180201,1.86050949
-5.89194597,4.31268234,0.03615983,0.58943090,0.10002001,2.73285443,1.61656819,0.05346983,1.90273899
-5.88594297,4.41735830,0.03711946,0.61149806,0.10285454,2.77901359,1.66404169,0.05516232,1.94607800
-5.87993997,4.52541218,0.03802312,0.63469215,0.10577106,2.82609236,1.71411115,0.05686708,1.99014608
-5.87393697,4.63611339,0.03886303,0.65889718,0.10875903,2.87384246,1.76649659,0.05857275,2.03457828
-5.86793397,4.74869478,0.03963246,0.68395907,0.11181056,2.92195340,1.82088082,0.06026897,2.07903253
-5.86193097,4.86235833,0.04032595,0.70968472,0.11492042,2.97005104,1.87691047,0.06194632,2.12319499
-5.85592796,4.97628013,0.04093947,0.73584248,0.11808597,3.01769814,1.93419768,0.06359609,2.16678314
-5.84992496,5.08961507,0.04147051,0.76216435,0.12130690,3.06439750,1.99232241,0.06521016,2.20954671
-5.84392196,5.20150145,0.04191810,0.78834975,0.12458478,3.10959764,2.05083564,0.06678075,2.25126638
-5.83791896,5.31106596,0.04228277,0.81407101,0.12792254,3.15270155,2.10926348,0.06830024,2.29175070
-5.83191596,5.41742935,0.04256647,0.83898042,0.13132383,3.19307824,2.16711227,0.06976096,2.33083148
-5.82591296,5.51971315,0.04277233,0.86271872,0.13479225,3.23007712,2.22387471,0.07115506,2.36835807
-5.81990995,5.61704768,0.04290451,0.88492467,0.13833052,3.26304469,2.27903693,0.07247442,2.40419116
-5.81390695,5.70858151,0.04296789,0.90524547,0.14193970,3.29134321,2.33208634,0.07371062,2.43819644
-5.80790395,5.79349236,0.04296776,0.92334755,0.14561825,3.31437048,2.38252025,0.07485499,2.47023876
-5.80190095,5.87099910,0.04290957,0.93892735,0.14936132,3.33158004,2.42985482,0.07589871,2.50017717
-5.79589795,5.94037481,0.04279857,0.95172158,0.15315990,3.34250076,2.47363404,0.07683297,2.52786112
-5.78989495,6.00096004,0.04263956,0.96151646,0.15700021,3.34675505,2.51343853,0.07764923,2.55312819
-5.78389195,6.05217607,0.04243661,0.96815564,0.16086316,3.34407451,2.54889367,0.07833947,2.57580346
-5.77788894,6.09353725,0.04219292,0.97154630,0.16472394,3.33431241,2.57967672,0.07889651,2.59570055
-5.77188594,6.12466194,0.04191060,0.97166313,0.16855189,3.31745226,2.60552275,0.07931429,2.61262419
-5.76588294,6.14528143,0.04159066,0.96855009,0.17231051,3.29361176,2.62622889,0.07958821,2.62637437
-5.75987994,6.15524641,0.04123297,0.96231974,0.17595771,3.26304221,2.64165703,0.07971541,2.63675165
-5.75387694,6.15453065,0.04083632,0.95315017,0.17944640,3.22612300,2.65173471,0.07969499,2.64356348
-5.74787394,6.14323176,0.04039858,0.94127971,0.18272524,3.18335159,2.65645434,0.07952820,2.64663122
