energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,5.86010260,0.63774451,5.59469695,0.07892859,0.00000000,0.00610108,0.11181631
-5.99399700,5.91245115,0.61969978,5.65678250,0.07731826,0.00000000,0.00600121,0.10804082
-5.98799400,5.96274459,0.60011047,5.71737342,0.07564233,0.00000000,0.00592946,0.10405139
-5.98199100,6.01002134,0.57927681,5.77536246,0.07392602,0.00000000,0.00588636,0.09990660
-5.97598799,6.05327078,0.55750304,5.82959306,0.07219345,0.00000000,0.00587243,0.09566506
-5.96998499,6.09148982,0.53509159,5.87891856,0.07046740,0.00000000,0.00588846,0.09138444
-5.96398199,6.12374551,0.51233823,5.92226702,0.06876940,0.00000000,0.00593571,0.08712075
-5.95797899,6.14924002,0.48952845,5.95870774,0.06711977,0.00000000,0.00601607,0.08292774
-5.95197599,6.16737409,0.46693490,5.98751579,0.06553790,0.00000000,0.00613232,0.07885658
-5.94597299,6.17780516,0.44481600,6.00823058,0.06404252,0.00000000,0.00628830,0.07495568
-5.93996998,6.18049643,0.42341540,6.02070504,0.06265212,0.00000000,0.00648907,0.07127065
-5.93396698,6.17575387,0.40296227,6.02514225,0.06138527,0.00000000,0.00674106,0.06784439
-5.92796398,6.16424854,0.38367216,6.02211718,0.06026104,0.00000000,0.00705215,0.06471731
-5.92196098,6.14702268,0.36574826,6.01258198,0.05929924,0.00000000,0.00743167,0.06192755
-5.91595798,6.12547875,0.34938277,5.99785413,0.05852077,0.00000000,0.00789042,0.05951121
-5.90995498,6.10135147,0.33475832,5.97958767,0.05794768,0.00000000,0.00844056,0.05750258
-5.90395198,6.07666397,0.32204908,5.95972864,0.05760325,0.00000000,0.00909543,0.05593429
-5.89794897,6.05366978,0.31142156,5.94045656,0.05751186,0.00000000,0.00986937,0.05483736
-5.89194597,6.03478309,0.30303487,5.92411453,0.05769881,0.00000000,0.01077737,0.05424118
-5.88594297,6.02250029,0.29704035,5.91313095,0.05818990,0.00000000,0.01183474,0.05417330
-5.87993997,6.01931604,0.29358059,5.90993604,0.05901094,0.00000000,0.01305671,0.05465913
-5.87393697,6.02763714,0.29278764,5.91687681,0.06018710,0.00000000,0.01445791,0.05572145
-5.86793397,6.04969772,0.29478059,5.93613356,0.06174216,0.00000000,0.01605190,0.05737983
-5.86193097,6.08747877,0.29966244,5.96964120,0.06369760,0.00000000,0.01785063,0.05964985
