energy_ev,total_up,Rh_p_up,Rh_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,2.83726675,1.33042918,1.63516811,0.61661599,0.01341582,0.02627580,0.74002394
-5.99399700,2.95365130,1.37109281,1.70833507,0.63868926,0.01394352,0.02710265,0.77108985
-5.98799400,3.06602896,1.41105036,1.77826407,0.65824220,0.01444785,0.02788809,0.80277603
-5.98199100,3.17244630,1.44938908,1.84378062,0.67483187,0.01492177,0.02861724,0.83458960
-5.97598799,3.27105124,1.48522095,1.90378378,0.68807317,0.01535868,0.02927645,0.86603273
-5.96998499,3.36014725,1.51771074,1.95727776,0.69765217,0.01575254,0.02985368,0.89661636
-5.96398199,3.43824325,1.54610170,2.00340091,0.70333703,0.01609808,0.03033892,0.92587381
-5.95797899,3.50409762,1.56973825,2.04145104,0.70498601,0.01639088,0.03072445,0.95337397
-5.95197599,3.55675488,1.58808467,2.07090643,0.70255227,0.01662750,0.03100507,0.97873378
-5.94597299,3.59557399,1.60073947,2.09144166,0.69608528,0.01680555,0.03117823,1.00162947
-5.93996998,3.62024729,1.60744500,2.10293784,0.68572887,0.01692377,0.03124411,1.02180645
-5.93396698,3.63080957,1.60809211,2.10548699,0.67171594,0.01698204,0.03120556,1.03908720
-5.92796398,3.62763706,1.60271992,2.09939017,0.65436032,0.01698144,0.03106801,1.05337701
-5.92196098,3.61143616,1.59151090,2.08514970,0.63404605,0.01692415,0.03083929,1.06466724
-5.91595798,3.58322254,1.57478157,2.06345547,0.61121464,0.01681350,0.03052935,1.07303583
-5.90995498,3.54429086,1.55296923,2.03516582,0.58635095,0.01665381,0.03014998,1.07864485
-5.90395198,3.49617634,1.52661542,2.00128351,0.55996830,0.01645034,0.02971443,1.08173508
-5.89794897,3.44060904,1.49634667,1.96292757,0.53259340,0.01620918,0.02923700,1.08261758
-5.89194597,3.37946234,1.46285328,1.92130173,0.50475171,0.01593702,0.02873261,1.08166249
-5.88594297,3.31469722,1.42686688,1.87766052,0.47695381,0.01564108,0.02821638,1.07928516
-5.87993997,3.24830393,1.38913753,1.83327396,0.44968320,0.01532885,0.02770316,1.07593022
-5.87393697,3.18224300,1.35041115,1.78939203,0.42338589,0.01500793,0.02720710,1.07205410
-5.86793397,3.11838747,1.31140799,1.74720999,0.39846198,0.01468581,0.02674128,1.06810644
-5.86193097,3.05846828,1.27280279,1.70783566,0.37525946,0.01436969,0.02631731,1.06451149
-5.85592796,3.00402474,1.23520730,1.67225981,0.35407017,0.01406624,0.02594503,1.06165001
