energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.84522028,0.00356763,0.05286346,0.30445599,0.43428143,0.27767351,0.00000000,0.18962614,0.05968087
-5.99399700,0.90463027,0.00403906,0.05422976,0.29981686,0.48127982,0.28671964,0.00000000,0.19039428,0.06348343
-5.98799400,0.97675461,0.00457470,0.05628552,0.29868435,0.53497861,0.30073850,0.00000000,0.19334714,0.06827312
-5.98199100,1.06237915,0.00518374,0.05906108,0.30125795,0.59580706,0.32004789,0.00000000,0.19855954,0.07411695
-5.97598799,1.16230480,0.00587663,0.06258689,0.30773276,0.66418698,0.34498265,0.00000000,0.20611940,0.08108934
-5.96998499,1.27733006,0.00666499,0.06689378,0.31830236,0.74051710,0.37589054,0.00000000,0.21613008,0.08927125
-5.96398199,1.40822659,0.00756153,0.07201291,0.33316004,0.82515388,0.41312520,0.00000000,0.22871121,0.09874867
-5.95797899,1.55570760,0.00857987,0.07797537,0.35249808,0.91838921,0.45703613,0.00000000,0.24399809,0.10961026
-5.95197599,1.72038976,0.00973428,0.08481145,0.37650476,1.02042557,0.50795569,0.00000000,0.26213918,0.12194421
-5.94597299,1.90274942,0.01103938,0.09254953,0.40535899,1.13134942,0.56618338,0.00000000,0.28329180,0.13583440
-5.93996998,2.10307454,0.01250974,0.10121463,0.43922244,1.25110401,0.63196754,0.00000000,0.30761604,0.15135581
-5.93396698,2.32141431,0.01415938,0.11082669,0.47822954,1.37946289,0.70548533,0.00000000,0.33526678,0.16856938
-5.92796398,2.55752862,0.01600129,0.12139864,0.52247545,1.51600549,0.78682145,0.00000000,0.36638434,0.18751658
-5.92196098,2.81084012,0.01804677,0.13293432,0.57200266,1.66009646,0.87594670,0.00000000,0.40108379,0.20821367
-5.91595798,3.08039150,0.02030489,0.14542638,0.62678682,1.81087019,0.97269727,0.00000000,0.43944359,0.23064618
-5.90995498,3.36481108,0.02278183,0.15885421,0.68672248,1.96722205,1.07675598,0.00000000,0.48149386,0.25476371
-5.90395198,3.66228923,0.02548023,0.17318213,0.75160969,2.12780762,1.18763662,0.00000000,0.52720495,0.28047544
-5.89794897,3.97056835,0.02839868,0.18835780,0.82114229,2.29105078,1.30467240,0.00000000,0.57647695,0.30764658
-5.89194597,4.28694817,0.03153115,0.20431103,0.89489869,2.45516149,1.42700978,0.00000000,0.62913063,0.33609613
-5.88594297,4.60830802,0.03486660,0.22095312,0.97233609,2.61816323,1.55360833,0.00000000,0.68490049,0.36559613
-5.87993997,4.93114655,0.03838867,0.23817665,1.05278867,2.77792988,1.68324741,0.00000000,0.74343044,0.39587268
-5.87393697,5.25163893,0.04207555,0.25585594,1.13547035,2.93223128,1.81453999,0.00000000,0.80427248,0.42660875
-5.86793397,5.56571029,0.04589995,0.27384804,1.21948248,3.07878596,1.94595367,0.00000000,0.86688870,0.45744890
-5.86193097,5.86912365,0.04982928,0.29199437,1.30382644,3.21531951,2.07583858,0.00000000,0.93065688,0.48800591
-5.85592796,6.15757941,0.05382604,0.31012288,1.38742110,3.33962623,2.20246156,0.00000000,0.99487941,0.51786906
-5.84992496,6.42682317,0.05784829,0.32805072,1.46912460,3.44963188,2.32404551,0.00000000,1.05879575,0.54661396
-5.84392196,6.67275772,0.06185040,0.34558738,1.54775995,3.54345465,2.43881273,0.00000000,1.12159771,0.57381354
-5.83791896,6.89155482,0.06578385,0.36253803,1.62214336,3.61946215,2.54503060,0.00000000,1.18244732,0.59904978
-5.83191596,7.07976250,0.06959825,0.37870728,1.69111446,3.67632162,2.64105792,0.00000000,1.24049664,0.62192582
-5.82591296,7.23440326,0.07324237,0.39390287,1.75356713,3.71304143,2.72539009,0.00000000,1.29490863,0.64207792
-5.81990995,7.35305939,0.07666530,0.40793950,1.80847967,3.72900201,2.79670129,0.00000000,1.34487856,0.65918670
-5.81390695,7.43394175,0.07981764,0.42064254,1.85494324,3.72397478,2.85388198,0.00000000,1.38965495,0.67298733
-5.80790395,7.47593944,0.08265260,0.43185149,1.89218722,3.69812857,2.89607026,0.00000000,1.42855934,0.68327812
-5.80190095,7.47864848,0.08512720,0.44142327,1.91960062,3.65202311,2.92267571,0.00000000,1.46100420,0.68992710
-5.79589795,7.44237848,0.08720325,0.44923509,1.93674865,3.58659020,2.93339489,0.00000000,1.48650819,0.69287648
-5.78989495,7.36813762,0.08884830,0.45518699,1.94338380,3.50310347,2.92821802,0.00000000,1.50470849,0.69214458
