energy_ev,total_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.34807387,0.06862584,0.04379189,0.01376883,0.29635689,0.01335090,0.00001439
-5.99399700,0.34529792,0.07007908,0.04374201,0.01369956,0.28954920,0.01347372,0.00001521
-5.98799400,0.34277831,0.07219775,0.04375676,0.01362351,0.28187508,0.01373171,0.00001636
-5.98199100,0.34081651,0.07504169,0.04388002,0.01355569,0.27357545,0.01413429,0.00001784
-5.97598799,0.33973502,0.07867510,0.04415811,0.01351188,0.26491172,0.01469239,0.00001968
-5.96998499,0.33986393,0.08316281,0.04463811,0.01350815,0.25615645,0.01541782,0.00002187
-5.96398199,0.34152694,0.08856640,0.04536592,0.01356035,0.24758376,0.01632254,0.00002443
-5.95797899,0.34502722,0.09494002,0.04638449,0.01368351,0.23945981,0.01741787,0.00002737
-5.95197599,0.35063384,0.10232641,0.04773193,0.01389143,0.23203386,0.01871376,0.00003070
-5.94597299,0.35856929,0.11075301,0.04943984,0.01419614,0.22553006,0.02021800,0.00003441
-5.93996998,0.36899850,0.12022850,0.05153185,0.01460750,0.22014049,0.02193554,0.00003850
-5.93396698,0.38201987,0.13073987,0.05402230,0.01513288,0.21601942,0.02386788,0.00004295
-5.92796398,0.39765875,0.14225016,0.05691537,0.01577686,0.21327918,0.02601252,0.00004775
-5.92196098,0.41586345,0.15469704,0.06020443,0.01654111,0.21198757,0.02836260,0.00005287
-5.91595798,0.43650418,0.16799222,0.06387187,0.01742428,0.21216701,0.03090663,0.00005826
-5.90995498,0.45937484,0.18202191,0.06788921,0.01842204,0.21379521,0.03362841,0.00006388
-5.90395198,0.48419764,0.19664820,0.07221768,0.01952725,0.21680741,0.03650707,0.00006969
-5.89794897,0.51063048,0.21171146,0.07680918,0.02073019,0.22110001,0.03951728,0.00007561
-5.89194597,0.53827673,0.22703358,0.08160751,0.02201889,0.22653534,0.04262969,0.00008159
-5.88594297,0.56669712,0.24242215,0.08655000,0.02337954,0.23294750,0.04581140,0.00008755
-5.87993997,0.59542327,0.25767519,0.09156932,0.02479697,0.24014886,0.04902664,0.00009341
-5.87393697,0.62397245,0.27258650,0.09659554,0.02625524,0.24793707,0.05223754,0.00009911
-5.86793397,0.65186287,0.28695124,0.10155827,0.02773816,0.25610229,0.05540499,0.00010456
-5.86193097,0.67862908,0.30057173,0.10638885,0.02922993,0.26443440,0.05848951,0.00010970
-5.85592796,0.70383683,0.31326306,0.11102251,0.03071571,0.27272994,0.06145226,0.00011446
-5.84992496,0.72709685,0.32485839,0.11540045,0.03218217,0.28079858,0.06425593,0.00011879
-5.84392196,0.74807707,0.33521383,0.11947165,0.03361806,0.28846883,0.06686568,0.00012262
-5.83791896,0.76651282,0.34421251,0.12319451,0.03501465,0.29559299,0.06924996,0.00012593
-5.83191596,0.78221467,0.35176786,0.12653812,0.03636610,0.30205106,0.07138131,0.00012868
-5.82591296,0.79507354,0.35782592,0.12948319,0.03766970,0.30775358,0.07323702,0.00013086
-5.81990995,0.80506309,0.36236660,0.13202261,0.03892608,0.31264332,0.07479965,0.00013246
-5.81390695,0.81223915,0.36540392,0.13416147,0.04013921,0.31669581,0.07605743,0.00013348
-5.80790395,0.81673628,0.36698507,0.13591678,0.04131624,0.31991872,0.07700450,0.00013396
-5.80190095,0.81876168,0.36718856,0.13731670,0.04246729,0.32235007,0.07764100,0.00013392
-5.79589795,0.81858653,0.36612135,0.13839931,0.04360503,0.32405549,0.07797300,0.00013341
-5.78989495,0.81653520,0.36391521,0.13921112,0.04474410,0.32512445,0.07801224,0.00013248
-5.78389195,0.81297271,0.36072231,0.13980512,0.04590047,0.32566580,0.07777575,0.00013118
-5.77788894,0.80829081,0.35671037,0.14023867,0.04709066,0.32580261,0.07728533,0.00012958
-5.77188594,0.80289329,0.35205743,0.14057110,0.04833087,0.32566661,0.07656694,0.00012775
-5.76588294,0.79718100,0.34694645,0.14086132,0.04963606,0.32539237,0.07564989,0.00012576
-5.75987994,0.79153712,0.34155995,0.14116525,0.05101905,0.32511145,0.07456608,0.00012367
-5.75387694,0.78631335,0.33607496,0.14153350,0.05248963,0.32494679,0.07334916,0.00012155
-5.74787394,0.78181733,0.33065824,0.14200911,0.05405373,0.32500750,0.07203364,0.00011947
-5.74187094,0.77830210,0.32546226,0.14262559,0.05571273,0.32538428,0.07065407,0.00011748
-5.73586793,0.77595778,0.32062176,0.14340536,0.05746297,0.32614567,0.06924433,0.00011562
-5.72986493,0.77490591,0.31625123,0.14435861,0.05929538,0.32733530,0.06783691,0.00011394
-5.72386193,0.77519677,0.31244337,0.14548268,0.06119544,0.32897032,0.06646242,0.00011247
-5.71785893,0.77680979,0.30926839,0.14676199,0.06314336,0.33104089,0.06514922,0.00011123
-5.71185593,0.77965699,0.30677445,0.14816851,0.06511450,0.33351107,0.06392322,0.00011023
-5.70585293,0.78358941,0.30498886,0.14966289,0.06708016,0.33632075,0.06280785,0.00010949
-5.69984992,0.78840619,0.30392020,0.15119597,0.06900848,0.33938878,0.06182425,0.00010899
-5.69384692,0.79386592,0.30356112,0.15271090,0.07086568,0.34261700,0.06099158,0.00010874
