energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.23721727,0.00549735,0.45487930,0.31452048,0.19609294,0.79518361,0.99371065,0.00797244,0.67976928
-5.99399700,2.19749109,0.00576388,0.44249670,0.31742296,0.19376529,0.79300491,0.96330896,0.00853958,0.67408283
-5.98799400,2.16488160,0.00610252,0.43082008,0.32244750,0.19234867,0.79458117,0.93437746,0.00917944,0.67180478
-5.98199100,2.14119249,0.00651537,0.42022239,0.32975880,0.19203383,0.80047615,0.90774534,0.00989606,0.67347802
-5.97598799,2.12797342,0.00700368,0.41102567,0.33947988,0.19299041,0.81114912,0.88413752,0.01069232,0.67956540
-5.96998499,2.12646848,0.00756775,0.40349153,0.35168476,0.19536146,0.82693631,0.86415358,0.01156978,0.69043213
-5.96398199,2.13757574,0.00820679,0.39781424,0.36639268,0.19925864,0.84803657,0.84825205,0.01252862,0.70633111
-5.95797899,2.16181947,0.00891878,0.39411647,0.38356395,0.20475848,0.87450188,0.83674029,0.01356757,0.72739195
-5.95197599,2.19933549,0.00970044,0.39244792,0.40309779,0.21189955,0.90623296,0.82977030,0.01468389,0.75361388
-5.94597299,2.24987024,0.01054711,0.39278672,0.42483217,0.22068079,0.94298035,0.82734041,0.01587341,0.78486276
-5.93996998,2.31279284,0.01145275,0.39504351,0.44854573,0.23106091,0.98435070,0.82930236,0.01713055,0.82087243
-5.93396698,2.38711962,0.01240994,0.39906788,0.47396181,0.24295888,1.02981822,0.83537356,0.01844848,0.86125006
-5.92796398,2.47154973,0.01340994,0.40465687,0.50075427,0.25625553,1.07874059,0.84515344,0.01981918,0.90548544
-5.92196098,2.56451008,0.01444273,0.41156499,0.52855513,0.27079604,1.13037888,0.85814337,0.02123359,0.95296383
-5.91595798,2.66420775,0.01549717,0.41951545,0.55696360,0.28639344,1.18392048,0.87376898,0.02268179,1.00298184
-5.90995498,2.76868778,0.01656110,0.42821187,0.58555630,0.30283284,1.23850420,0.89140392,0.02415308,1.05476582
-5.90395198,2.87589393,0.01762159,0.43735015,0.61389821,0.31987635,1.29324652,0.91039403,0.02563619,1.10749215
-5.89794897,2.98373024,0.01866508,0.44662980,0.64155407,0.33726857,1.34726790,0.93008099,0.02711938,1.16030881
-5.89194597,3.09012122,0.01967766,0.45576446,0.66809980,0.35474248,1.39971811,0.94982438,0.02859056,1.21235737
-5.88594297,3.19306863,0.02064533,0.46449109,0.69313354,0.37202556,1.44979976,0.96902162,0.03003743,1.26279499
-5.87993997,3.29070308,0.02155422,0.47257751,0.71628594,0.38884606,1.49678898,0.98712483,0.03144754,1.31081545
-5.87393697,3.38132885,0.02239091,0.47982815,0.73722942,0.40493925,1.54005265,1.00365443,0.03280840,1.35566888
-5.86793397,3.46346098,0.02314269,0.48608776,0.75568606,0.42005335,1.57906157,1.01820896,0.03410755,1.39667935
-5.86193097,3.53585356,0.02379781,0.49124313,0.77143384,0.43395531,1.61339936,1.03047106,0.03533263,1.43326002
-5.85592796,3.59751895,0.02434576,0.49522289,0.78431114,0.44643589,1.64276675,1.04020980,0.03647148,1.46492537
-5.84992496,3.64773784,0.02477750,0.49799550,0.79421924,0.45731430,1.66698144,1.04727936,0.03751225,1.49130011
-5.84392196,3.68606020,0.02508564,0.49956566,0.80112294,0.46644191,1.68597374,1.05161460,0.03844347,1.51212467
-5.83791896,3.71229795,0.02526468,0.49996949,0.80504912,0.47370526,1.69977848,1.05322388,0.03925427,1.52725717
-5.83191596,3.72650997,0.02531105,0.49926878,0.80608346,0.47902805,1.70852358,1.05217988,0.03993444,1.53667175
-5.82591296,3.72898063,0.02522331,0.49754466,0.80436536,0.48237214,1.71241626,1.04860876,0.04047474,1.54045356
-5.81990995,3.72019296,0.02500210,0.49489114,0.80008135,0.48373754,1.71172735,1.04267856,0.04086698,1.53879054
-5.81390695,3.70079787,0.02465022,0.49140868,0.79345720,0.48316143,1.70677471,1.03458733,0.04110435,1.53196241
-5.80790395,3.67158079,0.02417252,0.48719835,0.78474901,0.48071611,1.69790653,1.02455158,0.04118158,1.52032731
-5.80190095,3.63342715,0.02357579,0.48235667,0.77423366,0.47650622,1.68548518,1.01279562,0.04109517,1.50430662
-5.79589795,3.58728811,0.02286865,0.47697140,0.76219904,0.47066501,1.66987250,0.99954220,0.04084361,1.48436861
-5.78989495,3.53414780,0.02206133,0.47111845,0.74893429,0.46335013,1.65141697,0.98500465,0.04042752,1.46101155
-5.78389195,3.47499325,0.02116542,0.46485995,0.73472062,0.45473884,1.63044337,0.96938106,0.03984976,1.43474695
-5.77788894,3.41078804,0.02019360,0.45824354,0.71982293,0.44502304,1.60724515,0.95285017,0.03911553,1.40608368
-5.77188594,3.34245050,0.01915939,0.45130280,0.70448264,0.43440411,1.58207996,0.93556943,0.03823234,1.37551347
-5.76588294,3.27083689,0.01807677,0.44405871,0.68891200,0.42308789,1.55516812,0.91767475,0.03720996,1.34349843
-5.75987994,3.19673023,0.01695994,0.43652208,0.67329005,0.41127997,1.52669412,0.89928203,0.03606025,1.31046111
-5.75387694,3.12083441,0.01582296,0.42869660,0.65776048,0.39918132,1.49681094,0.88049007,0.03479697,1.27677722
-5.74787394,3.04377385,0.01467948,0.42058254,0.64243124,0.38698451,1.46564667,0.86138464,0.03343552,1.24277144
-5.74187094,2.96609792,0.01354248,0.41218061,0.62737612,0.37487060,1.43331321,0.84204325,0.03199256,1.20871619
-5.73586793,2.88828963,0.01242402,0.40349599,0.61263792,0.36300661,1.39991628,0.82254041,0.03048572,1.17483319
-5.72986493,2.81077764,0.01133503,0.39454220,0.59823312,0.35154374,1.36556628,0.80295289,0.02893313,1.14129770
